tf	mem
ADARB1	CHCHD5
ADARB1	CHRNA4
ADARB1	CITED2
ADARB1	CNTROB
ADARB1	CSF3
ADARB1	CTAGE1
ADARB1	DCLK2
ADARB1	DGCR5
ADARB1	DLEC1
ADARB1	DMPK
ADARB1	DNAJC4
ADARB1	DUOXA2
ADARB1	EIF6
ADARB1	ELAVL3
ADARB1	EMID2
ADARB1	EPN1
ADARB1	ERC1
ADARB1	EVX1
ADARB1	FAM102B
ADARB1	FAM148B
ADARB1	FAM30A
ADARB1	FAM46A
ADARB1	FAM57B
ADARB1	FILIP1
ADARB1	FMN2
ADARB1	FNDC5
ADARB1	FOLR2
ADARB1	FOXD4L1
ADARB1	FUT10
ADARB1	GLP1R
ADARB1	GLTSCR2
ADARB1	GMDS
ADARB1	GNAI2
ADARB1	GNAS
ADARB1	GNG7
ADARB1	GP1BB
ADARB1	GPATCH4
ADARB1	GPLD1
ADARB1	GPR144
ADARB1	GRAP2
ADARB1	H1FNT
ADARB1	HCN4
ADARB1	HDAC10
ADARB1	HIAT1
ADARB1	HIP1R
ADARB1	HLA-DOA
ADARB1	HMCN2
ADARB1	HOXB8
ADARB1	HPS6
ADARB1	HRH3
ADARB1	HTR7
ADARB1	ICMT
ADARB1	IGHA1
ADARB1	IGHM
ADARB1	IGLV6-57
ADARB1	INS
ADARB1	IRGM
ADARB1	ITGA8
ADARB1	ITPKB
ADARB1	JMJD5
ADARB1	KCNQ1
ADARB1	KCNQ1DN
ADARB1	KIF6
ADARB1	KLK15
ADARB1	KRT83
ADARB1	LAYN
ADARB1	LDB3
ADARB1	LGI4
ADARB1	LGR4
ADARB1	LIN37
ADARB1	LMAN1
ADARB1	LZTS1
ADARB1	MAP1LC3C
ADARB1	MAPK8IP3
ADARB1	MAPRE3
ADARB1	MAST2
ADARB1	MAZ
ADARB1	MBD6
ADARB1	MDM2
ADARB1	MED30
ADARB1	MGAT3
ADARB1	MGEA5
ADARB1	MPPE1
ADARB1	MRPL55
ADARB1	MTMR1
ADARB1	MUPCDH
ADARB1	MYO18A
ADARB1	MYST3
ADARB1	NAPA
ADARB1	NARG1
ADARB1	NCF1
ADARB1	NCKIPSD
ADARB1	NCOA5
ADARB1	NKAIN4
ADARB1	NLRP4
ADARB1	NNT
ADARB1	NOS1
ADARB1	NOTCH4
ADARB1	NPR1
ADARB1	NUDT7
ADARB1	NUFIP2
ADARB1	NYX
ADARB1	OR7E104P
ADARB1	PACS1
ADARB1	PAGE5
ADARB1	PC
ADARB1	PCDH9
ADARB1	PDE3B
ADARB1	PDE4A
ADARB1	PDIA2
ADARB1	PLAC9
ADARB1	POU2F2
ADARB1	PPP1R1A
ADARB1	PPP1R2P9
ADARB1	PRIM2
ADARB1	PRR5
ADARB1	PRSS27
ADARB1	PSG9
ADARB1	PTCRA
ADARB1	PTGER3
ADARB1	PTMA
ADARB1	PVRL1
ADARB1	PWP2
ADARB1	PWWP2B
ADARB1	RAB17
ADARB1	RCSD1
ADARB1	RDH14
ADARB1	REXO1
ADARB1	RGS6
ADARB1	ROCK1
ADARB1	RPLP1
ADARB1	RSU1
ADARB1	SAPS2
ADARB1	SCT
ADARB1	SCUBE1
ADARB1	SEC14L1
ADARB1	SFTPC
ADARB1	SHB
ADARB1	SIPA1L3
ADARB1	SLC19A1
ADARB1	SLC1A2
ADARB1	SLC27A5
ADARB1	SLC39A5
ADARB1	SLC5A11
ADARB1	SORBS2
ADARB1	SPATA21
ADARB1	SPECC1L
ADARB1	SPRN
ADARB1	SSTR3
ADARB1	STX5
ADARB1	SULT1C2
ADARB1	SUMF2
ADARB1	SUSD3
ADARB1	SUZ12P
ADARB1	SYDE1
