geneA_genesym	geneB_genesym
CDCA7	YWHAG
CDCA7	YWHAZ
CDCA7	YWHAH
HSPA8	POLE
POLE	POLE2
FUS	PSRC1
PRMT2	PSRC1
JUP	RAD51AP1
RAD51AP1	WDR48
IGHG3	RAD51AP1
IGHG4	RAD51AP1
RAD51AP1	USP1
RAD51AP1	USP46
NUP98	RAE1
AGGF1	RAE1
PRIM2	RAE1
BUB1B	RAE1
PRIM1	RAE1
PHB	RIC3
ERLIN2	RIC3
ACTB	RIC3
DNAJC11	RIC3
NCAPD3	RIC3
RIC3	USP22
PHB2	RIC3
RIC3	SLC30A5
RIC3	RMND1
RIC3	TAPT1
NCAPH2	RIC3
RIC3	TMUB1
LRBA	RIC3
RIC3	SLC30A6
ATP9A	RIC3
ATP5B	CXCR7
ATP5A1	CXCR7
ATP5O	CXCR7
HSPA8	TSSK1B
HSPA2	TSSK1B
MKI67	TSSK1B
AZI1	TSSK1B
GPHN	TSSK1B
CRYBG3	TSSK1B
GAPVD1	TSSK1B
SNX24	TSSK1B
PHLPP1	USP46
USP46	WDR20
DMWD	USP46
HSPA8	USP46
ACTB	USP46
USP46	WDR48
SNX6	USP46
SNX2	USP46
PHLPP2	USP46
HSPA8	VSX1
TUBA1A	VSX1
CSNK2A2	VSX1
CSNK2A1	VSX1
CSNK2B	VSX1
USP12	VSX1
HIST2H2AC	VSX1
ANAPC13	CDC16
ANAPC13	ANAPC16
ANAPC13	ANAPC4
ANAPC1	ANAPC13
ANAPC13	CDC23
ANAPC13	FZR1
ANAPC13	ANAPC2
ANAPC13	CDC26
ANAPC13	FBXO5
ANAPC10	ANAPC13
ANAPC13	ANAPC5
ANAPC13	CDC27
ANAPC13	ANAPC7
ACP2	ATP6V0E1
ATP6V0E1	VMA21
ATP6V0A2	ATP6V0E1
ATP6V0A1	ATP6V0E1
ATP6V0E1	REEP5
ATP6V0E1	PIGG
ATP6V0E1	SLC7A2
ATP6V0E1	TMEM199
ATP6V0E1	PTPRF
ATP6V0E1	CCDC115
GNG11	PDCL
GNAZ	GNG3
GNA11	GNG3
GNAQ	GNG3
GNA13	GNG3
GNB1	GNG3
GNB4	GNG3
FLNC	GNG3
GNAI2	GNG3
GNAO1	GNG3
GNAT2	GNG3
GNAI1	GNG3
GNG3	PDCL
GNB1	GNG4
GNB4	GNG4
GNAS	GNG4
GNAI2	GNG4
GNAI3	GNG4
GNAI1	GNG4
GNA11	GNG4
GNAQ	GNG4
GNA13	GNG4
GNG4	PDCL
GNG4	MOSPD2
FGG	HIST1H2BJ
FGB	HIST1H2BJ
FGA	HIST1H2BJ
HIST1H2BJ	USP48
HBB	HIST1H2BJ
HIST1H2BJ	MDM2
HBA2	HIST1H2BJ
C12orf11	HOPX
IER3IP1	VPS13C
IER3IP1	PTPRG
GNG5	IER3IP1
ADCY9	IER3IP1
C15orf44	IQCF1
C3orf63	IQCF1
IQCF1	LOC81691
IQCF1	TBC1D4
IQCF1	RPTOR
EHD4	IQCF1
HEATR6	IQCF1
IQCF1	MTR
ARHGAP5	IQCF1
IQCF1	TUBB3
IQCF1	TUBB8
IQCF1	LRRC40
IQCF1	SERPINB1
IQCF1	PRTFDC1
IQCF1	PACS1
DIS3	IQCF1
AP3M2	IQCF1
IQCF1	MOCOS
IQCF1	TTF2
EIF2AK2	IQCF1
IQCF1	WDR37
IQCF1	ZWILCH
BPGM	IQCF1
FAM118B	IQCF1
C5orf34	IQCF1
DAK	IQCF1
C9orf142	IQCF1
IQCF1	MCM8
IQCF1	SLC10A7
GTPBP2	IQCF1
C17orf89	TTC19
C17orf89	C20orf7
LSM2	LSM6
LSM4	LSM6
LSM6	NAA38
LSM6	PRPF3
LSM6	PRMT5
LSM6	TUT1
LSM6	PRPF4
LSM6	RIOK1
LSM6	SART3
LSM6	PRPF31
LSM6	MEPCE
LSM6	PATL1
LSM6	WDR77
AKAP7	LSM6
LSM6	WBP4
LSM5	LSM6
LSM6	SNRPD2
CLNS1A	LSM6
C17orf79	LSM6
LSM1	LSM6
LSM6	LSM7
LSM6	SNRPE
LSM10	LSM6
LSM6	SNRPD1
LSM3	LSM6
LSM6	SIP1
LSM6	ZNF511
GINS2	LZIC
GINS4	LZIC
CCNC	LZIC
CDK19	LZIC
CDK8	LZIC
MARK4	RPIA
MED9	SPAG9
CARM1	MED9
MED9	NRGN
MZT1	TUBGCP2
MZT1	PCNT
MZT1	TUBGCP5
MZT1	TUBGCP4
MZT1	TUBG1
MZT1	TUBGCP3
MZT1	TUBGCP6
MZT1	MZT2A
MZT1	MZT2B
MZT1	NME7
NINL	TPM2
NRGN	TRIM62
EFCAB7	NRGN
NUPR1	SEMG2
NUPR1	SEMG1
C5orf46	PPCS
C5orf46	TMBIM6
PKIG	TYMS
PKIG	PRKACB
PKIG	TPM2
ERAP1	ROMO1
BCHE	SMR3B
SNRPC	SNRPG
SNRPA	SNRPG
SNRPB2	SNRPG
PDCD7	SNRPG
PRPF3	SNRPG
SF3B1	SNRPG
SNRPG	TOE1
PRPF6	SNRPG
DDX20	SNRPG
SNRNP200	SNRPG
PRPF8	SNRPG
SNRPG	TFIP11
SNRPG	TOP1
SNRPG	TUT1
SF3B2	SNRPG
CWF19L2	SNRPG
HTATSF1	SNRPG
PRPF4	SNRPG
SNRNP35	SNRPG
FTSJD1	SNRPG
DHX35	SNRPG
GEMIN4	SNRPG
EFTUD2	SNRPG
GCFC1	SNRPG
SLC4A1AP	SNRPG
CRNKL1	SNRPG
SART3	SNRPG
DDX23	SNRPG
PRPF31	SNRPG
SF3A1	SNRPG
SNRPG	XAB2
SNRPG	WDR83
GEMIN6	SNRPG
MEPCE	SNRPG
SART1	SNRPG
SNRPG	SNW1
SNRNP48	SNRPG
AKAP7	SNRPG
RNPC3	SNRPG
SF3A3	SNRPG
GPATCH1	SNRPG
RSRC1	SNRPG
SNRPD2	SNRPG
CLNS1A	SNRPG
CCDC12	SNRPG
DGCR14	SNRPG
PPIE	SNRPG
CDC40	SNRPG
AQR	SNRPG
SNRPE	SNRPG
SNRNP27	SNRPG
SNRPA1	SNRPG
GEMIN5	SNRPG
RBM42	SNRPG
SNRPG	SYF2
SNRNP70	SNRPG
SNRPG	TXNL4A
SNRPG	ZRSR2
GEMIN8	SNRPG
SF3B14	SNRPG
PRKRIP1	SNRPG
SMN2	SNRPG
LSM11	SNRPG
LSM10	SNRPG
CD2BP2	SNRPG
SNRPF	SNRPG
SF3B4	SNRPG
SNRPG	ZGPAT
CCDC75	SNRPG
SNRPD1	SNRPG
SNRPG	SNRPN
SNRPB	SNRPG
SIP1	SNRPG
SNRPG	TSSC4
SNRPG	TGS1
RBM22	SNRPG
ISY1	SNRPG
SNRPD3	SNRPG
SNRPG	ZMAT5
CCDC84	SNRPG
PRELID1	TRIAP1
SLMO2	TRIAP1
SLMO1	TRIAP1
IGJ	TRIAP1
TSC22D2	TSC22D3
TSC22D1	TSC22D3
TSC22D3	TSC22D4
CEP55	TSC22D3
NRBP1	TSC22D3
UQCRB	UQCRQ
UQCRC2	UQCRQ
COX7A2L	UQCRQ
UQCRC1	UQCRQ
PTGES2	UQCRQ
C20orf70	UQCRQ
CYTB	UQCRQ
COX6B1	UQCRQ
IGHA2	UQCRQ
IGHA1	UQCRQ
COX1	UQCRQ
CST1	UQCRQ
CST4	UQCRQ
WFDC10A	ZZEF1
HECTD3	WFDC10A
XAGE1A	ZC3H11A
CELSR1	XAGE1A
VPRBP	XAGE1A
XAGE1A	ZNF574
FAT3	XAGE1A
FAT1	XAGE1A
FREM2	XAGE1A
SRRM2	XAGE1A
FAT4	XAGE1A
HIRA	XAGE1A
PCDH7	XAGE1A
CABIN1	XAGE1A
XAGE1A	ZBTB10
PRKRIR	XAGE1A
TERF2	XAGE1A
MDM2	XAGE1A
TERF2IP	XAGE1A
CBWD1	XAGE1A
FRAS1	XAGE1A
XAGE1A	ZNF446
CELSR2	XAGE1A
HSPA14	XAGE1A
TUBB3	XAGE1A
XAGE1A	ZNF496
XAGE1A	ZBTB33
GPR98	XAGE1A
CHD8	XAGE1A
FZD3	XAGE1A
PCDHGC3	XAGE1A
XAGE1A	ZMYM1
XAGE1A	XAGE1D
CELSR3	XAGE1A
E4F1	XAGE1A
XAGE1A	ZNF511
WDR45	XAGE1A
DCHS1	XAGE1A
SP100	ZNF706
CDC42SE1	EIF5B
CDC42SE1	MIPEP
CDC42	CDC42SE1
BTBD1	CDC42SE1
CCNA2	CKS1B
CDT1	CKS1B
CDK1	CKS1B
CDK2	CKS1B
CDK3	CKS1B
CCNB2	CKS1B
CKS1B	GMNN
CCNE1	CKS1B
CKS1B	CUL1
CKS1B	CKS2
CCNB1	CKS1B
CKS1B	SKP2
CKS1B	ICK
CCNE2	CKS1B
CKS1B	EEF1A2
CDKN1A	CKS1B
CDKN1B	CKS1B
CKS1B	PKMYT1
CCNA2	CKS2
CDK2	CKS2
CDK1	CKS2
CDT1	CKS2
CCNB2	CKS2
CCNB1	CKS2
CKS2	GMNN
CDKN1B	CKS2
CKS2	PKMYT1
CCNE1	CKS2
COX7A2	TOP3A
COX6B1	COX7A2
C2orf56	COX7A2
COX7A2	DNLZ
CRIP1	PPP2R5E
CRIP1	TK1
CTNNB1	CTNNBIP1
CTNNA1	CTNNBIP1
CTNNA2	CTNNBIP1
APC	CTNNBIP1
CTNNBIP1	PNMA2
CTNNBIP1	TK2
BPGM	CTNNBIP1
DEFB104A	GNB2
DEFB104A	PITRM1
DEFB104A	PTPRG
DEFB104A	RMND1
DEFB104A	HRAS
DEFB104A	DEFB104B
DEFB104A	IFI30
CPS1	DEFB121
DEFB121	OS9
COL6A2	DEFB121
DEFB121	NHLRC3
DEFB121	TMEM67
DEFB121	VWDE
DEFB121	FSTL1
DEFB121	TCTEX1D2
DPH2	DPH3
ATE1	DPH3
DPH3	SERGEF
DPH3	NEK7
ACBD7	FYN
ACBD7	YES1
ACBD7	SRC
ACBD7	PTPRG
ACBD7	ACOX1
ACBD7	OGDHL
ACBD7	GNAZ
ACBD7	HPCAL1
ACBD7	SUGP1
ACBD7	TBC1D24
ACBD7	PAG1
CDC42SE2	TSC22D3
CDC42	CDC42SE2
CHCHD7	S100A6
COMMD2	COMMD6
COMMD6	VPS29
C16orf62	COMMD6
CCDC93	COMMD6
COMMD10	COMMD6
COMMD6	MFAP3
COMMD4	COMMD6
COMMD6	COMMD7
COMMD6	FAM45A
COMMD6	TFDP1
COMMD6	DSCR3
CCDC22	COMMD6
COMMD5	COMMD6
COMMD6	COMMD8
COMMD6	COMMD9
COMMD3	COMMD6
COMMD1	COMMD6
COMMD6	EMB
COMMD6	VPS33B
COMMD6	E2F6
COMMD6	TM2D3
COX6B1	SRC
COX6B1	HIST2H3PS2
COX6B1	UQCRB
COX6B1	SUOX
ATP6V1G1	CARM1
ATP6V1G1	BTBD9
ATP6V1G1	C13orf31
ATP6V1G1	KLHL18
C10orf84	FXYD1
FXYD1	GOPC
FXYD1	THNSL1
ATP6V1D	FXYD1
FXYD1	NDRG1
FXYD1	PRTFDC1
FXYD1	NDRG4
FXYD1	NDRG3
FXYD1	POLE4
FXYD1	GCHFR
EIF4G1	GCHFR
GCHFR	HBS1L
GCHFR	OBSL1
GCHFR	IRF2BP2
CAMKK2	GCHFR
DOCK11	GCHFR
GCHFR	NEBL
GCHFR	PUSL1
CBFB	GCHFR
GNRH1	HSPA5
GNRH1	TMEM111
GNRH1	TRIM68
C7orf30	GNRH1
GNRH1	TMEM85
COX4NB	GNRH1
GNRH1	MTX1
EIF2B5	GYPB
GYPB	PWP2
EIF2B1	GYPB
EIF2B4	GYPB
BZW2	GYPB
BZW1	GYPB
GYPB	RTN1
FLVCR1	GYPB
ESRRA	GYPB
