geneA_genesym	geneB_genesym
TADA2B	TAF5L
TAF5L	TAF9B
HSPA8	TBC1D23
LSR	TMEM30A
HLA-C	TMEM30A
HLA-B	TMEM30A
BACE2	TMEM30A
TMEM30A	TMEM66
SMPD2	TMEM30A
APP	TMEM30A
DHRS7	TMEM30A
ANTXR1	TMEM30A
CHRNA5	TMEM30A
MOSC1	TMEM30A
MR1	TMEM30A
CNNM1	TMEM30A
EPHX1	TMEM30A
GRAMD1A	TMEM30A
PON2	TMEM30A
TEX264	TMEM30A
TMEM30A	UPK3BL
RNF149	TMEM30A
CGRRF1	TMEM30A
TMEM30A	TMPPE
TMED7	TMEM30A
STK17B	TMEM30A
CYB5R1	TMEM30A
EDEM2	TMEM30A
C10orf58	TMEM30A
ACVR2B	TMEM30A
TMEM30A	TMX4
TMEM30A	TMEM67
PCBP3	TSTA3
LSG1	TTC29
EIF5B	TTC29
DHX16	TTC29
OBSL1	TTC29
SUPT6H	TTC29
CDK18	TTC29
FBXW8	TTC29
IKBIP	TTC29
PPIL4	TTC29
TAF8	TTC29
NCKAP1	UBXN11
HSPA7	UBXN11
RTEL1	UBXN11
COL1A1	UBXN11
UBXN11	WASF1
PDE7A	UBXN11
ABI2	UBXN11
ABI1	UBXN11
MYO18A	UPK3B
RPL26L1	ZBTB38
YTHDC2	ZBTB38
IPO7	ZBTB38
EIF5B	ZBTB38
RPS3A	ZBTB38
TRIM26	ZBTB38
SIRT1	ZBTB38
ZBTB38	ZCCHC17
NEMF	ZBTB38
MRPS35	ZBTB38
DHX36	ZBTB38
SDAD1	ZBTB38
LRR1	ZBTB38
HIST2H2AB	ZBTB38
ZBTB38	ZNF689
BCL2L13	SOD1
BYSL	RPL26L1
BYSL	LTV1
BYSL	RPS3
BYSL	RRP12
BYSL	DDX10
BYSL	RBM19
BYSL	NOP14
BYSL	PARN
BYSL	C21orf70
BYSL	C14orf21
BYSL	DHPS
BYSL	NOC4L
BYSL	SRFBP1
BYSL	DHX36
BYSL	NOB1
AKR1C1	AKR1D1
CCNH	ERCC2
CCNH	CDK7
CCNH	TBC1D15
CCNH	ERCC5
CRHBP	TUBB1
CRHBP	TNIP1
CCNB2	CRHBP
CRHBP	UBR1
CRHBP	PLS1
CRHBP	PHLDB3
CRHBP	EIF1AX
CRHBP	SQSTM1
CRHBP	UBR2
CRHBP	SELRC1
CYC1	UQCRB
AKR7A2	AKR7A3
AKR7A3	AKR7L
AKR7A3	COMMD9
AKR7A3	GNB2
AKR7A3	DDRGK1
ERBB3	SLC31A1
ERBB3	HLA-DPA1
ERBB3	PDF
ERBB3	UQCRH
ERBB3	TUBA4A
ERBB3	TUBB8
ERBB3	LOC100507680
ERI2	FLNC
DNAJC12	ERI2
FAM70B	WWP1
FAM70B	PHYHIP
EEF2	FAM86A
BCAT2	FAM86A
FAM86A	GALC
FCN1	KIAA0319L
DNAJC13	FCN1
FCN1	PTPRA
FCN1	POTEF
FCN1	PTPRG
FCN1	PODXL
FCN1	FCN2
FCN1	SUSD5
FCN1	SEZ6L2
FCN1	KIAA1549
FOXS1	PPP2R1B
FOXS1	PPP2R2D
ACOX1	FOXS1
FOXS1	MIPEP
FOXS1	PPP2CA
CCT3	GNB1L
CCT7	GNB1L
ANKRD12	SGPL1
ANKRD12	PHYHIP
ANKRD12	ULBP2
ANKRD12	SLIT2
CALML5	GPR18
GPR18	SERPINB5
CALML3	GPR18
ARG1	GPR18
GPR18	SERPINB4
GPR18	SERPINB3
GPR18	POF1B
GPR18	HAL
ALDH3A1	GPR18
GPR18	NCCRP1
DMWD	GPR3
APOD	GPR3
GPS2	TBL1XR1
GPS2	TBL1X
GPS2	NCOR1
GPS2	NCOR2
GPS2	PPFIA1
GPS2	PPFIA3
ACTR1B	GPS2
GPS2	MAPK3
ARMC8	GPS2
GPS2	MKLN1
DCTN4	GPS2
ANKRD11	GPS2
CYTH3	GPS2
C17orf39	GPS2
ACTR10	GPS2
DAPK3	GPS2
GPS2	TRIM68
C20orf11	GPS2
FOXK2	GPS2
FOXK1	GPS2
CREB1	GPS2
DCTN6	GPS2
DCTN3	GPS2
GPS2	HDAC3
GAB2	GRAP2
CDC27	GRAP2
GRAP2	STAMBP
GRAP2	TNIP1
GRAP2	ZSCAN21
GRAP2	USP8
ANAPC5	GRAP2
GRAP2	PTPN23
GRAP2	ITCH
GAB1	GRAP2
FAM59A	GRAP2
GRAP2	TRIM68
GRAP2	SNX18
ANAPC16	GRAP2
CDC23	GRAP2
ANAPC2	GRAP2
ARL10	HEYL
FNTA	HEYL
HEYL	PGGT1B
GRAP2	IFNAR2
IL9R	LSR
CCPG1	IL9R
IL9R	TMEM66
IL9R	RETSAT
IL9R	NETO2
IL9R	TMEM39A
EDA	IL9R
IL9R	TMX4
IL9R	TM2D3
IL9R	ZDHHC18
ANKRD55	YWHAG
ANKRD55	YWHAZ
ANKRD55	IFT46
ANKRD55	TTC30B
ANKRD55	TTC30A
ANKRD55	IFT74
ANKRD55	IFT52
ANKRD55	HIF1AN
ANKRD55	MIB1
ANKRD55	TRIP6
ITGB1BP2	PDCD2L
FLNC	KCTD13
KCTD13	TNFAIP1
KCTD10	KCTD13
CUL3	KCTD13
HSPB8	KCTD13
MBTPS2	TMEM66
APOF	GALNT4
CCT7	MLST8
MLST8	MTOR
CCT3	MLST8
CCT6B	MLST8
CCT2	MLST8
ACAT2	MLST8
MLST8	RICTOR
MLST8	PRAME
MLST8	TUBA4A
FOXF2	MLST8
LYPLA2	MLST8
MELK	MLST8
CIAO1	MPPED1
MPPED1	PHKA1
MPPED1	PHKA2
MMS19	MPPED1
MPPED1	NR2F6
MPPED1	NR2F1
MPPED1	NR2F2
KIAA0664	MPPED1
MPPED1	PHKB
MPPED1	UCKL1
MPPED1	NARF
MPPED1	TXNDC9
MPPED1	UCK1
DNPEP	MPPED1
MPPED1	PHKG2
MPPED1	UPRT
MPPED1	ZNF232
ANKRD40	MSI2
ICK	MSI2
ANXA13	MSI2
FXC1	MSI2
PAQR5	PHYHIP
ENAH	PARL
FAM86A	PARL
CA10	PARL
HIST2H2AB	PARL
PARP11	RNF114
MAPK12	PARP11
PARP11	RNF166
ACTN4	PDLIM1
ACTN1	PDLIM1
ACTN2	PDLIM1
ACTN3	PDLIM1
NUDT12	PDLIM1
KIF15	PHYHIP
PHYHIP	PTRH2
PHYHIP	PRKD2
LIMD1	PHYHIP
PHYHIP	TRIP6
FXR1	PINX1
FAM98A	PINX1
PINX1	RPL8
PINX1	TERF1
IGHG2	PLSCR4
PLSCR4	ZDHHC17
ALG13	PLSCR4
FBLN1	PLSCR4
PPP1CA	PPP1R8
PPP1CA	PPP1R13B
PPP1CA	TP53BP2
PDRG1	PPP1CA
PLCL2	PPP1CA
PPP1CA	PPP1R13L
PPP1CA	RIF1
PPP1CA	ZFYVE9
PPP1CA	PPP1R9B
PPP1CA	PPP1R9A
GYS2	PPP1CA
GYS1	PPP1CA
KIAA1949	PPP1CA
CDCA2	PPP1CA
PPP1CA	RPAP3
POLR3A	PPP1CA
PPP1CA	SCRIB
LRRC1	PPP1CA
C12orf57	PPP1CA
LRRC68	PPP1CA
KIAA1279	PPP1CA
MKI67	PPP1CA
PPP1CA	YLPM1
CASC5	PPP1CA
PEAK1	PPP1CA
PPP1CA	WBP11
PPP1CA	ZFYVE16
ERBB2IP	PPP1CA
EIF2AK4	PPP1CA
PPP1CA	PPP1R2
C19orf2	PPP1CA
PPP1CA	RUVBL1
PPP1CA	SHOC2
NUP153	PPP1CA
PPP1CA	PPP1CB
C20orf27	PPP1CA
KIF18A	PPP1CA
CCDC85C	PPP1CA
PPP1CA	RASSF8
PPP1CA	PPP1R10
PPP1CA	TANC2
PHACTR4	PPP1CA
PPP1CA	TPRN
CSRNP2	PPP1CA
CNST	PPP1CA
PPP1CA	PPP1R11
CCDC85B	PPP1CA
POLR3E	PPP1CA
CSRNP1	PPP1CA
PPP1CA	PPP1R3D
PPP1CA	RASSF7
HOMEZ	PPP1CA
PPP1CA	SUPT6H
BABAM1	BRE
BABAM1	SHMT2
BABAM1	TNKS2
BABAM1	TNKS
BABAM1	FAM175A
BABAM1	UIMC1
BABAM1	BRCC3
BABAM1	FAM175B
INPP5A	RABGGTB
PRRC2C	RABGGTB
PIPSL	RABGGTB
PIP5K1C	RABGGTB
PIP5K1A	RABGGTB
AKAP11	RABGGTB
PALM	RABGGTB
NOTCH3	RABGGTB
NOTCH2	RABGGTB
MCMBP	RABGGTB
C13orf34	RABGGTB
FAM175A	RABGGTB
CALCOCO1	RABGGTB
RABGGTB	TRIM33
MCM3	RABGGTB
PTAR1	RABGGTB
FBXL20	RABGGTB
RABGGTB	RHOBTB3
HRAS	RABGGTB
NRAS	RABGGTB
PXN	RABGGTB
RAB40C	RABGGTB
RABGGTB	RAP2C
RABGGTB	RAP2A
RABGGTA	RABGGTB
ARHGEF6	RABGGTB
ACOT9	RABGGTB
PTP4A1	RABGGTB
PTP4A2	RABGGTB
PRKACB	RABGGTB
C9orf25	RABGGTB
FOXK1	RABGGTB
NCOA1	RABGGTB
GNB1L	RABGGTB
HOOK1	RABGGTB
GIT1	RABGGTB
GIT2	RABGGTB
PPP1R16A	RABGGTB
RABGGTB	ZC3HAV1L
PGBD5	RABGGTB
RABGGTB	TRMT2B
RABGGTB	YKT6
RCN1	SPECC1L
MYO18A	RCN1
PPP1R9A	RCN1
RCN1	WDR45L
RCN1	VWA1
HNRPLL	RCN1
PTRH1	RCN1
RCN1	RNF41
IQCE	RFFL
PRKD2	RFFL
RFFL	SHC1
EFCAB7	RFFL
NME2	TRABD
ATP12A	TRABD
HSP90AA4P	TRABD
DNAJC11	TRABD
HSDL1	TRABD
FCN1	TRABD
FYCO1	TRUB2
TRUB2	YARS2
HSPD1	TRUB2
LAMP2	TRUB2
DCAF10	TRUB2
MRPL39	TRUB2
ATP2A3	TSPAN17
SGCB	TSPAN17
PNPLA6	TSPAN17
DHRS7	TSPAN17
TSPAN17	TYW1
GHDC	TSPAN17
SLC44A1	TSPAN17
AGPAT3	TSPAN17
CYP51A1	TSPAN17
EPHX1	TSPAN17
TSPAN17	UPK3BL
RNF149	TSPAN17
BSCL2	TSPAN17
GPR89A	TSPAN17
METTL7A	TSPAN17
C20orf108	TSPAN17
CCDC115	TSPAN17
FAM189B	TSPAN17
FAM134C	TSPAN17
TM2D3	TSPAN17
TMEM199	TSPAN17
PRAF2	TSPAN17
GP1BB	TSPAN17
BCL2L14	TRAPPC10
BCL2L14	TRAPPC4
BCL2L14	MTA2
BCL2L14	C7orf43
BCL2L14	TRAPPC9
BCL2L14	TRAPPC6B
BCL2L14	TRAPPC1
BCL2L14	TRAPPC3
BCL2L14	TRAPPC5
BCL2L14	TRAPPC2L
BCL2L14	TRAPPC2
BCL2L14	CHEK1
BCL2L14	VHL
CREBBP	TXNDC11
TXLNA	TXNDC11
RBL2	TXNDC11
TXNDC11	USO1
RBL1	TXNDC11
CCNA2	TXNDC11
PCNT	TXNDC11
HAUS4	TXNDC11
PSMD1	UCHL5
PSMD13	UCHL5
INO80C	UCHL5
FHOD1	UCHL5
NFRKB	UCHL5
PSMD3	UCHL5
PSMD11	UCHL5
PSMC6	UCHL5
PSMC3	UCHL5
ADRM1	UCHL5
PSMD6	UCHL5
PSMC4	UCHL5
PSMC1	UCHL5
PSMC5	UCHL5
PSMD2	UCHL5
ACTR8	UCHL5
PSMD14	UCHL5
INO80	UCHL5
PSMD10	UCHL5
PSMC2	UCHL5
PSMD8	UCHL5
RUVBL2	UCHL5
PSMD12	UCHL5
RGPD5	UCHL5
RGPD8	UCHL5
RUVBL1	UCHL5
PSMD4	UCHL5
ACTR5	UCHL5
PAAF1	UCHL5
INO80B	UCHL5
TFPT	UCHL5
UCHL5	YY1
INO80E	UCHL5
CCDC92	UCHL5
INO80D	UCHL5
MCRS1	UCHL5
UBE3A	UCHL5
TGFBRAP1	VPS11
VPS11	VPS18
TNPO2	VSIG2
TNPO1	VSIG2
THADA	VSIG2
VSIG2	XPO6
VSIG2	XPO5
KIF14	VSIG2
ATR	VSIG2
SAAL1	VSIG2
TTI1	VSIG2
KIAA1524	VSIG2
COG6	VSIG2
VSIG2	XPO4
COG4	VSIG2
MTOR	VSIG2
COG5	VSIG2
COG2	VSIG2
TNPO3	VSIG2
CHORDC1	VSIG2
CDS1	VSIG2
COG7	VSIG2
STAG2	VSIG2
COG3	VSIG2
VSIG2	XPO7
COG8	VSIG2
RAB21	VSIG2
B4GALT7	C6orf72
C6orf72	KIAA0319L
C6orf72	CSGALNACT2
ATP2B2	C6orf72
C6orf72	NDFIP1
C6orf72	TFIP11
C6orf72	LRP11
C6orf72	FLVCR1
C6orf72	PLEKHA5
C6orf72	GLCE
C6orf72	CALCB
C6orf72	PDZD11
C6orf72	CLSTN1
C2orf3	C6orf72
C6orf72	CANT1
C6orf72	NRP1
C6orf72	ULBP3
C6orf72	LMAN1
C6orf72	DAG1
C6orf72	PTPRS
C6orf72	TPST1
C6orf72	MAN1A1
C6orf72	LTBP1
ADIPOR1	C6orf72
ACVR2B	C6orf72
ACVR2A	C6orf72
C6orf72	HS6ST2
ARF5	C6orf72
C6orf72	FGFR1
C6orf72	CHPT1
C6orf72	CTSL2
C6orf72	LDLR
C6orf72	NMU
C6orf72	VAMP7
C6orf72	RNF149
C6orf72	SMOC1
C6orf72	TNFRSF10B
C6orf72	SLC35F5
ADCY9	C6orf72
B4GALT5	C6orf72
CA10	MTHFD1
CA10	WDHD1
CA10	TSC22D1
CA10	IMPACT
ASS1	CA10
CA10	CALCOCO1
CA10	TOR1AIP1
CA10	PHYHIP
CA10	COL6A2
ABT1	CA10
CA10	INO80
CA10	MTERFD2
CA10	G6PD
CA10	NRBP1
CA10	NSUN4
CA10	PSMG1
CA10	KCTD15
CA10	PIAS4
CA10	PSMG2
CA10	PSMG3
CA10	PSMG4
CA10	DCTN3
CA10	PPRC1
CACNG4	RMND1
CACNG4	RSPRY1
ARL10	CACNG4
CACNG4	MTX1
CACNG4	DPY19L3
CACNG4	MTX3
CCDC132	VPS54
CCDC132	VPS52
C11orf2	CCDC132
CCDC132	TSSC1
CCDC92	PSMD1
CCDC92	PSMD13
CCDC92	PSMD3
CCDC92	PSMD11
CCDC92	PSMC6
CCDC92	PSMC3
CCDC92	PSMC4
CCDC92	PSMC1
CCDC92	PSMC5
CCDC92	PSMD2
CCDC92	PSMD14
CCDC92	PSMD10
CCDC92	PSMC2
CCDC92	PSMD8
ADRM1	CCDC92
CCDC92	PSMD7
CCDC92	SERPINB4
CCDC92	PSMD12
CCDC92	PSMD6
CCDC92	PSMD4
CGRRF1	COLEC12
ATP2A3	CGRRF1
CGRRF1	KIDINS220
CGRRF1	SREBF2
CGRRF1	PLEKHB2
CGRRF1	FOXD2
CGRRF1	USP33
B4GALT3	CGRRF1
CGRRF1	N4BP2L2
C10orf137	CHORDC1
CHORDC1	TTC4
COL2A1	COL9A1
COL6A2	COL9A1
COL6A1	COL9A1
COL9A1	PPP1R12C
COL9A1	VHL
ARID4B	CTSK
CTSK	ERBB2IP
CTSK	CTSL2
CTSK	CTSL1
C18orf25	CTSK
DFFA	TSPYL4
DFFA	DFFB
DHRS13	KIAA1279
ECH1	MCCC2
ECH1	ECI2
ECH1	TRAF3
ECH1	MCCC1
ECH1	IQGAP1
ECH1	EIF2B3
ECH1	FHL2
ANTXR1	CA11
ANTXR1	POTEF
ANTXR1	TUBB8
ANTXR1	HSPA5
ANTXR1	RICTOR
ANTXR1	PDIA5
ANTXR1	TUBA4A
ANTXR1	TUBA1A
ANTXR1	PC
ANTXR1	DNAJC12
ANTXR1	OBSL1
ANTXR1	RPL23
ANTXR1	H6PD
ANTXR1	KIRREL
ANTXR1	GALNT7
ANTXR1	WFS1
ANTXR1	PCYOX1
ANTXR1	CNTNAP3
ANTXR1	FOXF2
ANTXR1	DMXL2
ANTXR1	MAP2K7
ANTXR1	B4GALNT4
ANTXR1	MANEA
ANTXR1	ERF
ANTXR1	SAMD1
ANTXR1	WNT5A
DMWD	WDR6
DMWD	TKT
DMWD	GAK
DNAJB4	DNAJB5
DNAJB1	DNAJB4
DNAJB4	GLB1
DNAJB4	SYNM
C3orf38	DNAJB4
DNAJB4	TTLL12
EID3	TLK2
EID3	SMC6
ACSL4	EID3
EID3	NSMCE2
EID3	NDNL2
EID3	SMC5
EID3	NSMCE1
EID3	PTGES2
DIS3	EID3
C22orf32	EID3
EIF2S2	EIF2S3
EIF2S2	PRMT7
EIF2S1	EIF2S2
CDC123	EIF2S2
ETFA	ETFB
C8orf82	ETFA
FAS	TUBB4
FAS	TUBB3
FAS	TUBB2A
FAS	TUBB2B
FAS	RUFY1
FAS	NDUFAF1
FAS	MAP1S
FAS	GPD1L
FAS	PDXDC1
CHD1L	FAS
FAS	SPATA5L1
FAS	RHOBTB3
FAS	UGDH
CTU2	FAS
FAS	UFSP2
FADD	FAS
FAS	INTS2
FAS	GPN3
CASP8	FAS
C17orf75	FAS
FAS	METTL13
FAM118B	FAS
ARF5	FAS
FAM91A1	FAS
DPH1	FAS
CDYL	FAS
FAS	PEX1
C19orf52	FAS
FAS	SFXN5
ABHD11	FAS
GAPDH	GAPDHS
ASPSCR1	GAPDH
GATA1	TRIP6
FBP1	GIMAP2
GIMAP2	PRMT8
GIMAP2	TOR1B
GIMAP2	STOM
HEY1	HEY2
CHMP1A	HEY2
CARM1	HEY2
ARL10	HEY2
HEY2	KIAA0174
ACADVL	HIBCH
HIBCH	MKRN2
ANXA1	KIR2DS2
INTS12	KIR2DS2
KIR2DS2	KIR3DP1
KIR2DS2	KIR2DS5
KIR2DS1	KIR2DS2
KIR2DS2	KIR3DL1
FASTKD1	KIR2DS2
CST4	KIR2DS2
CST1	KIR2DS2
CST2	KIR2DS2
KIR2DS2	LTN1
KIR2DS2	RHOBTB3
KIR2DS2	ZG16B
AMY1C	KIR2DS2
CRNN	KIR2DS2
KIR2DS2	RABGAP1
C20orf70	KIR2DS2
CST5	KIR2DS2
KIR2DS2	MUC7
IGHA2	KIR2DS2
IGHA1	KIR2DS2
KIR2DS2	MUC5B
IGJ	KIR2DS2
APOL2	UBB
APOL2	SOD1
APOL2	BPNT1
LCMT1	PPP2CA
LCMT1	PPP4C
LCMT1	PPP4R2
LDHA	LDHB
LDHA	LDHC
LGALS12	VPS13C
LGALS12	LIMD1
EMB	LGALS12
GSN	LRRC39
LRRC39	NINL
LIMA1	LRRC39
CETN2	LRRC39
ACTBL2	LRRC39
LRRC39	MIPOL1
LRRC39	SUGT1
CNNM4	LRRC39
LRRC39	RAD50
LRRC39	PTP4A1
LRRC39	MYO5B
MAP2K3	MAP2K6
CST1	MAP2K6
MFGE8	YTHDF1
ITGB5	MFGE8
MRPL39	PTCD1
MRPL39	NGRN
MRPL39	MRPL45
MRPL39	YARS2
MRPL39	MRPL46
ARMC8	MRPL39
MRPL39	MTERFD1
MRPL32	MRPL39
MRPL11	MRPL39
MRPL39	MRPL48
MRPL39	MRPL40
MRPL3	MRPL39
MRPL1	MRPL39
MRPL39	MRPL41
MRPL22	MRPL39
MRPL24	MRPL39
MRPL39	MRPL49
MRPL39	MRPL44
MRPL38	MRPL39
MRPL20	MRPL39
MRPL39	RPUSD4
MRPL27	MRPL39
MRPL39	MRPL55
C7orf30	MRPL39
MRPL39	MRPL47
MRPL16	MRPL39
MRPL19	MRPL39
ICT1	MRPL39
MRPL2	MRPL39
MRPL13	MRPL39
MRPL17	MRPL39
MRPL15	MRPL39
MRPL30	MRPL39
MRPL39	MRPS30
MRPL14	MRPL39
MRPL39	RNMTL1
MRPL18	MRPL39
MRPL39	MRPL51
MRP63	MRPL39
CDS1	MUC15
FCRL4	MUC15
NBPF1	NBPF3
C14orf142	OSGEP
LAGE3	OSGEP
OSGEP	TPRKB
NUP43	OSGEP
AGPHD1	OSGEP
CCDC28B	OSGEP
OSGEP	POP7
ATP12A	P2RY14
PLAUR	TUBB3
GYLTL1B	PLAUR
LARGE	PLAUR
PKN1	PLAUR
PLAUR	PXDN
GLB1	PLAUR
MBTPS1	PLAUR
PLAUR	TXNDC16
PLAUR	TAZ
LAMB2	PLAUR
PLAUR	POGLUT1
C3orf39	PLAUR
ARSA	PLAUR
GALNS	PLAUR
EXT1	PLAUR
CHSY1	PLAUR
CHSY3	PLAUR
DDX11	PLAUR
DDX11L8	PLAUR
PLAUR	TUBA4A
LOXL2	PLAUR
ADCK1	PLAUR
MAN2A1	PLAUR
C3orf64	PLAUR
NAGLU	PLAUR
DNAJB9	PLAUR
NDST2	PLAUR
NDST1	PLAUR
PLAUR	SGSH
ARSK	PLAUR
FUT11	PLAUR
CNTNAP3B	PLAUR
MAN1A1	PLAUR
MGAT4B	PLAUR
PLAUR	TOP2B
PI4K2B	PLAUR
PCYOX1	PLAUR
PCSK5	PLAUR
MGAT5	PLAUR
LEPREL2	PLAUR
PLAUR	RPUSD3
GCLM	PLAUR
ARSB	PLAUR
HUS1	PLAUR
MELK	PLAUR
EMILIN3	PLAUR
PLAUR	TATDN2
DHFRL1	PLAUR
DHRS4	PLAUR
MANEA	PLAUR
CCRN4L	PLAUR
PLAUR	PLTP
PLAUR	ST3GAL4
PLAUR	UBE3A
MAN2A2	PLAUR
NEK4	PLAUR
BMP8B	PLAUR
PLAUR	XRCC3
MCM9	PLAUR
EWSR1	PRMT8
PRMT8	VIM
INA	PRMT8
HNRNPU	PRMT8
FAM120A	PRMT8
DHX9	PRMT8
HNRNPR	PRMT8
PRMT8	SYNCRIP
PRMT1	PRMT8
BCLAF1	PRMT8
PRMT8	THRAP3
LSM14A	PRMT8
HNRNPUL2	PRMT8
HNRNPA1	PRMT8
CHTOP	PRMT8
FBXW11	PRMT8
HNRNPK	PRMT8
PRMT8	SCAF11
PRMT8	THOC4
ANGEL2	PRMT8
DNAJC17	PTH1R
MBOAT7	PTH1R
ATP12A	PTH1R
PIGO	PTH1R
PTH1R	SLC12A9
PTH1R	TMX2
OPA1	PTH1R
PTH1R	SLC4A2
PTH1R	SPPL2B
PTH1R	SLC12A4
PTH1R	SLC30A1
PTH1R	SOAT1
CCPG1	PTH1R
PTH1R	SLC44A1
PTH1R	SIDT2
EVI5L	PTH1R
ATP11C	PTH1R
PTH1R	SLC47A1
DEGS1	PTH1R
FADS1	PTH1R
FAM118B	PTH1R
ATP13A2	PTH1R
ALG10	PTH1R
PCNXL3	PTH1R
ACAD10	PTH1R
PTH1R	SGPP1
B3GAT3	KIAA1468
B3GAT3	GOLIM4
B3GAT3	NLGN2
B3GAT3	NLGN1
B3GAT3	COLEC12
B3GAT3	CKAP4
B3GAT3	HEATR2
B3GAT3	HEATR3
B3GAT3	PBXIP1
B3GAT3	HAUS7
B3GAT3	WDR13
RSRC1	TFIP11
C17orf85	RSRC1
GCFC1	RSRC1
JMJD6	RSRC1
RSRC1	SNRNP40
CSNK2A1	RSRC1
CSNK2A2	RSRC1
ICK	SLC35A1
CASP3	SLC35A1
SPDEF	UNC119
PRDM16	SPDEF
MECOM	SPDEF
MYO5C	SPDEF
SLC4A2	SPDEF
FASTKD1	SPDEF
PRMT8	SPDEF
C5orf30	SPDEF
SRGAP2	SRGAP3
ACAD8	SRGAP3
CLOCK	SRGAP3
SPAG5	SRGAP3
CCDC85C	SRGAP3
PPP1R13B	SRGAP3
SRGAP3	TP53BP2
PGGT1B	SRGAP3
FAM3C	ST3GAL4
MANEAL	ST3GAL4
ST3GAL4	TBC1D15
C1GALT1C1	ST3GAL4
CSGALNACT2	ST3GAL4
DHFRL1	ST3GAL4
OAF	ST3GAL4
LRFN3	ST3GAL4
FBP1	ST6GALNAC5
FBXO2	ST6GALNAC5
BCKDK	LGALS3BP
BCKDK	CETN3
BCKDK	WDTC1
BCKDK	CETN2
BNIP1	STX18
LDOC1L	STX18
STX18	ZW10
NBAS	STX18
STX18	STX5
FUT8	STX18
SNAP47	STX18
SCFD1	STX18
STX18	STX8
BET1	STX18
STX18	VAMP8
BET1L	STX18
TADA1	TAF6L
TADA1	TRRAP
TADA1	TAF9B
TADA1	TAF9
TADA1	TAF10
HCCS	TADA1
TADA1	TAF5L
TADA1	TAF12
SUPT7L	TADA1
KAT2B	TADA1
FAM48A	TADA1
TADA1	TADA2B
GHITM	TOR1B
LMAN2L	TOR1B
BTN2A1	BTN2A2
BLZF1	BTN2A1
BTN2A1	TYW1
BTN2A1	SGPL1
ATP2A3	BTN2A1
BTN2A1	RAB3GAP1
BTN2A1	POTEF
BTN2A1	OSBP
BTN2A1	PLCB1
BTN2A1	PDZD8
BTN2A1	UPK3BL
BTN2A1	ND1
BTN2A1	TMX4
BTN2A1	FAM171A2
BTN2A1	ITFG2
BTN2A1	FAM116A
BTN2A1	SLC25A30
BTN2A1	KPTN
BTN2A1	FMN2
VPS26B	VPS29
VPS26B	VPS35
NEK1	VPS26B
ATE1	VPS26B
TBC1D5	VPS26B
C21orf2	VPS26B
SNX27	VPS26B
HDAC1	WDR5
HDAC2	WDR5
KIAA1267	WDR5
CSRP2BP	WDR5
WDR5	YEATS2
BOD1	WDR5
MLL2	WDR5
RBBP5	WDR5
WDR5	ZZZ3
PDPK1	WDR5
HCFC2	WDR5
MGA	WDR5
MLL4	WDR5
MLL	WDR5
SETD1B	WDR5
SETD1A	WDR5
KDM6A	WDR5
L3MBTL2	WDR5
BOD1L	WDR5
ASH2L	WDR5
KAT2B	WDR5
KAT2A	WDR5
RYBP	WDR5
TADA3	WDR5
MBIP	WDR5
PPP1R3F	WDR5
DR1	WDR5
TADA2A	WDR5
PAXIP1	WDR5
FAM199X	WDR5
RNF2	WDR5
CXXC1	WDR5
PCGF6	WDR5
WDR5	ZXDC
RERE	WDR5
ATN1	WDR5
SESN2	WDR5
NCOA6	WDR5
POLR2A	WWP2
AMOTL1	WWP2
AMOT	WWP2
ARRDC1	WWP2
FBXO11	WWP2
CPSF6	WWP2
FAM168A	WWP2
ALDH7A1	XRCC4
APTX	XRCC4
LIG4	XRCC4
IFFO2	XRCC4
IFFO1	XRCC4
NFKB1	XRCC4
APPBP2	XRCC4
PNKP	XRCC4
LONRF2	XRCC4
BTN3A2	BTN3A3
BTN3A1	BTN3A2
ATP5G1	BTN3A2
BTN3A2	PEX13
BTN3A2	C9orf5
C11orf42	SNX5
C11orf42	SNX2
C11orf49	LRRC49
C11orf49	C18orf10
C1QTNF9	GLT25D2
C1QTNF9	COL14A1
C1QTNF9	DHRS4
C1QTNF9	PHKA1
C1QTNF9	C1QTNF9B
C1QTNF9	MGEA5
C1QTNF9	COL6A2
C1QTNF9	COL6A1
C1QL1	C1QTNF9
C1QTNF9	TSNAX
C1QTNF9	LEPREL2
C1QTNF9	COL18A1
C1QTNF9	COL2A1
CA14	EIF2B5
CA14	THADA
CA14	EIF2B4
CA14	NF1
ATR	CA14
CA14	TNPO2
CA14	SLC22A18
CA14	RANBP6
CA14	PEX19
CA14	SAAL1
CA14	KIAA1524
CA14	COG2
CA14	DNM1L
CA14	IQCB1
CA14	EIF2B1
CA14	XPO4
CA14	PI4KA
CA14	COG4
CA14	EXOC7
CA14	LTN1
CA14	EXOC5
CA14	KIF14
CA14	MTOR
CA14	EIF2B2
CA14	NCAPH2
CA14	EIF2B3
CA14	COG7
CA14	EXOC6B
CA14	SLC38A7
CA14	XPO6
CA14	FAM176B
CAB39L	STRADA
CAB39	CAB39L
ACOT7	CAB39L
CAB39L	STK11
CCDC68	FYCO1
CCDC68	PLEC
CCDC68	CENPF
CCDC68	FBP1
CCDC68	CEP170
CCDC68	NDC80
CCDC68	RABGAP1
BTN3A2	CCDC68
CCDC68	NIN
COPS2	COPS5
COPS5	FNIP1
COPS5	GPS1
COPS5	CUL4B
COPS5	CUL4A
COPS4	COPS5
COPS5	KIAA1737
COPS5	CUL3
COPS3	COPS5
