Gene	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D1	TCGA-A2-A0D2	TCGA-A2-A0EQ	TCGA-A2-A0EV	TCGA-A2-A0EX	TCGA-A2-A0EY	TCGA-A2-A0SX	TCGA-A2-A0T1	TCGA-A2-A0T3	TCGA-A2-A0T6	TCGA-A2-A0T7	TCGA-A2-A0YC	TCGA-A2-A0YD	TCGA-A2-A0YF	TCGA-A2-A0YG	TCGA-A2-A0YI	TCGA-A2-A0YL	TCGA-A2-A0YM	TCGA-A7-A0CD	TCGA-A7-A0CE	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A8-A06N	TCGA-A8-A06Z	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A08G	TCGA-A8-A08Z	TCGA-A8-A09G	TCGA-A8-A09I	TCGA-AN-A04A	TCGA-AN-A0AJ	TCGA-AN-A0AL	TCGA-AN-A0AM	TCGA-AN-A0AS	TCGA-AN-A0FK	TCGA-AN-A0FL	TCGA-AO-A03O	TCGA-AO-A0J6	TCGA-AO-A0J9	TCGA-AO-A0JC	TCGA-AO-A0JE	TCGA-AO-A0JJ	TCGA-AO-A0JL	TCGA-AO-A0JM	TCGA-AO-A126	TCGA-AO-A12B	TCGA-AO-A12D	TCGA-AO-A12E	TCGA-AO-A12F	TCGA-AR-A0TR	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TX	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-AR-A1AP	TCGA-AR-A1AQ	TCGA-AR-A1AS	TCGA-AR-A1AV	TCGA-AR-A1AW	TCGA-BH-A0AV	TCGA-BH-A0BV	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C1	TCGA-BH-A0C7	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0E9	TCGA-BH-A0EE	TCGA-BH-A0HK	TCGA-BH-A0HP	TCGA-BH-A18N	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-C8-A12L	TCGA-C8-A12P	TCGA-C8-A12Q	TCGA-C8-A12T	TCGA-C8-A12U	TCGA-C8-A12V	TCGA-C8-A12W	TCGA-C8-A12Z	TCGA-C8-A130	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A135	TCGA-C8-A138	TCGA-D8-A13Y	TCGA-D8-A142	TCGA-E2-A10A	TCGA-E2-A150	TCGA-E2-A154	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A15A
RMND5A	3.67895	4.77048	4.06866	3.7144	4.07841	3.4669	3.94343	3.76494	4.10342	2.70683	3.30868	3.9666	3.81061	4.03926	3.18535	4.36026	2.79784	3.54923	4.05623	3.80704	3.86069	3.27938	4.55725	2.85208	3.44161	4.07348	3.47219	3.76184	3.77846	3.91501	3.31888	3.13754	3.51586	3.84411	3.68821	2.64564	3.78711	3.29256	3.98816	4.22151	3.01608	3.03687	3.26211	3.10262	4.05417	3.2831	3.19063	3.16752	3.8484	3.23405	3.64386	4.16294	4.42332	3.84919	3.94944	4.26829	4.07628	3.12217	3.48434	3.9373	3.36256	3.41222	3.78757	3.3003	3.3105	3.31704	3.26989	4.10588	3.25976	4.02424	3.64163	4.21292	3.5833	4.38791	3.13225	3.41345	3.90813	4.16142	4.70871	4.01103	3.92196	4.45232	4.36751	3.76911	3.32247	3.62257	3.40519	3.76933	3.41361	3.43337	3.39746	4.2098	3.89497	3.30169	3.18676	4.95226	3.93304	4.1054	3.80018	4.05794	4.29966	3.78286	4.26623
ELOVL1	5.87422	5.30534	5.33903	5.60685	5.52672	5.01453	5.06212	4.81727	5.03289	5.53078	5.18898	4.51305	4.97986	4.76007	4.91	5.15649	4.94288	5.49168	4.87609	6.66189	5.30894	5.38679	4.98282	5.54507	5.09175	5.96781	5.29795	5.77848	5.21044	4.95348	5.46597	5.11489	4.85976	4.49851	5.92512	5.38362	5.10627	4.83562	6.42972	4.68929	6.50634	4.56725	4.58617	5.35725	5.01734	4.67414	5.70638	5.01259	5.32804	5.00535	5.01766	5.55881	4.7062	5.06282	5.69162	4.88126	5.19424	5.79212	5.04935	5.63418	5.46891	4.57409	4.50189	5.18034	5.13595	5.70339	5.3422	4.47113	4.64449	4.79253	5.46563	6.45659	5.05658	4.73736	5.49565	5.16754	4.90777	4.93662	6.27748	5.27821	4.74197	5.04779	5.40204	5.74583	5.61276	5.09904	5.64285	5.97317	4.95928	4.40982	5.51556	5.26951	6.2335	5.28534	4.73112	4.44269	5.65574	5.20842	5.82367	4.72216	6.0387	5.48903	5.68863
KLC2	2.75308	3.35253	3.6531	3.82029	3.44899	2.5499	2.40586	3.1716	3.02627	2.88613	2.53118	2.36968	2.99409	3.29055	2.71389	2.44228	2.90146	2.12794	2.08261	2.80731	3.4138	2.58775	3.2023	2.68851	3.28026	2.7784	2.40599	3.2346	2.92367	2.68927	2.83534	3.41865	2.93182	3.20246	3.34243	3.12792	2.98113	3.73542	2.39798	3.00844	3.4953	1.47583	2.30515	2.44991	2.51618	2.45704	3.65375	1.87813	3.5981	2.36349	2.5328	3.52474	2.6379	3.20697	4.60466	1.10658	3.30594	3.58007	3.51915	3.31306	2.46269	1.89762	2.82169	1.37464	2.59358	3.20791	2.28385	2.38551	3.77375	3.13532	3.29996	1.52045	3.34044	2.31165	2.80037	2.77139	2.10906	3.23317	2.51334	3.61055	3.38891	2.85534	3.7694	2.83939	1.82195	2.78426	2.9476	2.72497	2.85657	2.36843	3.64686	2.63364	2.70408	3.17445	2.81359	3.82819	3.50916	3.78704	2.92365	2.53842	3.07441	3.32302	3.13097
PLEKHG2	2.21933	1.08108	1.9398	2.9728	1.58117	0.933875	0.735152	1.13596	3.97976	2.61057	0.906137	1.55099	1.29185	1.54693	2.43998	1.02615	0.952722	1.10281	1.65144	2.46479	0.517137	2.14599	1.67381	2.07836	0.994794	0.165759	1.156	1.79706	0.814041	2.16431	0.863027	0.881931	2.14691	0.53607	1.63803	1.10933	1.91429	0.611126	-0.0781946	1.8199	0.952629	1.54037	2.90248	1.45469	1.01251	1.85762	1.50317	1.63117	0.0897621	1.50561	1.37641	2.42379	-1.17287	1.43163	0.545038	1.4664	1.29953	0.634711	2.66206	2.06899	1.54046	1.32038	2.06045	3.03733	1.18058	1.5761	1.29849	1.38235	1.73116	1.20643	1.94277	0.715679	1.17122	0.924534	-0.793313	0.777148	0.694339	2.12425	2.33172	0.575601	0.881791	2.66536	0.878299	1.12158	1.02775	1.6152	0.0858299	1.67912	1.72296	0.902746	1.97471	2.23463	2.75458	1.34111	1.53124	2.26633	2.89467	1.63086	1.11715	1.47396	2.41569	2.16466	1.49837
LPIN3	2.55892	1.97418	-1.83768	0.718693	1.09389	1.64845	0.400842	1.91011	1.8879	1.28259	0.481057	1.45019	1.98787	1.17407	2.20553	1.70105	1.73919	0.799529	1.73182	1.037	2.63664	1.84144	2.52426	3.9644	2.73813	1.64761	1.00598	3.057	2.74148	1.50416	0.669327	2.4211	1.17788	1.15745	0.866709	3.68688	0.357403	1.72133	0.516739	2.40329	2.04764	1.43855	1.35317	1.91568	1.32649	3.11832	0.877694	1.70289	1.41508	1.46687	2.20304	-0.318743	2.46384	1.35776	2.54398	0.391081	2.12687	0.981204	2.45316	2.21827	1.81726	2.17287	2.01608	0.775964	1.71953	2.11257	1.61154	1.1218	2.4053	2.20304	1.86787	1.26818	1.1268	2.58789	0.455446	1.60696	0.712575	3.126	2.8497	1.85135	2.44685	1.40161	2.61052	1.12376	2.34516	-0.131478	0.781073	0.841544	2.4813	0.327116	2.98088	1.09641	2.14074	0.186992	2.65316	3.16593	2.5362	2.46475	2.09544	2.12474	4.02123	2.23627	2.79355
CASD1	1.96109	1.64617	2.62471	2.6495	2.52786	3.56132	2.87768	4.13979	2.04019	2.50339	2.48458	3.9347	2.62158	4.15837	3.897	4.10827	3.58579	3.69126	3.53005	2.23422	3.42742	2.40848	3.49761	3.81123	3.44479	3.60593	2.38348	1.52164	2.8233	4.51152	3.15049	3.70019	2.98177	1.71153	1.88524	0.949724	1.87856	1.97094	2.10218	2.34706	1.98558	2.55008	3.33781	1.54956	3.28156	2.19069	1.93509	3.32645	2.78393	2.34104	3.63252	2.60582	4.03429	2.39565	2.36148	2.9833	2.66999	2.99921	3.51803	2.08925	2.60488	5.78559	3.17531	1.40711	1.98543	2.01794	2.52693	3.83517	2.60336	3.64083	2.82887	1.47742	2.06878	3.55699	1.87274	1.56918	2.77306	4.39334	2.20084	2.42913	2.0201	1.90254	1.91472	1.69917	3.29775	1.53725	2.02324	2.19867	1.26117	1.88519	2.56403	1.68605	3.11755	2.48614	1.77248	3.87475	1.62814	3.20627	1.86153	3.11014	2.40216	2.15036	2.46588
CCDC71	3.45696	2.75075	3.44164	2.87917	3.46138	3.88236	4.04859	3.67776	2.58364	3.88866	3.04308	3.77163	4.35523	3.97563	4.0356	3.91674	3.60033	3.6607	3.53639	3.6674	4.44254	3.34971	2.92604	3.633	3.67998	3.15414	3.84378	3.93708	3.82262	3.82793	3.49165	2.91509	3.55745	3.71995	3.14514	3.71657	4.06292	3.73811	2.64562	3.41906	2.72229	3.48672	3.8495	3.25748	3.90555	3.15627	3.62084	3.31229	3.71784	3.8271	3.35472	3.5438	4.26682	3.7884	3.66201	3.0439	3.15038	3.10863	4.08189	3.76337	4.89396	3.30592	3.53283	4.14504	3.83539	3.00077	3.59655	3.63138	3.13278	3.45321	3.18084	2.83942	3.79802	3.47286	3.83609	3.46572	3.97528	4.24866	3.10618	4.131	3.95107	2.78199	2.49635	3.32092	2.54741	3.68703	3.74932	3.35824	4.32334	3.86785	3.27789	3.77865	2.94989	3.45324	4.23574	3.53488	3.25959	3.9039	2.49148	4.18351	3.12517	3.24585	3.23036
MRPL14	6.27657	5.89074	5.65087	6.76841	5.68536	5.67804	5.36964	5.27202	4.76843	5.34737	4.47009	4.48331	4.6475	5.66348	4.73352	5.38833	5.32236	4.73903	4.81262	6.07677	6.4905	5.46608	6.24717	5.98779	5.29712	5.4792	5.63102	5.41249	5.17292	4.88831	5.57335	5.40107	4.61894	6.56824	6.37509	5.38734	4.83081	6.26969	6.9011	5.29229	6.03265	5.43579	4.7892	4.90774	4.50723	5.98363	5.61257	5.79662	6.46806	4.97919	5.58712	6.05811	5.9801	4.76347	6.20361	4.84356	6.18819	5.64253	4.91774	6.58463	5.16886	5.13503	4.96673	6.02796	4.95525	5.88121	5.61659	5.15596	5.77639	5.17377	5.19861	5.72458	5.28255	4.35569	6.02216	4.63937	5.11581	5.45371	5.71157	5.54421	4.76085	5.67182	5.29273	5.34596	4.33418	5.32144	5.95778	5.22714	5.31765	5.19727	5.9199	5.83317	6.30544	5.80654	6.11748	4.35919	7.17867	5.2939	7.28697	5.45072	5.14324	5.66392	5.48814
CENPH	2.56894	2.51358	2.55821	3.36682	2.83105	2.11602	1.51764	1.28015	1.81897	1.74448	2.90195	1.49263	1.80553	2.33735	1.28437	2.1561	3.21381	0.989199	2.61749	2.27466	1.61195	3.47147	3.74416	3.62226	1.46335	2.71316	0.878283	2.06384	2.69984	1.62492	2.44714	3.18315	0.818751	3.18586	2.23262	2.53008	0.643437	2.36509	-0.0648048	3.21299	2.45297	2.64797	2.31166	1.73523	2.25497	1.57495	2.24672	2.46953	2.19669	1.67077	2.53153	3.03492	2.24577	1.62982	1.40372	2.42896	2.55082	1.80033	1.63167	2.25118	2.34176	2.34345	2.19144	2.1578	1.98728	1.527	2.20415	2.90555	3.04509	3.32107	0.634611	1.83827	2.43398	1.79306	2.65246	1.89815	2.18841	1.51765	2.65541	1.97518	3.95388	2.40525	2.06842	2.65065	1.57488	3.52982	3.66148	1.57856	1.74694	1.76289	2.81911	2.13283	2.96498	2.46286	2.24601	3.35104	1.82378	2.27554	1.7828	2.34673	2.62042	2.87191	1.91538
MRPS11	1.96052	2.27514	2.16652	2.49104	1.78853	2.10136	1.9604	1.61733	1.30217	2.02662	2.23786	1.76256	1.56948	2.055	1.77528	1.65679	1.94542	1.77227	1.79923	1.20388	1.84576	2.42702	2.588	2.92177	2.03251	1.62609	1.80169	2.49329	2.38519	1.74948	2.42633	2.38708	2.49426	2.06498	2.90247	3.01052	1.34251	1.50373	1.71405	2.2856	1.63061	1.32076	1.92074	2.42034	1.79676	0.935313	2.40119	2.39843	1.68857	1.67744	2.01707	1.7666	1.67734	1.78109	2.3982	1.4754	2.68418	2.74585	2.20746	1.74037	2.06382	2.00688	1.65105	2.25398	2.11239	2.51424	3.11044	1.2702	1.9937	1.84893	2.21258	1.54187	2.11922	1.70629	2.44171	1.86367	1.53675	2.40517	2.101	2.33114	1.82508	2.2642	1.7311	2.15001	1.9442	2.15541	2.88235	2.06945	2.17891	2.19636	2.86612	2.08576	2.54076	1.90978	2.16726	4.19919	1.1158	2.66896	0.895388	1.84606	2.47392	1.81626	2.07634
