protein_A	protein_B
PSMD11	PSMD12
PSMD12	PSMD6
PSMD12	PSMD4
PSMD12	TRIM11
EP400	RUVBL1
DMAP1	RUVBL1
RUVBL1	TRRAP
RUVBL1	RUVBL2
C2orf44	RUVBL1
PDRG1	RUVBL1
RUVBL1	YY1
KAT5	RUVBL1
RUVBL1	TFPT
TAF6L	TRRAP
TAF6L	TAF9B
TAF6L	TAF9
KAT2B	TAF6L
SUPT3H	TAF6L
ATXN7	TAF6L
AKT1	AKT3
AKT3	FKBP5
NFIL3	RFWD2
ATF1	NFIL3
CREB1	NFIL3
EP400	RUVBL2
DMAP1	RUVBL2
RUVBL2	TRRAP
RUVBL2	YY1
C2orf44	RUVBL2
KAT5	RUVBL2
RUVBL2	TFPT
NONO	SFPQ
NONO	PSPC1
CHD3	IKZF1
IKZF1	MTA2
IKZF1	MTA3
FOXK2	IKZF1
FOXK1	IKZF1
IKZF1	KLHDC3
TAF9	TFEB
TFE3	TFEB
CCNA2	FZR1
CDC27	FZR1
CCNB1	FZR1
CDC16	FZR1
ANAPC1	FZR1
HDAC1	SAP30
HDAC1	MIER1
HDAC1	RBBP4
HDAC1	HDAC2
HDAC1	KDM5A
ARID4A	HDAC1
HDAC1	PHF12
EHMT1	HDAC1
HDAC1	ZNF217
CHD3	HDAC1
HDAC1	MTA2
HDAC1	MTA3
GATAD1	HDAC1
HDAC1	TFDP1
HDAC1	RCOR3
BCL11A	HDAC1
FOXK2	HDAC1
FOXK1	HDAC1
HDAC1	ZBTB2
HDAC1	ZNF639
HDAC1	WIZ
HDAC1	PWWP2B
DNAJC7	PWP2
DHX15	ZGPAT
PRPF4	ZGPAT
AHR	ARNT
ASB6	METAP2
ASB6	GNB2
ASB6	POLR2L
ASB6	RNF7
ASB6	CORO7
CCNB2	WDFY1
ZKSCAN1	ZNF24
ZNF174	ZNF24
ARHGAP25	DMWD
ARHGAP25	RECQL4
TRIM11	ZBTB44
DDX19A	DDX19B
PRPF19	XAB2
CDC5L	PRPF19
CCNA2	CDC20
BUB3	CDC20
CDC20	EP300
DHX30	STUB1
EP400	KAT5
DMAP1	KAT5
KAT5	TRRAP
KLHL18	SUGT1
ARID1B	SMARCD1
ARID1A	SMARCD1
SMARCC2	SMARCD1
SMARCC1	SMARCD1
SMARCA2	SMARCD1
SMARCA4	SMARCD1
SMARCD1	SMARCD2
SMARCD1	SS18L1
PKP3	SMARCD1
DDX11	KBTBD4
KBTBD4	KPNA5
APEX2	SIRT1
APEX2	DDB2
APEX2	WDR54
PRPF4	SART3
PRPF4	PRPF6
DDX21	SYNCRIP
DDX27	SYNCRIP
RPL26L1	SYNCRIP
HDLBP	SYNCRIP
DDX54	SYNCRIP
CDC16	NCOR1
CDC16	SALL2
CDC16	RECQL4
ANAPC1	CDC16
CDC16	TRIM24
CDC16	ZNF281
CDC16	CDC27
CDC16	TRIM33
CDC16	SMG7
CDC16	TTC8
CDC16	ERF
CDC16	ZBTB5
CDC16	DUS3L
MED1	MED23
ZKSCAN1	ZKSCAN4
ZKSCAN4	ZNF24
ZKSCAN4	ZNF174
OSBPL5	PLD1
ARID1B	SMARCC2
ARID1A	SMARCC2
SMARCC1	SMARCC2
SMARCA2	SMARCC2
SMARCA4	SMARCC2
SMARCC2	SMARCD2
SMARCC2	SS18L1
SFPQ	SMARCC2
EPRS	KARS
EEF1E1	KARS
RBM28	WDR46
DDX21	WDR46
SRP72	WDR46
DHX30	WDR46
DDX56	WDR46
DDX27	WDR46
RPL26L1	WDR46
REXO4	WDR46
WDR46	ZC3HAV1
