protein_A	protein_B
COPS6	DDX5
COPS6	DTL
COPS6	EP300
COPS6	FBXL12
COPS6	FBXL18
COPS6	FBXO21
COPS6	FBXO42
COPS6	FBXW9
COPS6	FUS
COPS6	IRF8
COPS6	KCTD3
COPS6	KLHL12
COPS6	KLHL18
COPS6	KLHL20
COPS6	KRT1
COPS6	LAMA4
COPS6	LARP4
COPS6	MNAT1
COPS6	NPM1
COPS6	PRKRA
COPS6	PSMD11
COPS6	PWP1
COPS6	RAE1
COPS6	RBM14
COPS6	RBX1
COPS6	RFWD2
COPS6	RNF138
COPS6	RPS4X
COPS6	RRP12
COPS6	SAMHD1
COPS6	SHKBP1
COPS6	SMC3
COPS6	SYNCRIP
COPS6	TAF15
COPS6	TIAL1
COPS6	TP63
COPS6	TSG101
COPS6	ZEB2
COPS6	ZNF24
COPS7B	HEXIM1
COPS7B	RFWD2
CORO1C	SHC1
CORO7	RBX1
CORO7	TOB1
CPSF1	CSTF3
CPSF1	GTF3C3
CPSF1	NPM1
CPSF1	TBP
CPSF4	ECT2
CPSF4	NPM1
CREB1	CREBBP
CREB1	DACH1
CREB1	DEAF1
CREB1	DR1
CREB1	EP300
CREB1	FHL2
CREB1	GTF2A1
CREB1	HDAC1
CREB1	HDAC2
CREB1	HDAC8
CREB1	JUN
CREB1	KAT5
CREB1	MTF2
CREB1	RBBP4
CREB1	SIRT1
CREB1	SMARCA4
CREB1	TAF4
CREB1	TOX4
CREB1	TP53
CREB1	YY1
CREBBP	CTBP1
CREBBP	CUX1
CREBBP	DDX17
CREBBP	DDX5
CREBBP	E2F3
CREBBP	EBF1
CREBBP	EP300
CREBBP	ESR1
CREBBP	ETS1
CREBBP	FOXO1
CREBBP	FOXO3
CREBBP	GTF2B
CREBBP	HBP1
CREBBP	HDAC1
CREBBP	HDAC2
CREBBP	HDAC3
CREBBP	HMGA1
CREBBP	HOXA9
CREBBP	HOXB3
CREBBP	HOXB7
CREBBP	IKBKB
CREBBP	ING1
CREBBP	IRF1
CREBBP	IRF3
CREBBP	JUN
CREBBP	JUNB
CREBBP	KAT2B
CREBBP	KAT5
CREBBP	KHDRBS1
CREBBP	KLF13
CREBBP	KLF5
CREBBP	MDM2
CREBBP	MGMT
CREBBP	MIER1
CREBBP	MSH2
CREBBP	MTF1
CREBBP	MYB
CREBBP	NCOA1
CREBBP	NCOR1
CREBBP	NCOR2
CREBBP	NFATC2
CREBBP	NFATC4
CREBBP	NFYB
CREBBP	PBX1
CREBBP	PIAS3
CREBBP	PTMA
CREBBP	RBBP4
CREBBP	RBBP7
CREBBP	REL
CREBBP	RELA
CREBBP	RUNX1
CREBBP	RUVBL1
CREBBP	SMAD2
CREBBP	SMARCA2
CREBBP	SMARCA4
CREBBP	SMARCC1
CREBBP	SMARCC2
CREBBP	SP3
CREBBP	SS18L1
CREBBP	TAF6L
CREBBP	TBP
CREBBP	TCF3
CREBBP	TP53
CREBBP	TRIM28
CREBBP	VDR
CREBBP	WDR5
CREBBP	XRCC6
CREBBP	YY1
CREBBP	ZBTB2
CREBBP	ZNF639
CSRP3	HDAC4
CSTF1	CSTF3
CTBP1	ECT2
CTBP1	EP300
CTBP1	FOXP1
CTBP1	GTF2B
CTBP1	HDAC1
CTBP1	HDAC2
CTBP1	HDAC3
CTBP1	HDAC4
CTBP1	HDAC5
CTBP1	HIC1
CTBP1	IKZF1
CTBP1	KAT2B
CTBP1	MDM2
CTBP1	NCOR2
CTBP1	NRIP1
CTBP1	RUNX1
CTBP1	TBL1X
CTBP1	TBP
CTBP1	TCF4
CTBP1	TCF7L2
CTBP1	TERF2
CTBP1	TFAP4
CTBP1	TGIF1
CTBP1	TP53
CTBP1	ZBP1
CTBP1	ZNF219
CTNNBIP1	RUVBL2
CTNND1	WDR48
CTR9	DNMT3A
CTR9	SSRP1
CUL4B	DAZAP1
CUL4B	DDX1
CUL4B	DDX3X
CUL4B	DDX5
CUL4B	DDX56
CUL4B	DHX15
CUL4B	DHX30
CUL4B	DHX9
CUL4B	DTL
CUL4B	EIF4B
CUL4B	EIF5A2
CUL4B	FUS
CUL4B	GRWD1
CUL4B	KHSRP
CUL4B	KPNA1
CUL4B	KPNA4
CUL4B	KRT1
CUL4B	LARP1
CUL4B	MDM2
CUL4B	PABPC4
CUL4B	PCBD1
CUL4B	PHIP
CUL4B	RBM14
CUL4B	RBX1
CUL4B	RFWD2
CUL4B	RPL26L1
CUL4B	RPS3
CUL4B	RPS4X
CUL4B	SALL2
CUL4B	SART3
CUL4B	SMU1
CUL4B	SSB
CUL4B	STUB1
CUL4B	SYNCRIP
CUL4B	TAF15
CUL4B	TIAL1
CUL4B	TLE3
CUL4B	TRIM27
CUL4B	TTC1
CUL4B	WDR48
CUL4B	WDR5
CUL4B	XRN2
CUL4B	YBX1
CUL4B	ZCCHC11
CUX1	ECT2
CUX1	TP53BP1
DAB2	INPP5D
DAB2	SF3B2
DAB2	SMAD2
DAB2	SMURF2
DAB2	TFAP2A
DACH1	HDAC1
DACH1	HDAC3
DACH1	JUN
DACH1	NCOR1
DACH1	SMAD4
DARS2	KARS
DARS2	TERF2
DDB2	EP300
DDB2	RBX1
DDB2	RFWD2
DDB2	SUPT3H
DDB2	XPC
DDB2	XRCC6
DDX1	DHX9
DDX1	EDC4
DDX1	EIF2S1
DDX1	HDAC5
DDX1	HEXIM1
DDX1	IGF2BP3
DDX1	LRRFIP1
DDX1	NUP133
DDX1	PXN
DDX1	RC3H1
DDX1	RELA
DDX1	RPL26L1
DDX1	TPR
DDX1	XPO1
DDX1	YBX1
DDX17	DHX9
DDX17	EIF5A
DDX17	EP300
DDX17	ESR1
DDX17	HDAC1
DDX17	HDAC2
DDX17	HDAC3
DDX17	HDAC5
DDX17	KAT2B
DDX17	MBNL1
DDX17	MDM2
DDX17	NCOA1
DDX17	PSMD4
DDX17	RANBP2
DDX17	SF3A2
DDX17	SF3B4
DDX17	TCF3
DDX17	TP53
DDX17	U2AF2
DDX17	XRCC5
DDX17	ZC3HAV1
DDX19A	SPTBN1
DDX19A	XPO1
DDX19B	KLHDC2
DDX19B	RAE1
DDX20	DHX9
DDX20	DICER1
DDX20	HDAC11
DDX20	HDAC5
DDX20	PHB2
DDX20	TCF3
DDX21	EIF2AK2
DDX21	ESR1
DDX21	H2AFX
DDX21	JUN
DDX21	KPNA1
DDX21	NFKB2
DDX21	PARP1
DDX21	RBM39
DDX21	RELA
DDX21	RPS23
DDX21	SFPQ
DDX21	SMARCA1
DDX21	TERF2
DDX21	YBX1
DDX27	ESR1
DDX27	HDAC11
DDX28	YBX1
DDX3X	EIF2S1
DDX3X	EIF4A2
DDX3X	ELF3
DDX3X	ESR1
DDX3X	HDAC5
DDX3X	NFKB2
DDX3X	NPM1
DDX3X	NUP133
DDX3X	PUF60
DDX3X	RAD21
DDX3X	RBM39
DDX3X	RPS23
DDX3X	RPS3
DDX3X	SYNCRIP
DDX3X	TERF2
DDX3X	TOB1
DDX3X	TPR
DDX3X	U2AF2
DDX3X	XPO1
DDX3X	YY1
DDX42	DHX15
DDX42	EPRS
DDX42	PRPF19
DDX42	RUVBL1
DDX42	RUVBL2
DDX42	SF3A2
DDX42	SF3B1
DDX42	SF3B4
DDX42	SYNCRIP
DDX42	TCERG1
DDX49	PNO1
DDX5	DHX15
DDX5	DHX9
DDX5	EP300
DDX5	EPRS
DDX5	ESR1
DDX5	FBXO46
DDX5	HDAC1
DDX5	HDAC2
DDX5	HDAC3
DDX5	IGF2BP3
DDX5	IPO11
DDX5	KHDRBS1
DDX5	MBNL1
DDX5	MCM7
DDX5	MGMT
DDX5	NCOA1
DDX5	PABPC4
DDX5	PHLDA3
DDX5	PRPF19
DDX5	PSMD4
DDX5	RBM10
DDX5	SF3A2
DDX5	SHC1
DDX5	SMAD5
DDX5	SMARCA4
DDX5	SYNCRIP
DDX5	TBP
DDX5	TOB1
DDX5	TP53
DDX5	U2AF2
DDX5	WDR4
DDX5	YBX1
DDX5	YY1
DDX5	ZC3HAV1
DDX50	ESR1
DDX54	ESR1
DDX54	POLR2G
DDX56	DHX37
DDX56	RRP12
DEAF1	IRF3
DEDD	GTF3C3
DEK	DHX15
DEK	ESR1
DEK	HDAC2
DEK	RAD21
DEK	TFAP2A
DEK	TP53BP1
DENND4A	PCBD1
DGKZ	DMD
DGKZ	PSMD4
DGKZ	RBL2
DGKZ	SNTA1
DGKZ	SNTB1
DHX15	ESR1
DHX15	HDAC5
DHX15	NPM1
DHX15	RANBP2
DHX15	RBM10
DHX15	RBM5
DHX15	SF3A2
DHX15	SYNCRIP
DHX16	GON4L
DHX16	SF3B2
DHX16	TCEA2
DHX16	XAB2
DHX30	E2F4
DHX30	EIF2AK2
DHX30	ESR1
DHX30	H2AFX
DHX30	HDAC1
DHX30	HDAC3
DHX30	ILF3
DHX30	NCOR1
DHX30	RBBP4
DHX30	RBBP7
DHX30	SKIL
DHX30	YBX1
DHX37	TERF2
DHX9	DICER1
DHX9	EIF2AK2
DHX9	ESR1
DHX9	FBXO46
DHX9	GTF2B
DHX9	H2AFX
DHX9	HDAC5
DHX9	HDLBP
DHX9	HEXIM1
DHX9	IGF2BP3
DHX9	ILF3
DHX9	JUN
DHX9	KHDRBS1
DHX9	LRRFIP1
DHX9	MBNL1
DHX9	NFKB2
DHX9	PIAS2
DHX9	RAD21
DHX9	RANBP2
DHX9	RBM8A
DHX9	RELA
DHX9	RPL26L1
DHX9	SF3A2
DHX9	SSRP1
DHX9	TBP
DHX9	TFE3
DHX9	TOMM70A
DHX9	TP63
DHX9	XPO1
DHX9	XRCC5
DHX9	XRCC6
DHX9	YBX1
DHX9	ZMAT3
DICER1	EIF2AK2
DICER1	HDAC11
DICER1	KHSRP
DICER1	NPM1
DICER1	PRKRA
DICER1	XPO1
DMAP1	DNMT1
DMAP1	EP400
DMAP1	H2AFX
DMAP1	HDAC1
DMAP1	HDAC2
DMAP1	ING1
DMAP1	MNAT1
DMAP1	TOMM34
DMAP1	TRRAP
DMAP1	TSG101
DMD	TERF2
DMWD	NPEPPS
DMWD	VARS
DMWD	WDR48
DNAJC7	SMAD2
DNAJC7	TP53BP1
DNAJC7	UBE4B
DNM2	DYNC1I1
DNM2	GTF2E2
DNM2	HMGB1
DNM2	RUVBL2
DNM2	SHC1
DNMT1	DNMT3A
DNMT1	EZH2
DNMT1	HDAC1
DNMT1	HDAC2
DNMT1	HDAC3
DNMT1	KAT5
DNMT1	MTA2
DNMT1	NR2C1
DNMT1	NR2C2
DNMT1	NRIP1
DNMT1	PSMD4
DNMT1	RBBP4
DNMT1	RUNX1
DNMT1	SIRT1
DNMT1	SP3
DNMT1	TCF3
DNMT1	TP53
DNMT1	TRIM27
DNMT1	TRIM28
DNMT1	TSG101
DNMT3A	EZH2
DNMT3A	HDAC1
DNMT3A	NRIP1
DNMT3A	PIAS2
DNMT3A	SMARCA4
DNMT3A	TFAP2A
DNMT3A	TRIM28
DOK2	INPP5D
DOK2	SHC1
DR1	IPO11
DR1	KAT2B
DR1	NFIL3
DR1	NFYC
DR1	TTF2
DTL	HLTF
DTL	MDM2
DTL	MSH2
DTL	TP53
DTL	WDR5
DTX3	RNF141
DTX3	TRAF4
DUS3L	GTF2F1
DYNC1I1	GRB7
DYNC1I1	KLC3
DYNC1I1	TP53
DZIP3	HDAC1
DZIP3	NCOR1
DZIP3	PCGF3
DZIP3	TSG101
E2F3	FHL2
E2F3	FZR1
E2F3	HDAC1
E2F3	MCM4
E2F3	TFDP1
E2F3	TFE3
E2F3	TRIM28
E2F3	YY1
E2F4	FHL2
E2F4	HDAC1
E2F4	HDAC3
E2F4	NCOR2
E2F4	RBL2
E2F4	TFDP1
E2F4	TRIM28
E2F4	TRRAP
E2F4	XPO1
E2F5	EP300
E2F5	RBL2
E2F5	TFDP1
EAF1	HOMER3
EAF1	TFPT
ECD	TP53
ECT2	EIF4A2
ECT2	KLHL20
ECT2	LARP1
ECT2	MBD1
ECT2	MCM6
ECT2	MICAL3
ECT2	NPEPPS
ECT2	PHB2
ECT2	PSMD4
ECT2	RNF14
ECT2	SIRT1
ECT2	TCOF1
ECT2	TP53
ECT2	WDHD1
ECT2	XRCC5
ECT2	XRCC6
EDC4	EIF2AK2
EDC4	G3BP1
EDC4	IGF2BP3
EDC4	YTHDC1
EDF1	JUN
EDF1	RXRA
EDF1	TBP
EEA1	RUVBL1
EEF1B2	EIF4A2
EEF1B2	GTF2F1
EEF1B2	MGMT
EEF1B2	NPM1
EEF1B2	TPR
EEF1B2	VARS
EEF1E1	EIF2S1
EEF1E1	EPRS
EEF1G	EPRS
EEF1G	ESR1
EEF1G	GSTO1
EEF1G	HDAC5
EEF1G	HLTF
EEF1G	KARS
EEF1G	KLHL18
EEF1G	NPM1
EEF1G	PSMD11
EEF1G	SIRT1
EEF1G	SKIL
EEF1G	SMURF2
EEF1G	ZNF24
EHF	ELF3
EHMT1	HDAC2
EHMT1	JARID2
EHMT1	MDM2
EHMT1	PCBD1
EHMT1	RELA
EHMT1	TFAP4
EIF2AK2	EIF2S1
EIF2AK2	H1FX
EIF2AK2	IGF2BP2
EIF2AK2	IGF2BP3
EIF2AK2	IKBKB
EIF2AK2	ILF3
EIF2AK2	METAP2
EIF2AK2	NLRP1
EIF2AK2	NPM1
EIF2AK2	PABPC4
EIF2AK2	PRKRA
EIF2AK2	PURA
EIF2AK2	RBM28
EIF2AK2	RPS23
EIF2AK2	RPS3
EIF2AK2	RPS4X
EIF2AK2	SSB
EIF2AK2	TP53
EIF2AK2	XRN2
EIF2AK2	YBX1
EIF2S1	NPM1
EIF2S1	RAD21
EIF2S1	YBX1
EIF4A2	SPAG9
EIF4B	PRMT3
EIF4B	SAMHD1
EIF4B	TSG101
EIF4B	XRCC5
EIF5A	NPM1
EIF5A	TCF3
EIF5A	XPO1
EIF5A	XRN2
EIF5A2	PTBP2
ELF1	HMGA1
ELF1	NFYA
ELF1	REL
ELF3	MED23
ELF3	PSMD6
ELF3	SPG7
ELF3	TAF9
ELF3	TBP
ELK1	EP300
ELK1	HDAC1
ELK1	PIAS2
ELL	POLR2E
ELL	POLR2G
ELL	TFPT
ELL	TP53
ELMO2	NPM1
EML1	ISG20L2
EN1	JUN
EP300	ESR1
EP300	ETS1
EP300	FBXW2
EP300	FOXO3
EP300	GATA6
EP300	GTF2B
EP300	GTF3C3
EP300	HBP1
EP300	HDAC1
EP300	HDAC3
EP300	ING1
EP300	ING2
EP300	ING5
EP300	IRF1
EP300	IRF2
EP300	IRF3
EP300	JUN
EP300	JUNB
EP300	JUND
EP300	KAT2B
EP300	KAT5
EP300	KHDRBS1
EP300	KLF16
EP300	KLF5
EP300	MDM2
EP300	MDM4
EP300	MEF2C
EP300	MGMT
EP300	MTF1
EP300	MYB
EP300	NCOA1
EP300	NCOR1
EP300	NCOR2
EP300	NEDD1
EP300	NFATC2
EP300	NFYA
EP300	NFYB
EP300	PARP1
EP300	PAXIP1
EP300	PCBD1
EP300	PIAS3
EP300	PPARD
EP300	PRDM2
EP300	PTMA
EP300	RBM14
EP300	RECQL4
EP300	REL
EP300	RELA
EP300	RORA
EP300	RUNX1
EP300	RUNX3
EP300	RXRA
EP300	SIRT1
EP300	SMAD2
EP300	SMAD4
EP300	SMAD5
EP300	SMARCA2
EP300	SMARCD1
EP300	SP3
EP300	SS18L1
EP300	STAT5A
EP300	TBP
EP300	TCF3
EP300	TCF4
EP300	TFAP2A
EP300	THRA
EP300	TP53
EP300	TP53BP1
EP300	TSG101
EP300	USF2
EP300	VDR
EP300	WASL
EP300	XRCC6
EP300	YBX1
EP300	YY1
EP300	ZBTB7B
EP300	ZNF148
EP300	ZNF76
EP400	ESR1
EP400	TP53
EP400	TRRAP
EP400	ZMYND11
EPRS	HDAC5
EPRS	IGF2BP3
EPRS	IKBKB
EPRS	LRRFIP1
EPRS	NFKB2
EPRS	NFKBIB
EPRS	NFKBIE
EPRS	PSMD4
EPRS	PTBP1
EPRS	RELA
EPRS	SF3B1
EPRS	SYNCRIP
EPRS	TFE3
EPRS	TRMT1
EPRS	XPO1
ERCC3	GTF2E2
ERCC3	KPNA3
ERCC3	TP53
ERCC3	XPC
ERF	PAXIP1
ESR1	EZH2
ESR1	FHL2
ESR1	FIS1
ESR1	FKBP4
ESR1	FKBP5
ESR1	FOXO1
ESR1	FOXO3
ESR1	FUS
ESR1	G3BP1
ESR1	GNB2
ESR1	GTF2B
ESR1	GTF2H1
ESR1	H2AFX
ESR1	HDAC1
ESR1	HDAC2
ESR1	HDAC3
ESR1	HDAC4
ESR1	HDAC5
ESR1	HDAC7
ESR1	HEXIM1
ESR1	ING1
ESR1	JUN
ESR1	JUNB
ESR1	JUND
ESR1	KAT5
ESR1	KDM5A
ESR1	KHDRBS1
ESR1	KIF1A
ESR1	KLF5
ESR1	KRT1
ESR1	KRT19
ESR1	KRT8
ESR1	LCOR
ESR1	MCM5
ESR1	MDM2
ESR1	MED1
ESR1	MED23
ESR1	MGMT
ESR1	MNAT1
ESR1	MSH2
ESR1	MTA2
ESR1	MTA3
ESR1	NCOA1
ESR1	NCOA4
ESR1	NCOR1
ESR1	NCOR2
ESR1	NPEPPS
ESR1	NPM1
ESR1	NR2C1
ESR1	NR2C2
ESR1	NR2F6
ESR1	NRIP1
ESR1	PARP1
ESR1	PHB2
ESR1	PIAS2
ESR1	PIAS3
ESR1	POU2F2
ESR1	PPID
ESR1	PRDM2
ESR1	PSMD6
ESR1	PTBP1
ESR1	PTMA
ESR1	RBBP4
ESR1	RBBP6
ESR1	RBBP7
ESR1	RBM14
ESR1	RBM28
ESR1	RBM39
ESR1	RELA
ESR1	REXO4
ESR1	RPS23
ESR1	RPS3
ESR1	RPS4X
ESR1	RRP12
ESR1	RUVBL1
ESR1	RUVBL2
ESR1	RXRA
ESR1	SAFB
ESR1	SF3B1
ESR1	SHC1
ESR1	SIRT1
ESR1	SKIL
ESR1	SMAD2
ESR1	SMAD4
ESR1	SMARCA2
ESR1	SMARCA4
ESR1	SMARCC2
ESR1	SMARCD1
ESR1	SMARCE1
ESR1	SOS2
ESR1	SP2
ESR1	SP3
ESR1	SPTBN1
ESR1	SSB
ESR1	STAT5A
ESR1	STUB1
ESR1	SYNCRIP
ESR1	TAF2
ESR1	TBP
ESR1	TCOF1
ESR1	THRA
ESR1	TOP2B
ESR1	TP53
ESR1	TRIM24
ESR1	TRIM25
ESR1	TRIM28
ESR1	TRRAP
ESR1	U2AF2
ESR1	UBTF
ESR1	WDR18
ESR1	WDR36
ESR1	WDR5
ESR1	XBP1
ESR1	XPO1
ESR1	XRCC5
ESR1	XRCC6
ESR1	YBX1
ESR1	ZNFX1
ETS1	JUN
ETS1	NCOR1
ETS1	PIAS4
ETS1	RBBP6
ETS1	RUNX1
ETS1	TP53
ETV6	GAB2
ETV6	HDAC3
ETV6	IRF8
ETV6	KAT5
ETV6	NCOR1
EXO1	KPNA4
EXO1	MSH2
EXO1	PMS1
EZH1	EZH2
EZH1	JARID2
EZH1	ZMYND11
EZH2	HDAC1
EZH2	HDAC2
EZH2	HDAC3
EZH2	HIC1
EZH2	JARID2
EZH2	KDM5A
EZH2	KLHDC2
EZH2	MED1
EZH2	MTF2
EZH2	PHB2
EZH2	RBBP4
EZH2	RBL2
EZH2	RELA
EZH2	RORA
EZH2	RUNX3
EZH2	SIRT1
EZH2	XPO1
EZH2	YY1
EZH2	ZMYND11
FBXL12	JUN
FBXL12	RBX1
FBXL19	TRIM27
FBXL19	TRIM29
FBXO21	TERF2
FBXO42	RBX1
FBXO42	TP53
FBXO46	MCM4
FBXO46	RUVBL1
FBXW2	RBX1
FBXW2	REST
FHL2	FOXO1
FHL2	HEXIM1
FHL2	MCM7
FHL2	PHB2
FHL2	PUF60
FHL2	RUNX1
FHL2	SFPQ
FHL2	SIRT1
FHL2	SMAD2
FHL2	SMAD4
FHL2	SMURF2
FHL2	ZNF638
FIS1	GDAP1
FKBP4	FOXO3
FKBP4	IKBKB
FKBP4	IRF4
FKBP4	MCM3
FKBP4	MCM4
FKBP4	SARDH
FKBP4	SMURF2
FKBP4	TAF9
FKBP5	IKBKB
FKBP5	MCM3
FKBP5	MCM5
FKBP5	REL
FOXA1	HDAC7
FOXC1	PBX1
FOXO1	IRF3
FOXO1	MDM2
FOXO1	PARP1
FOXO1	RFWD2
FOXO1	SIRT1
FOXO1	SMAD4
FOXO1	STUB1
FOXO3	H2AFX
FOXO3	IKBKB
FOXO3	KAT2B
FOXO3	MDM2
FOXO3	NR1H2
FOXO3	SIRT1
FOXO3	SIRT3
FOXO3	SMAD4
FOXO3	TP53
FOXO3	VDR
FOXP1	NCOR2
FOXP3	HDAC1
FOXP3	HDAC7
FOXP3	KAT5
FOXP3	NFATC1
FOXP3	REL
FOXP3	RELA
FOXP3	RUNX1
FOXP3	STUB1
FUS	ILF3
FUS	NONO
FUS	PA2G4
FUS	PTBP2
FUS	RELA
FUS	RXRA
FUS	SF3A2
FUS	SFPQ
FUS	TAF15
FUS	TCF3
FUS	TCF4
FUS	THRA
FUS	TP63
FUS	USF2
FUS	YBX1
FXR1	HDAC5
FXR2	NONO
FXR2	PCBD1
FXR2	PTS
FXR2	RBPMS
FXR2	TERF2
FXR2	THAP1
FXR2	TRIM29
FZR1	HSF2
FZR1	ID1
FZR1	PHF8
FZR1	SIX1
FZR1	SKIL
G3BP1	PA2G4
G3BP1	PAXIP1
G3BP1	PTBP1
G3BP1	PUF60
G3BP1	PXN
G3BP1	RAD21
G3BP1	TP53
G3BP1	WDR36
G3BP1	YBX1
GAB2	INPP5D
GAB2	SHC1
GATA6	KLF13
GATA6	KPNA3
GATAD1	SS18L1
GNB2	GRB7
GNB2	STAT5A
GNB5	PSMD4
GNB5	RPA1
GNPAT	VDR
GRB7	MSH2
GRB7	NPM1
GRWD1	NPM1
GRWD1	WDR5
GSTM1	GSTM2
GSTO1	KAT5
GTF2A1	GTF2E2
GTF2A1	GTF2F1
GTF2A1	HMGB1
GTF2A1	SIRT1
GTF2A1	TAF4
GTF2A1	TAF6
GTF2A1	TERF2
GTF2A1	ZEB1
GTF2B	GTF2E2
GTF2B	GTF2F1
GTF2B	GTF2F2
GTF2B	IKZF1
GTF2B	JUN
GTF2B	KLF5
GTF2B	NCOA1
GTF2B	NCOA4
GTF2B	NCOR1
GTF2B	POLR2E
GTF2B	REL
GTF2B	RELA
GTF2B	REST
GTF2B	RXRB
GTF2B	TAF9
GTF2B	TBP
GTF2B	TCEA2
GTF2B	THRA
GTF2B	VDR
GTF2E2	GTF2F1
GTF2E2	GTF2F2
GTF2E2	JUN
GTF2E2	MTA2
GTF2E2	TBP
GTF2E2	TPR
GTF2F1	GTF2F2
GTF2F1	GTF2H1
GTF2F1	JUN
GTF2F1	KLF5
GTF2F1	MSX2
GTF2F1	PARP1
GTF2F1	TAF1
GTF2F1	TBP
GTF2F1	TRIM27
GTF2F2	HMGA1
GTF2F2	HTATSF1
GTF2F2	JUN
GTF2F2	MSX2
GTF2F2	POLR2E
GTF2F2	POLR2G
GTF2F2	TAF4
GTF2F2	TBP
GTF2H1	JDP2
GTF2H1	KPNA3
GTF2H1	MNAT1
GTF2H1	POU2AF1
GTF2H1	RPA1
GTF2H1	RXRB
GTF2H1	TP53
GTF2H1	TRIOBP
GTF2H1	XPC
GTF2I	HDAC1
GTF2I	HDAC2
GTF2I	HDAC3
GTF2I	NFKB2
GTF2I	PIAS2
GTF2I	POU2AF1
GTF2I	PRRX1
GTF2I	SMAD2
GTF2I	TFAP4
GTF3C3	PCBD1
GTF3C3	TBP
GZF1	NFATC1
GZF1	NPM1
GZF1	YBX1
H1FX	HDAC11
H1FX	NPM1
H1FX	PAXIP1
H1FX	XBP1
H2AFX	KAT2B
H2AFX	KAT5
H2AFX	RUVBL1
H2AFX	SMARCA2
H2AFX	SMARCA4
H2AFX	SSB
H2AFX	TAF5L
H2AFX	TERF2
H2AFX	TP53
H2AFX	TP53BP1
H2AFX	TRIM28
H2AFX	XRCC5
HBP1	HDAC1
HBP1	RBL2
HBP1	TCF4
HDAC1	HDAC5
HDAC1	HDAC7
HDAC1	HES1
HDAC1	HEXIM1
HDAC1	IKZF1
HDAC1	ING1
HDAC1	JDP2
HDAC1	JUN
HDAC1	KAT5
HDAC1	KLF5
HDAC1	KPNA1
HDAC1	KPNA3
HDAC1	KPNA4
HDAC1	LARP7
HDAC1	LCOR
HDAC1	MBD1
HDAC1	MDM2
HDAC1	NCOR2
HDAC1	NFATC1
HDAC1	NFIX
HDAC1	NFYA
HDAC1	NFYB
HDAC1	NFYC
HDAC1	NONO
HDAC1	NPM1
HDAC1	NR2C1
HDAC1	NR2C2
HDAC1	NR2F2
HDAC1	NRIP1
HDAC1	PARP1
HDAC1	PBX1
HDAC1	PHB2
HDAC1	PIAS4
HDAC1	PPARD
HDAC1	PTMA
HDAC1	RBL2
HDAC1	RELA
HDAC1	REST
HDAC1	RUNX1
HDAC1	RUVBL2
HDAC1	SFPQ
HDAC1	SKIL
HDAC1	SMAD2
HDAC1	SMAD4
HDAC1	SMAD5
HDAC1	SMARCA2
HDAC1	SMARCA4
HDAC1	SMARCC1
HDAC1	SMARCC2
HDAC1	SMARCD1
HDAC1	SMARCE1
HDAC1	SP3
HDAC1	STAT5A
HDAC1	TAF6
HDAC1	TBP
HDAC1	TFAP4
HDAC1	TGIF1
HDAC1	TLE3
HDAC1	TOP2B
HDAC1	TP53
HDAC1	TRIM24
HDAC1	TRIM27
HDAC1	TRIM28
HDAC1	TSC22D3
HDAC1	UBTF
HDAC1	WHSC1
HDAC1	YY1
HDAC1	ZBTB7A
HDAC1	ZEB2
HDAC1	ZMYND11
HDAC1	ZMYND8
HDAC1	ZNF148
HDAC1	ZNF395
HDAC1	ZNF76
HDAC10	HDAC2
HDAC10	HDAC3
HDAC10	JDP2
HDAC10	NCOR2
HDAC10	TRIM28
HDAC10	ZBTB7B
HDAC11	HEATR1
HDAC11	IGF2BP3
HDAC11	IKZF1
HDAC11	MDN1
HDAC11	NUP133
HDAC11	PHIP
HDAC11	PRPF6
HDAC11	RBM14
HDAC11	RBM28
HDAC11	RRP12
HDAC11	RUNX1
HDAC11	SF3B2
HDAC11	SMC3
HDAC11	SUGT1
HDAC11	TTF2
HDAC11	UTP6
HDAC11	WDR36
HDAC11	WRNIP1
HDAC11	XAB2
HDAC2	HDAC7
HDAC2	HOPX
HDAC2	IKZF1
HDAC2	ING1
HDAC2	JARID2
HDAC2	KDM5A
HDAC2	KLF5
HDAC2	KPNA1
HDAC2	MBD1
HDAC2	MIER1
HDAC2	MTA2
HDAC2	MTA3
HDAC2	NCOR2
HDAC2	NFATC1
HDAC2	NONO
HDAC2	NPM1
HDAC2	NR2C1
HDAC2	PA2G4
HDAC2	PARP1
HDAC2	PARP14
HDAC2	PHB2
HDAC2	PIAS4
HDAC2	PPARD
HDAC2	PTMA
HDAC2	RBBP4
HDAC2	RCOR3
HDAC2	RELA
HDAC2	REST
HDAC2	RUNX1
HDAC2	RUVBL2
HDAC2	SAP30
HDAC2	SFPQ
HDAC2	SIRT1
HDAC2	SMARCA2
HDAC2	SMARCA4
HDAC2	SMARCC2
HDAC2	SMARCE1
HDAC2	SMC3
HDAC2	SP3
HDAC2	SS18L1
HDAC2	TAF6
HDAC2	TCF3
HDAC2	TFAP4
HDAC2	THRA
HDAC2	TOP2B
HDAC2	TP53
HDAC2	TRIM24
HDAC2	TSC22D3
HDAC2	VDR
HDAC2	WHSC1
HDAC2	WIZ
HDAC2	YY1
HDAC2	ZBTB7A
HDAC2	ZEB2
HDAC2	ZNF217
HDAC3	HDAC4
HDAC3	HDAC5
HDAC3	HDAC7
HDAC3	IKZF1
HDAC3	IRF3
HDAC3	JUN
HDAC3	KAT2B
HDAC3	KLF6
HDAC3	LCOR
