TF	genetarget
ARHGAP25	BIN2
ARHGAP25	CAP2
ARHGAP25	CD52
ARHGAP25	CFL2
ARHGAP25	CNR2
ARHGAP25	DNAH7
ARHGAP25	E2F4
ARHGAP25	GCNT2
ARHGAP25	KRT82
ARHGAP25	MFSD1
ARHGAP25	NCF1
ARHGAP25	NCF4
ARHGAP25	OR5L2
ARHGAP25	PSEN1
ARHGAP25	SIGLEC6
ARHGAP25	WNT6
ARHGAP25	ZNF23
ARID1B	BARHL1
ARID1B	CNR2
ARID1B	CSNK1A1
ARID1B	CUL3
ARID1B	DHRSX
ARID1B	E2F4
ARID1B	FOXR2
ARID1B	JSRP1
ARID1B	KTN1
ARID1B	MBD6
ARID1B	NPTN
ARID1B	NUDCD3
ARID1B	PIK3C2A
ARID1B	ROCK1
ARID1B	SENP6
ARID1B	STX5
ARID1B	TMCC1
ARID1B	TNRC6B
ARID1B	UBR5
ARID1B	ZCCHC7
ARID1B	ZFAND3
ARID1B	ZNF493
ARHGEF1	DLGAP4
ARHGEF1	FAM63A
ARHGEF1	IRS4
ARHGEF1	SLC22A3
ARHGEF1	THADA
ARHGEF1	ZNF160
ARPC1B	ARPC2
ARPC1B	CAP1
ARPC1B	CHST6
ARPC1B	SH3BGRL3
ARMCX2	BACE1
ARMCX2	EFEMP2
ARMCX2	KRTAP10-12
ARMCX2	MYL9
ARPC1A	AP2S1
ARPC1A	B9D1
ARPC1A	CDC73
ARPC1A	CDK2
ARPC1A	CLU
ARPC1A	HSBP1
ARPC1A	MGAT4B
ARPC1A	MRPL17
ARPC1A	TXNDC17
ARPC1A	ZNF277
ATAD3A	AIFM3
ATAD3A	AK2
ATAD3A	BAK1
ATAD3A	BCL2L12
ATAD3A	BYSL
ATAD3A	C2orf49
ATAD3A	CCDC86
ATAD3A	CCT7
ATAD3A	CDCA5
ATAD3A	DTYMK
ATAD3A	KHSRP
ATAD3A	LMNB2
ATAD3A	MKI67
ATAD3A	NLE1
ATAD3A	NME1-NME2
ATAD3A	NOLC1
ATAD3A	PA2G4
ATAD3A	PKMYT1
ATAD3A	PPM1G
ATAD3A	RCC1
ATAD3A	RPS6KB2
ATAD3A	RUVBL2
ATAD3A	SAAL1
ATAD3A	SEPHS1
ATAD3A	SF3B3
ATAD3A	SLC25A10
ATAD3A	SNRPB
ATAD3A	TOMM34
ATAD3A	UCK2
ATAD3A	XRCC6
ASB6	ZDHHC12
ATF1	ACP1
ATF1	ADRM1
ATF1	C5orf22
ATF1	CAB39
ATF1	CDC5L
ATF1	CLPX
ATF1	DCUN1D1
ATF1	FKBP15
ATF1	G3BP2
ATF1	MAPKAP1
ATF1	MCFD2
ATF1	MED21
ATF1	NCBP2
ATF1	NFYC
ATF1	NMD3
ATF1	NUP160
ATF1	PGK1
ATF1	PPP6C
ATF1	PSPC1
ATF1	RAB6A
ATF1	RNF6
ATF1	SAFB
ATF1	SRP72
ATF1	TCEB1
