TF	genetarget
CCNT2	ZSCAN10
CCNT2	RHOT2
CCNT2	COL23A1
CCNT2	WDR89
CCNT2	ZNF554
CCNT2	PPP4R2
CCNT2	ANKRD46
CCNT2	CITED4
CCNT2	TMEM64
CCNT2	UNC5B
CCNT2	PXT1
CCNL1	ATP11B
CCNE1	BIRC5
CCNE1	CDC20
CCNE1	CDCA5
CCNE1	CDT1
CCNE1	CENPM
CCNE1	CHEK2
CCNE1	GINS2
CCNE1	GMNN
CCNE1	KIF4A
CCNE1	MSTO1
CCNE1	NDUFA4L2
CCNE1	PPP2R1B
CCNE1	PSMC3IP
CCNE1	TIMELESS
CCNE1	TRAIP
CCNE1	UHRF1
CHD9	TRIM23
CEBPD	ADCY9
CEBPD	ACSL1
CEBPD	GABRE
CEBPD	GRK5
CEBPD	IL12RB1
CEBPD	MSN
CEBPD	NFE2L2
CEBPD	POLB
CEBPD	SGSH
CEBPD	FSTL3
CEBPD	GIT1
CEBPD	ZFYVE1
CEBPD	NLE1
CEBPD	ANKHD1
CEBPD	TTC7A
CEBPD	CENPM
CEBPD	MLPH
CEBPD	CAMKMT
CEBPD	ZNF491
CEBPD	SLC26A11
CEBPD	ANKHD1-EIF4EBP3
CEBPD	CETP
CEBPD	ELN
CEBPD	HGF
CEBPD	HMGCS1
CEBPD	HPX
CEBPD	IL1A
CEBPD	IL1B
CEBPD	NOS2
CEBPD	PTGS2
CEBPD	RAB4B
CEBPD	CASP8
CEBPD	CXCL1
CEBPD	TNFAIP6
CDC27	ATF1
CDC27	CDC5L
CDC27	EIF4E
CDC27	NMD3
CDC27	WBSCR16
CIAO1	ACP1
CIAO1	AHCY
CIAO1	BAK1
CIAO1	CDK4
CIAO1	DCTN5
CIAO1	DYRK1A
CIAO1	LRRC59
CIAO1	LYRM2
CIAO1	METTL2A
CIAO1	NME1-NME2
CIAO1	RNF26
CIAO1	RUVBL2
CIAO1	TRAPPC2L
CIAO1	TXNDC17
CIRBP	C20orf24
CIRBP	C5orf24
CIRBP	EXOC5
CIRBP	HSPA14
CIRBP	KLHL7
CIRBP	MAPK14
CIRBP	PGK1
CIRBP	TMEM189-UBE2V1
CIRBP	TMEM33
CIRBP	ZBTB4
CHD2	ASXL2
CHD2	CCBL2
CHD2	CDC73
CHD2	CSNK1A1
CHD2	RAB22A
CHD2	TMED10
CHD2	CNTFR
CHD2	STX2
CHD2	F12
CHD2	GCSH
CHD2	HCFC1
CHD2	MTF1
CHD2	P2RX3
CHD2	PRKAR1B
CHD2	PSMA2
CHD2	RAD51D
CHD2	ST3GAL2
CHD2	TCF7L2
CHD2	TNNT2
CHD2	U2AF1
CHD2	PPFIA3
CHD2	BECN1
CHD2	SGPL1
CHD2	HS2ST1
CHD2	KIAA0430
CHD2	FIG4
CHD2	ARPC2
CHD2	HIPK3
CHD2	NOXA1
CHD2	LIAS
CHD2	RASSF1
CHD2	PRAF2
CHD2	SYT11
CHD2	GLTP
CHD2	STYXL1
CHD2	ZDHHC13
CHD2	FNDC8
CHD2	NDE1
CHD2	DNAAF5
CHD2	TRMT61B
CHD2	WRAP53
CHD2	ACOXL
CHD2	TTC17
CHD2	PRDM11
CHD2	SLC25A19
CHD2	SIL1
CHD2	IFT22
CHD2	MRPL43
CHD2	RPS19BP1
CHD2	WTIP
CHD2	GAREML
CHD2	AK9
CHD2	TCP11L2
CHD2	FAM133B
CHD2	CDRT4
CHD2	ZNF568
CHD2	GJB7
CHD2	MED11
CHD2	TVP23C-CDRT4
CFLAR	BIRC5
CFLAR	BUB3
CFLAR	CDC20
CFLAR	CDCA5
CFLAR	CDT1
CFLAR	CHEK2
CFLAR	DICER1
CFLAR	DTYMK
CFLAR	F12
CFLAR	GIMAP8
CFLAR	HELLS
CFLAR	HMGN1
CFLAR	KCNH2
CFLAR	KIF20A
CFLAR	KIF4A
CFLAR	MSTO1
CFLAR	NLE1
CFLAR	NME1-NME2
CFLAR	PAICS
CFLAR	POLA1
CFLAR	PRKDC
CFLAR	PSRC1
CFLAR	RFC5
CFLAR	RNF19A
CFLAR	SLC25A10
CFLAR	SMC2
CFLAR	TNFRSF1B
CFLAR	TXNIP
CFLAR	UCK2
CFLAR	UHRF1
CFLAR	XPO5
CFLAR	ZBTB43
CFLAR	ZNF326
CDC5L	ACP1
CDC5L	ATF1
CDC5L	C17orf80
CDC5L	C5orf22
CDC5L	CKAP5
CDC5L	CUL4B
CDC5L	DCTN5
CDC5L	DCUN1D1
CDC5L	EXOC5
CDC5L	FKBP15
CDC5L	FOXN2
CDC5L	G3BP2
CDC5L	GOPC
CDC5L	GTF2H1
CDC5L	HDAC8
CDC5L	ING5
CDC5L	KCNH2
CDC5L	MANEA
CDC5L	MAPK14
CDC5L	MCM3AP
CDC5L	NMD3
CDC5L	NUP160
CDC5L	PPID
CDC5L	PSPC1
CDC5L	PTGES2
CDC5L	RABL3
CDC5L	RHEB
CDC5L	SNAP23
CDC5L	SPAST
CDC5L	SRPX
CDC5L	TFAM
CDC5L	THRAP3
CDC5L	TIPRL
CDC5L	TMEM189-UBE2V1
CDC5L	TPMT
CDC5L	USP10
CDC5L	YBX1
CDC5L	ZNF207
CLIC1	ARPC1B
CLIC1	NFIA
CLIC1	PPP1CA
CLIC1	USP9X
CDC20	AURKA
CDC20	BCL2L12
CDC20	BIRC5
CDC20	BRCA1
CDC20	BUB1
CDC20	C9orf40
CDC20	CBX2
CDC20	CCNB2
CDC20	CDCA5
CDC20	CDT1
CDC20	CENPH
CDC20	CENPM
CDC20	CEP78
CDC20	CFLAR
CDC20	CHEK2
CDC20	CSTF2
CDC20	DEPDC1
CDC20	DIAPH3
CDC20	DTYMK
CDC20	DUT
CDC20	E2F7
CDC20	EBNA1BP2
CDC20	ECT2
CDC20	EP400
CDC20	FAM107A
CDC20	FANCG
CDC20	FBXO5
CDC20	GINS2
CDC20	GMNN
CDC20	HELLS
CDC20	HMMR
CDC20	KIF14
CDC20	KIF20A
CDC20	KIF4A
CDC20	LMNB2
CDC20	LRRK2
CDC20	MKI67
CDC20	MPP6
CDC20	MTHFD1L
CDC20	NDUFA4L2
CDC20	NUP155
CDC20	PA2G4
CDC20	PAICS
CDC20	PCNA
CDC20	PIF1
CDC20	POLQ
CDC20	PTTG1
CDC20	PUS1
CDC20	RAD54L
CDC20	RCC1
CDC20	RFC4
CDC20	RFC5
CDC20	RUVBL2
CDC20	SF3B3
CDC20	SLC25A10
CDC20	SLC7A5
CDC20	SNRPB
CDC20	STX5
CDC20	TIMELESS
CDC20	TK1
CDC20	TRAIP
CDC20	UBE2C
CDC20	UCK2
CDC20	UHRF1
CDC20	XPO5
CDC20	ZNF207
CDC20	ZNF326
CHD3	SGK1
CLIC5	COX7A1
CLIC5	CRYBB3
CLIC5	EIF4B
CLIC5	FBXO5
CLASP1	CLU
CLASP1	FAM92A1
CLASP1	LPP
CLASP1	MARK3
CLASP1	RBM4B
CLASP1	ZFAND3
CHD8	BRD2
CHD8	BRCA1
CHD8	CCNE2
CIZ1	EIF4G1
CIZ1	EXOC3
CIZ1	GALT
CIZ1	PCBP2
CIZ1	PRKCSH
CIZ1	SF3A1
CIZ1	UBTF
CLIP1	BUB1
CLIP1	BUB3
CLIP1	CCNB2
CLIP1	FBXO5
CLIP1	HMMR
CLIP1	MCM3
CLIP1	PCNA
CLIP1	PPP1CB
CLIP1	REEP5
CLIP1	SNRPB
CLIP1	ZNF207
CLIC2	C10orf128
CLIC2	FPR1
CLIC2	KCNH2
CLIC2	TNFRSF1B
CLIC2	TNFSF13B
CLPB	C10orf76
CLPB	MRPS16
CLPB	PMPCA
CNOT3	ARHGDIA
CNOT3	EIF4G1
CNOT3	OTUD5
CNOT3	UBTF
COPS3	ATP5G3
COPS3	BNIP1
COPS3	BOLA3
COPS3	C14orf2
COPS3	C1QBP
COPS3	C9orf114
COPS3	COL8A2
COPS3	COQ3
COPS3	CUTC
COPS3	EIF2B3
COPS3	FKBP3
COPS3	IFRD2
COPS3	MAPKAP1
COPS3	MRPL11
COPS3	MRPL37
COPS3	MRPL39
COPS3	MRPS17
COPS3	MRPS30
COPS3	POLE3
COPS3	PSMA2
COPS3	RFESD
COPS3	RQCD1
COPS3	TCEB1
COPS3	TFB2M
COPS3	TIMM50
COPS3	TIMM8A
COPS3	TPRKB
COPS3	UBE2G1
COPS3	VDAC2
COPS3	VDAC3
COPS3	YBX1
COCH	PPP1CB
CNOT8	APAF1
CNOT4	ASH1L
CNOT4	HSF1
CNOT4	KBTBD2
CNOT4	KCNH2
CNOT4	KIF5B
CNOT4	MAPKAP1
CNOT4	MCM3AP
CNOT4	POMGNT1
CNOT4	PSMD1
CNOT4	RANGAP1
CNOT4	RPL14
CNOT4	SETX
COL18A1	SPARC
COL5A3	COL4A1
COL5A3	FBLN2
COPE	ANKRD23
COPE	AP1M1
COPE	AP2S1
COPE	BANF1
COPE	CARHSP1
COPE	CDC37
COPE	CDK10
COPE	ELOVL1
COPE	MPG
COPE	MRPL4
COPE	OTUB1
COPE	PHF23
COPE	PPP1CA
COPE	PRMT1
COPE	RNF26
COPE	RPL18A
COPE	SNRPD2
COPE	SRA1
COPE	TRAPPC2L
COPE	TRAPPC3
COPE	TXNDC17
COPE	UBE2I
COL14A1	FBLN2
COL14A1	LUM
COL14A1	PCDH18
COL14A1	POSTN
CREBBP	ANKRD17
CREBBP	CUL3
CREBBP	NUDCD3
CREBBP	PPP3CA
CREBBP	RNF19A
CREBBP	SENP6
CREBBP	SEPP1
CREBBP	TFCP2
CREBBP	TNRC6B
CREBBP	UBE2H
CREBBP	ZNF493
CREBBP	BRCA1
CREBBP	CSF2
CREBBP	HOXA9
CREBBP	INSM1
CREBBP	PTGS2
CREBBP	TRIM22
COPS2	EIF4E
COPS6	ATP5J2
COPS6	CLPP
COPS6	MRPL11
COPS6	MRPS34
COPS6	PMPCA
COPS6	RUVBL2
CORO7	CNPY3
CREB1	CDC5L
CREB1	CLU
CREB1	EXOC5
CREB1	GOPC
CREB1	MIA3
CREB1	PPP3R1
CREB1	TMEM30A
CREB1	ZC3H7A
CREB1	ZMYM2
CREB1	PKN1
CREB1	SLC6A8
CREB1	ZNF185
CREB1	RAB28
CREB1	TMEM131
CREB1	SH3BP1
CREB1	NPTN
CREB1	DNAH7
CREB1	TMX1
CREB1	ENKD1
CREB1	ARHGEF39
CREB1	FAS
CREB1	AREG
CREB1	ARG1
CREB1	ATF3
CREB1	ATP1A1
CREB1	BCKDHA
CREB1	BRCA1
CREB1	BST1
CREB1	RUNX1
CREB1	CEBPB
CREB1	CGA
CREB1	CSH1
CREB1	CYP11A1
CREB1	DBH
CREB1	DIO2
CREB1	DLD
CREB1	DRD1
CREB1	EGR1
CREB1	ELN
CREB1	ETF1
CREB1	GNRH1
CREB1	GRM5
CREB1	HGF
CREB1	ICAM1
CREB1	IGFBP1
CREB1	IL1B
CREB1	LDHA
CREB1	LYN
CREB1	SMAD6
CREB1	MCAM
CREB1	NR3C2
CREB1	NFE2
CREB1	NOS1
CREB1	ODC1
CREB1	SERPINB2
CREB1	PCSK1
CREB1	PLAT
CREB1	POLB
CREB1	POLR2A
CREB1	PSEN1
CREB1	PTGS2
CREB1	RPS3A
CREB1	SLC20A1
CREB1	SRM
CREB1	TAT
CREB1	TGFB1
CREB1	TH
CREB1	TPH1
CREB1	TPO
CREB1	TRH
CREB1	UBE2I
CREB1	UCP1
CREB1	NR4A3
CREB1	ST3GAL5
CREB1	CELSR1
CREB1	SPRY2
CREB1	CDC37
CREB1	AR
CREB1	BDKRB2
CREB1	CASP8
CREB1	CYP17A1
CREB1	GRPR
CREB1	GSK3A
CREB1	IL6
CREB1	LYL1
CREB1	NMNAT2
CREB1	NOLC1
CREB1	NR2F1
CREB1	PLAU
CREB1	PTGES
CREB1	XPC
CREB1	IBSP
COPS7B	TRAF4
CTNND1	APRT
CTNND1	ARL16
CTNND1	CDK4
CTNND1	EHD2
CTNND1	EIF1B
CTNND1	EIF2B1
CTNND1	EIF3C
CTNND1	IMPDH2
CTNND1	LAS1L
CTNND1	MEA1
CTNND1	MRPS11
CTNND1	RNF113A
CTNND1	RPS5
CTNND1	SLC39A3
CTNND1	STYXL1
CTNND1	TIMM10
CTNND1	TXNL4A
CORO1C	GPD1L
CPSF1	ANKRD10
CPSF1	ANKRD17
CPSF1	C11orf58
CPSF1	CHRNB3
CPSF1	CLASP2
CPSF1	COPS7B
CPSF1	CSNK1A1
CPSF1	CUL3
CPSF1	ETNK1
CPSF1	JMJD1C
CPSF1	KCNH2
CPSF1	MGEA5
CPSF1	PCBP2
CPSF1	PPP3CA
CPSF1	RB1CC1
CPSF1	RNF19A
CPSF1	SENP6
CPSF1	SMARCC1
CPSF1	TAF15
CPSF1	TFCP2
CPSF1	WDR6
CPSF1	ZCCHC7
CPSF1	ZNF207
CPSF1	ZNF493
CSRP3	TNNI1
CSTF3	EBNA1BP2
CSTF3	PAQR3
CSTF3	PLK4
CSTF3	ZNF451
CUL4B	AP1S3
CUL4B	ASNS
CUL4B	CDC5L
CUL4B	CFL1
CUL4B	CSNK1G3
CUL4B	DCUN1D1
CUL4B	ECT2
CUL4B	ETNK1
CUL4B	EXOC5
CUL4B	FBXO38
CUL4B	FKBP15
CUL4B	GNAI3
CUL4B	GOPC
CUL4B	HERC4
CUL4B	INPP5F
CUL4B	INVS
CUL4B	LRRC58
CUL4B	MANEA
CUL4B	NCBP2
CUL4B	NETO2
CUL4B	NUP160
CUL4B	PIK3C2A
CUL4B	PPP2R1B
CUL4B	PRKDC
CUL4B	PSPC1
CUL4B	PTGES2
CUL4B	SPAST
CUL4B	SPTLC1
CUL4B	SRP72
CUL4B	THADA
CUL4B	TIPRL
CUL4B	TMEM30A
CUL4B	XRCC4
CUL4B	YWHAZ
CUL4B	ZCCHC7
CUL4B	ZNF277
CSTF1	ACP1
CSTF1	ACTL6A
CSTF1	AHCY
CSTF1	AURKA
CSTF1	BUB3
CSTF1	CCNB2
CSTF1	CCT7
CSTF1	CDC123
CSTF1	CDCA5
CSTF1	CHAC2
CSTF1	DEF8
CSTF1	DGUOK
CSTF1	DTYMK
CSTF1	EDC3
CSTF1	EXOSC3
CSTF1	FBXO5
CSTF1	GEN1
CSTF1	HMGN3
CSTF1	HMMR
CSTF1	HS2ST1
CSTF1	LYRM4
CSTF1	MRPS16
CSTF1	NANP
CSTF1	NUDCD2
CSTF1	NUP155
CSTF1	PAICS
CSTF1	PHB
CSTF1	PIGU
CSTF1	PRIM1
CSTF1	RAN
CSTF1	RFC2
CSTF1	RFC4
CSTF1	RFC5
CSTF1	RIF1
CSTF1	RPUSD2
CSTF1	RSRC1
CSTF1	SNRPB
CSTF1	SNRPD1
CSTF1	TFAM
CSTF1	TMEM177
CSTF1	TMEM68
CSTF1	TTC27
CSTF1	YEATS4
DAB2	LEPR
DAB2	RGL1
DARS2	ACP1
DARS2	AHCY
DARS2	BYSL
DARS2	CDC123
DARS2	CDK4
DARS2	CIAO1
DARS2	DCTN5
DARS2	DTYMK
DARS2	GTF3C2
DARS2	LARS2
DARS2	LIG3
DARS2	LRRC59
DARS2	MRPL37
DARS2	MRPS16
DARS2	MRPS17
DARS2	MYO19
DARS2	NME1-NME2
DARS2	PHB
DARS2	PIGU
DARS2	PNO1
DARS2	POLR1A
DARS2	POLR3C
DARS2	RAN
DARS2	RBM19
DARS2	RFC5
DARS2	SAAL1
DARS2	SNRPB
DARS2	TIMM10
DARS2	TIMM50
DARS2	TKT
DARS2	WDR77
DARS2	XPO5
DARS2	YIF1A
DAZAP1	PA2G4
DAPP1	CD80
DAPP1	CHERP
DAPP1	CNR2
DAPP1	E2F4
DAPP1	PSEN1
DAPP1	RAC2
DAPP1	SLAMF6
DAPP1	SLC34A3
DAPP1	ST3GAL3
DDX17	GSTO1
DDX17	POGZ
DDX17	VPS13B
DDX17	ZNF84
DDX20	SMNDC1
DDX20	TFAM
DDX28	C2orf47
DDX28	DCTN5
DDX28	PMPCA
DDX28	RPUSD2
DDX28	TMEM30A
DDX11	ACLY
DDX11	BIRC5
DDX11	BUB1
DDX11	CDC20
DDX11	CDK2
DDX11	CDT1
DDX11	DEPDC1
DDX11	ECT2
DDX11	EDC3
DDX11	HELLS
DDX11	KLC3
DDX11	KLHDC4
DDX11	MKI67
DDX11	MYO19
DDX11	OGFOD2
DDX11	PA2G4
DDX11	PKMYT1
DDX11	PRKDC
DDX11	PRMT1
DDX11	RAD9A
DDX11	RCC1
DDX11	RFC5
DDX11	RPL18A
DDX11	SMARCC1
DDX11	SNRPD1
DDX11	TK1
DDX11	UTP20
DDX19A	ACP1
DDX19A	ACTR5
DDX19A	ALG1
DDX19A	BAP1
DDX19A	C17orf80
DDX19A	DCTD
DDX19A	DCTN5
DDX19A	DNAJC14
DDX19A	FAM63A
DDX19A	FH
DDX19A	GTF3C2
DDX19A	HSPD1
DDX19A	ING5
DDX19A	KCNH2
DDX19A	MAPKAP1
DDX19A	METTL2A
DDX19A	MINA
DDX19A	MRPL4
DDX19A	NFE2L2
DDX19A	NFYC
DDX19A	NOM1
DDX19A	NSMCE4A
DDX19A	PHF23
DDX19A	POLR3C
DDX19A	PPP5C
DDX19A	PRKDC
DDX19A	PRMT1
DDX19A	PSMD3
DDX19A	PSPC1
DDX19A	PVR
DDX19A	RANGAP1
DDX19A	SAFB
DDX19A	SEC23A
DDX19A	SENP3
DDX19A	TRAPPC3
DDX19A	UCKL1
DDX19A	WBSCR16
DDX19A	WDR77
DDX19A	XPO5
DDX19A	XRN1
DDX19A	ZCCHC4
DDX42	AKAP10
DDX42	ANKHD1-EIF4EBP3
DDX42	ARFGEF1
DDX42	C5orf22
DDX42	CANX
DDX42	CSNK1A1
DDX42	DDX3X
DDX42	EXOC5
DDX42	FUS
DDX42	GOPC
DDX42	GTF2I
DDX42	KIAA0430
DDX42	LMAN1
DDX42	NDRG3
DDX42	PIP5K1A
DDX42	PSEN1
DDX42	PSPC1
DDX42	RAB6A
DDX42	SCYL2
DDX42	USP10
DDX42	YWHAZ
DDX42	ZNF277
DDX1	C14orf2
DDX1	COQ3
DDX1	EIF2B3
DDX1	FH
DDX1	VDAC2
DDX1	VDAC3
DDX10	C2orf49
DDX10	CBX5
DDX10	CDC123
DDX10	DDX46
DDX10	HSPD1
DDX10	KIAA0020
DDX10	LMNB2
DDX10	NLE1
DDX10	NME1-NME2
DDX10	NOLC1
DDX10	ODC1
DDX10	PLK4
DDX10	POLQ
DDX10	PRIM1
DDX10	RPS6
DDX10	SNRPB
DDX10	XPO5
DDX56	AIFM3
DDX56	BANF1
DDX56	MRPL4
DDX56	NME1-NME2
DDX56	PRMT1
DDX56	RCC1
DDX56	RUVBL2
DDX56	ZNF593
DDX49	ARL16
DDX49	NUBP2
DDX50	IMPDH2
DDX50	PAICS
DDX50	SRP72
DDX31	AFF3
DDX31	CHRNB3
DDX31	CST2
DDX31	FOXN4
DDX31	FOXR2
DDX31	GABRA4
DDX31	GCNT2
DDX31	GNB1L
DDX31	GPC3
DDX31	HES4
DDX31	KRT83
DDX31	LHX3
DDX31	LYNX1
DDX31	MED14
DDX31	MKRN2
DDX31	OR51M1
DDX31	PSG6
DDX31	SFTPC
DDX31	SOX17
DDX31	TP63
DDX31	TRAPPC2L
DDX31	TTLL11
DDX31	VDAC2
DDX31	VIPR2
DDX31	ZW10
DDX19B	AHCY
DDX19B	BYSL
DDX19B	GCC2
DDX19B	GPS1
DDX19B	GTF3C2
DDX19B	MAPK1IP1L
DDX19B	MRPL11
DDX19B	MRPL37
DDX19B	MRPL4
DDX19B	MRPS16
DDX19B	MRPS34
DDX19B	PPP5C
DDX19B	PRMT1
DDX19B	TIMM50
DDX19B	WDR77
DDX19B	YIF1A
DDX19B	ZFPL1
DDX19B	ZNF593
DDX54	MRTO4
DDX54	RAB17
DDX54	ROCK1
DDX54	TMCC1
DDX54	TNRC6B
DHX36	DDX18
DHX36	STAG2
DHX36	ZNF12
DHX36	ZNF207
DDX3X	ANKHD1-EIF4EBP3
DDX3X	CAB39
DDX3X	CANX
DDX3X	CLINT1
DDX3X	EXOC5
DDX3X	GOPC
DDX3X	GTF2I
DDX3X	KBTBD2
DDX3X	MAPK14
DDX3X	PSEN1
DDX3X	RAB5A
DDX3X	TMEM30A
DDX3X	UFM1
DDX3X	YWHAZ
DEDD	ANKHD1-EIF4EBP3
DEDD	AP1M1
DEDD	ARFGEF1
DEDD	BAP1
DEDD	BSG
DEDD	C5orf22
DEDD	DCTD
DEDD	DNAJC14
DEDD	FAM63A
DEDD	HSF1
DEDD	KBTBD2
DEDD	KCNH2
DEDD	MAPK14
DEDD	MAPKAP1
DEDD	MCM3AP
DEDD	PHF23
DEDD	PIP5K1A
DEDD	POMGNT1
DEDD	PPP5C
DEDD	PVR
DEDD	RANGAP1
DEDD	SYPL1
DEDD	UBE3B
DEDD	UCKL1
DEDD	WBSCR16
DEDD	YWHAE
DEDD	ZFAND3
DEDD	ZNF160
DEDD	ZNF44
DEDD	CFLAR
DEDD	FADD
DHX30	CKAP5
DHX30	COPS8
DHX30	MRPL37
DHX30	MRPL4
DHX30	PRMT1
DDX51	ABCC8
DDX51	ALPI
DDX51	AMDHD2
DDX51	ARHGAP30
DDX51	BNIP1
DDX51	C1QBP
DDX51	CAPZB
DDX51	CLTA
DDX51	CLYBL
DDX51	CNTROB
DDX51	CST11
DDX51	EDC4
DDX51	FCER2
DDX51	FOLR2
DDX51	FOXO1
DDX51	GMDS
DDX51	GPLD1
DDX51	KRT83
DDX51	LMAN1
DDX51	MBD6
DDX51	MPPE1
DDX51	MRFAP1
DDX51	MRPL11
DDX51	MRPL37
DDX51	MRPL4
DDX51	MRPS17
DDX51	MYCN
DDX51	MYO18A
DDX51	NCF1
DDX51	NKAIN4
DDX51	NXF5
DDX51	PAX5
DDX51	POLE3
DDX51	POLL
DDX51	RFC2
DDX51	ROCK1
DDX51	SCIN
DDX51	SERPING1
DDX51	SFTPC
DDX51	SLC1A2
DDX51	SRM
DDX51	SSBP3
DDX51	STAB2
DDX51	STX5
DDX51	TIMM44
DDX51	TMCC1
DDX51	TMEM177
DDX51	TNP2
DDX51	TPCN1
DDX51	TRPC7
DDX51	TXNDC12
DDX51	ZDHHC1
DDX51	ZDHHC20
DDX51	ZNF286A
DDX51	ZNF414
DHX9	ADRM1
DHX9	AFF4
DHX9	C5orf24
DHX9	CCNJ
DHX9	CCNT2
DHX9	CUL4B
DHX9	EXOC5
DHX9	FBXO38
DHX9	FKBP15
DHX9	GNG13
DHX9	GOPC
DHX9	GTF2I
DHX9	LRRC58
DHX9	MANEA
DHX9	MCF2L
DHX9	NIPA1
DHX9	PIK3C2A
DHX9	PSPC1
DHX9	PTGES2
DHX9	RORC
DHX9	SCYL2
DHX9	SNRPD3
DHX9	SPTLC1
DHX9	SSFA2
DHX9	STX3
DHX9	USP10
DHX9	YWHAZ
DHX9	ZDHHC20
DHX9	ZNF326
DEAF1	PRMT1
DEAF1	SUMO2
DEK	RIF1
DMWD	ANKRD18B
DMWD	CHERP
DMWD	EPOR
DMWD	NFX1
DMWD	OTUB1
DMWD	RGMB
DMWD	ST3GAL3
DDX59	DLGAP4
DDX59	LPP
DDX59	NLN
DDX59	PHF23
DDX59	PPP5C
DDX59	PRR11
DDX59	PVR
DDX59	ZNF160
DDX55	ACAT2
DDX55	ACTR5
DDX55	ALG1
DDX55	ASNS
DDX55	BUB3
DDX55	DEPDC1
DDX55	EXOSC3
DDX55	GNG13
DDX55	NOM1
DDX55	NUP160
DDX55	PA2G4
DDX55	RAD18
DDX55	RAN
DDX55	RPL18A
DDX55	SNRPD1
DDX55	SNRPD2
DDX55	SRP72
DDX55	SUMO2
DMD	SORBS1
DHX37	RCC1
DHX37	TXNDC12
DHX16	ADRM1
DHX15	BUB3
DHX15	CCNE2
DHX15	FBXO5
DHX15	PPP2R1B
DHX15	TRIM8
DHX15	TUBA1A
DHX15	ZNF207
DICER1	ANKRD17
DICER1	CFLAR
DICER1	CSNK1A1
DICER1	H2AFY
DICER1	KCNH2
DICER1	RNF10
DICER1	ZNF207
DICER1	ZNF493
DNAJC7	MGEA5
DNM2	AP1M1
DOCK10	CD52
DOCK10	EVI2A
DOK2	BIN2
DOK2	ITGB2
DOK2	MS4A7
DOK2	SLA
DTL	ACTL6A
DTL	ATAD5
DTL	AURKA
DTL	BIRC5
DTL	BRCA1
DTL	BUB1
DTL	BUB3
DTL	C2orf49
DTL	C5orf34
DTL	CCNB2
DTL	CCNE2
DTL	CDC20
DTL	CDCA5
DTL	CDK2
DTL	CDT1
DTL	CENPH
DTL	CENPM
DTL	CEP78
DTL	CHAC2
DTL	CKAP5
DTL	DEPDC1
DTL	DIAPH3
DTL	DTYMK
DTL	E2F1
DTL	E2F7
DTL	FBXO5
DTL	GINS2
DTL	GMNN
DTL	HELLS
DTL	HMMR
DTL	KIF14
DTL	KIF20A
DTL	KIF4A
DTL	KNTC1
DTL	MCAM
DTL	MCM3
DTL	MKI67
DTL	MSH2
DTL	MYO19
DTL	NASP
DTL	NDUFA4L2
DTL	NEIL3
DTL	NUP155
DTL	PAICS
DTL	PCNA
DTL	PINK1
DTL	PLK4
DTL	POLA1
DTL	POLQ
DTL	PRIM1
DTL	PSRC1
DTL	RAD18
DTL	RAI2
DTL	REEP5
DTL	RFC2
DTL	RFC4
DTL	RFC5
DTL	SAAL1
DTL	SGOL2
DTL	SLBP
DTL	SLC7A5
DTL	SMC2
DTL	SNRPD1
DTL	STAMBP
DTL	TIMELESS
DTL	TK1
DTL	TTF2
DTL	UBE2C
DTL	UHRF1
DTL	WDHD1
DTL	ZBTB4
DTL	ZBTB47
DTL	ZNF207
DTL	ZNF44
DTX3	BBS1
DTX3	TOM1L2
DTX3	ZNF84
DTX3L	APOL1
DTX3L	COPS8
DTX3L	DDX60
DTX3L	MX1
DTX3L	PARP10
DTX3L	PARP14
DTX3L	RARRES3
DTX3L	VDAC2
DUS3L	BNIP1
DUS3L	BUB3
DUS3L	EDC3
DUS3L	MRTO4
DUS3L	OTUB1
DUS3L	PPP1CA
DUS3L	PUS1
DUS3L	RFC2
DUS3L	SNRPB
DUS3L	TXNDC12
EEA1	AFF4
EEA1	DNAH7
EEA1	EXOC5
EEA1	GOPC
EEA1	HIPK3
EEA1	SLAIN2
EEA1	SSFA2
EEA1	WNT6
DZIP3	TNRC6B
EBF1	GUCY1A3
EBF1	ADK
EBF1	ADGRB2
EBF1	BNIP1
EBF1	LRBA
EBF1	KCNC3
EBF1	FADS1
EBF1	PNP
EBF1	PHB
EBF1	PPP3CB
EBF1	ROM1
EBF1	SCN2B
EBF1	SYT5
EBF1	UCK2
EBF1	AKAP1
EBF1	IRS2
EBF1	WASL
EBF1	SCAF11
EBF1	CEP135
EBF1	ZNF432
EBF1	SLC25A44
EBF1	BMS1
EBF1	BAIAP2
EBF1	GABARAP
EBF1	ATG14
EBF1	CAMTA2
EBF1	MAST2
EBF1	CTDNEP1
EBF1	TMEM131
EBF1	SCCPDH
EBF1	MRPL37
EBF1	TMCO1
EBF1	SLC35A5
EBF1	SLC29A3
EBF1	KLHL7
EBF1	SRGAP1
EBF1	UBE2Z
EBF1	CUEDC2
EBF1	PHF23
EBF1	SRCIN1
EBF1	RNF146
EBF1	DDX59
EBF1	PAQR8
EBF1	TTC30A
EBF1	UHRF2
EBF1	PHACTR3
EBF1	COMTD1
EBF1	METTL23
EBF1	C19orf47
EBF1	CEP128
EBF1	UBXN2A
EBF1	PLBD2
EBF1	MARCH8
EBF1	ZNF485
EBF1	SOGA3
EBF1	ZNF324B
EEF1E1	BIRC5
EEF1E1	BUB3
EEF1E1	BYSL
EEF1E1	CCNB2
EEF1E1	CCT3
EEF1E1	CCT8
EEF1E1	EIF5A2
EEF1E1	FBXO5
