geneSym	TCGA-A2-A0D0	TCGA-BH-A0HK	TCGA-C8-A12T	TCGA-A2-A0D2	TCGA-C8-A12U	TCGA-AR-A1AS	TCGA-A2-A0EV	TCGA-AN-A0AM	TCGA-D8-A142	TCGA-AO-A0JL	TCGA-BH-A0BV	TCGA-A2-A0T6	TCGA-E2-A158	TCGA-E2-A15A	TCGA-A2-A0T7	TCGA-C8-A12Q	TCGA-A8-A079	TCGA-A2-A0YF	TCGA-BH-A0DD	TCGA-BH-A0E9	TCGA-A2-A0YG	TCGA-E2-A150	TCGA-BH-A18N	TCGA-A2-A0YM	TCGA-BH-A0C7	TCGA-A2-A0SX	TCGA-A7-A0CD	TCGA-C8-A12W	TCGA-AN-A0AL	TCGA-A7-A0CE	TCGA-BH-A0C0	TCGA-A2-A0YC	TCGA-A7-A0CJ	TCGA-AO-A12F	TCGA-A2-A0YL	TCGA-A8-A06Z	TCGA-A2-A0D1	TCGA-A2-A0CM	TCGA-A8-A09G	TCGA-C8-A131	TCGA-C8-A134	TCGA-A8-A09I	TCGA-C8-A12L	TCGA-A2-A0EX	TCGA-AN-A0FL	TCGA-BH-A0DG	TCGA-AN-A0AS	TCGA-AO-A0JC	TCGA-A8-A08Z	TCGA-AR-A0TX	TCGA-AO-A0JE	TCGA-AN-A0AJ	TCGA-AO-A0JM	TCGA-C8-A12V	TCGA-A8-A08G	TCGA-AO-A12D	TCGA-AN-A04A	TCGA-BH-A0AV	TCGA-AO-A12B	TCGA-AO-A12E	TCGA-A8-A06N	TCGA-A2-A0T1	TCGA-AR-A0TR	TCGA-AO-A03O	TCGA-BH-A18R	TCGA-AR-A0TT	TCGA-AR-A1AQ	TCGA-AR-A0TV	TCGA-C8-A12Z	TCGA-AO-A0JJ	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-BH-A0HP	TCGA-AR-A1AP	TCGA-AN-A0FK	TCGA-AO-A0J6	TCGA-AR-A1AW	TCGA-AR-A1AV	TCGA-C8-A135	TCGA-BH-A0EE	TCGA-AO-A0J9	TCGA-BH-A0E0	TCGA-BH-A18U	TCGA-A2-A0YI	TCGA-A2-A0EQ	TCGA-BH-A18V	TCGA-A7-A13F	TCGA-BH-A0E1	TCGA-C8-A12P	TCGA-BH-A0C1	TCGA-A2-A0EY	TCGA-C8-A138	TCGA-E2-A154	TCGA-BH-A0BZ	TCGA-D8-A13Y	TCGA-A8-A076	TCGA-AO-A126	TCGA-E2-A10A	TCGA-BH-A18Q	TCGA-C8-A130	TCGA-E2-A159	TCGA-A2-A0T3	TCGA-A2-A0YD
NAT1	-0.3477	-0.6842	0.4648	-0.2109	-0.3644	-0.6655	-0.6812	-0.3412	-0.4092	-0.3216	-0.4798	0.1528	-0.7889	-0.3842	-0.3122	-0.4072	-0.4391	0.0774	0.0099	0.009	-0.0982	-0.2719	-1.3566	-0.3924	-0.3986	-0.4089	0.3129	-0.4288	0.0905	-0.2605	-0.1709	0.0021	-0.5657	0.0603	0.0208	-1.1244	-0.623	0.1992	0.0887	-0.4074	-0.4064	-0.5622	0.2524	-0.4098	0.0624	-0.3041	-0.7497	0.0063	-0.5195	-0.3064	-0.3819	-0.9741	-0.4705	0.1873	-1.2782	-0.2408	-0.2924	-0.308	0.1635	-0.0169	-1.358	-0.0431	0.0605	-1.0547	-0.0459	-0.5895	0.3467	-0.5563	-0.6008	0.0501	-0.501	0.2973	0.0436	-0.4402	0.2222	-0.4469	-0.1596	-0.1068	-0.2156	-0.5177	-0.3008	0.0568	2.6376	0.0238	-0.2412	-0.3777	0.4395	0.2139	-0.537	0.1769	-0.0178	-0.3485	0.2912	0.0969	-0.5647	-0.588	-0.5321	-0.7254	-0.3952	-0.4101	0.2282	-0.7563	-0.0135
SERPINA3	0.1423	0.0275	0.0198	-0.2125	0.0037	-0.0271	-0.0598	-0.0524	-0.4184	-0.3168	0.1311	0.0123	0.1813	-0.6655	-0.0489	-0.3052	0.183	0.0594	-0.0664	0.0961	-0.1125	0.0585	-0.1586	-0.081	-0.4316	-0.0649	-0.1396	-0.3804	0.1303	0.3076	-0.008	0.0022	0.2927	-0.2217	0.021	-0.3176	0.1485	-0.0569	0.0734	-0.0471	-0.3536	0.0535	0.13	0.0085	0.5289	0.0716	0.8605	0.0022	0.0183	0.0123	0.2593	-0.0405	0.4364	-0.0778	-0.1751	-0.0539	0.2928	-0.2865	-0.1614	-0.0216	0.0117	-0.0524	-0.3301	0.1442	-0.0072	-0.1943	-0.219062552506576	-0.5909	0.0475	0.0317	0.1792	-0.1194	0.052	-0.4343	-0.0091	-0.4637	-0.0922	-0.1365	0.0689	0.3565	-0.0348	-0.2838	-0.2412	0.0203	-0.426	0.2288	-0.599	-0.0081	0.1147	-0.0741	-0.3246	0.3281	0.095	-0.1854	0.3109	0.2999	0.0815	0.0816	-0.3782	0.1761	-0.1832	0.2611	-0.0289
AANAT	-0.2833	0.0081	0.0254	-0.0094	1.2431	-0.0065	0.4711	1.0137	0.193	-0.265	0.1598	0.0476	0.205	0.1523	0.0802	0.0154	0.5254	0.0748	-0.5316	-0.0473	-0.1065	-0.2607	0.179	0.3736	0.4321	-0.0289	0.6679	0.205	0.1529	0.1483	0.5973	0.4041	0.5381	0.0932	0.0229	0.4509	-0.1781	0.1113	0.0606	-0.1927	0.0841	0.1012	0.365	0.0134	0.5037	0.4843	-0.3459	0.0088	0.0313	0.2939	0.0777	0.2341	0.3502	0.1639	0.3331	-0.0767	-0.3433	0.2165	0.1263	0.2605	0.5898	-0.0654	0.0358	-0.0433	0.5103	-0.02	0.1555	0.0553	-0.5241	0.232	1.1341	0.1797	-0.3337	0.1228	0.0085	0.5014	0.1057	0.1024	0.5223	1.1774	-0.0258	-0.2663	0.0631	-0.0017	0.3184	-0.3836	0.3306	-0.01	-0.2523	-0.3588	-0.0685	-0.3502	-0.0011	0.4311	-0.4766	0.0339	0.0834	0.0649	0.0408	0.0476	-0.1162	0.7874	-0.0226
ABL1	0.0547	0.0159	-0.2626	-0.2243	0.2364	-0.0446	-0.0853	-0.3375	-0.0464	-0.2802	-0.1784	0.0127	0.216	-0.3777	0.0301	-0.0028	-0.0271	0.0592	-0.0951	0.1127	0.1382	-0.4042	-0.1554	0.1872	0.1078	-0.0812	-0.2393	-0.2283	-0.5154	-0.2871	0.2914	0.0025	-0.0643	-0.2053	0.022	-0.3865	-0.6128	-0.0695	0.0544	-0.139	-0.3654	-0.1479	0.3863	0.0131	0.0594	-0.0126	0.0419	0.005	0.0326	-0.003	-0.0055	-0.0246	0.2006	-0.0794	-0.0758	-0.072	0.2649	0.0725	-0.1481	-0.0366	-0.0067	0.2931	0.351	-0.5052	-0.0339	-0.0336	-0.1958	0.0441	0.1266	0.0211	-0.4909	-0.2857	0.0691	-0.4079	0.1277	-0.0567	-0.0895	-0.1585	0.0152	0.0222	-0.0286	-0.2283	-0.0842	0.2795	0.1164	0.251	-0.2024	-0.002	-0.1951	-0.0073	0.3966	-0.0764	-0.1962	0.1978	-0.5284	0.0688	0.0774	0.072	-0.4079	-0.8988	0.107588933638868	0.1601	-0.0239
ABL2	0.1961	0.9766	0.0422	-0.1968	-0.3476	0.7335	0.3689	0.1886	0.3626	0.77	0.5909	0.3558	0.1576	0.4115	0.6144	0.7467	-0.0553	0.3805	0.2769	0.4712	0.497919694620156	0.3728	-0.1507	0.1649	0.4803	0.3923	0.6039	0.1967	0.4919	0.8881	0.125	0.4094	0.2763	0.760344599440749	0.2345	0.4786	0.1417	0.2982	0.4449	0.2896	0.0815	0.6869	0.3601	0.0016	0.6022	0.4192	0.3553	0.0725	0.6511	0.0341	0.3241	0.311	0.4976	0.0391	0.7475	0.33	0.3171	0.1171	0.4231	-0.0245	0.3307	0.1871	0.5807	0.465279843032453	0.2717	-0.0428	0.1196	0.1393	0.7822	0.3618	0.1728	0.0114	0.3671	0.338	0.6681	0.1247	0.2361	0.6219	0.1973	0.3554	0.5385	1.1451	0.4657	0.2908	0.2052	0.127570074338023	0.6255	0.7407	0.3012	0.8385	0.3562	0.2842	0.4515	0.1654	0.2645	0.4958	0.0653	0.3112	0.6284	0.2089	0.1551	0.2178	0.8198
ACAA1	-0.3151	-0.0029	0.0264	-0.1844	-0.0516	0.3555	-0.0449	-0.0615	-0.0266	-0.0804	0.1539	0.0125	0.2155	-0.3739	0.1424	0.2878	0.1018	0.0459	-0.0284	0.1171	-0.1162	-0.2591	0.1648	-0.0458	-0.3709	-0.2971	0.2459	0.1155	-0.5406	-0.3075	-0.1906	-1e-04	-0.5984	0.0648	0.0209	-0.3856	-0.6124	0.2243	0.0896	-0.043	-0.3941	0.3305	-0.3332	-0.3719	-0.7025	0.0019	0.1663	-0.0054	0.0274	-0.2997	-0.3787	-0.0322	-0.4327	-0.0727	-0.0789	0.118	0.0528	0.2004	-0.1585	-0.0258	-0.0069	-0.0469	0.0559	-0.071	-0.0349	-0.277	-0.1539	0.1573	0.0133	0.0391	0.1944	0.0452	0.0431	0.1022	-0.0152	0.0969	-0.0194	-0.1294	-0.2154	0.0085	-0.0449	-0.2727	0.5124	0.0208	-0.1216	-0.0257	0.1651	-0.013	-0.1412	-0.069	-0.0262	0.0761	0.0774	-0.0149	0.262	0.064	-0.519	0.0577	-0.3711	-0.4242	-0.2107	-0.3971	-0.0211
ACADS	-0.3456	0.0215	0.0256	-0.1931	-0.3506	-0.0214	0.1099	-0.1306	-0.081	-0.2862	0.061	0.0069	0.1542	0.2384	0.3421	-0.0059	0.3138	0.0806	0.2445	-0.047	0.1465	-0.2645	0.1711	-0.0776	-0.111	0.0389	0.1724	-0.0235	0.0934	-0.3452	-0.1932	0.0022	-0.0501	-0.2533	0.0219	-0.1661	0.5709	0.1998	0.0139	-0.1947	0.1273	0.322	0.0442	-0.0222	-0.7467	0.0114	-0.3776	-0.0045	0.0535	-0.3093	-0.0031	-0.4052	-0.0683	0.016	0.2574	-0.0529	0.0339	-0.2812	-0.1655	0.2062	0.3479	-0.0519	0.3495	-0.167	0.2687	-0.0314	-0.1938	0.0859	-0.2983	0.0286	0.1836	0.0415	0.0416	0.1306	-0.3315	0.0719	-0.0503	0.2578	-0.2344	-0.2004	0.3721	-0.2313	-0.0735	0.0098	-0.0013	-0.3724	0.1231	-0.0134	0.0165	-0.36	-0.3598	0.1457	-0.304	-0.0023	-0.4969	0.3024	0.0822	-0.6888	0.0441	-0.169	-0.191	-0.2399	-0.0226
ACAT2	0.5357	0.0024	0.0023	-0.1929	-0.279	-0.0098	-0.0509	-0.2578	0.088	-0.3092	0.0955	-0.4725	-0.7851	-0.059	-0.3269	-0.416	-0.2462	0.0365	-0.0688	-0.0431	0.1946	0.3051	-0.1659	-0.0923	0.1153	0.0621	-0.6816	-0.4018	0.1391	0.1552	-0.1961	0.0058	-0.1043	0.6286	0.0204	-0.4206	0.342	0.3166	0.0883	0.0356	-0.3824	-0.2454	0.0953	-0.0323	0.0385	0.0063	-0.1272	-0.0031	0.0128	0.0441	0.0294	-0.0593	-0.088	-0.0719	-0.1543	-0.0535	0.0069	0.1116	0.1741	-0.0291	-0.5838	-0.0489	-0.3152	0.1968	-0.505	0.1369	0.1317	0.3591	0.0057	-0.0631	0.1806	0.0449	0.0209	0.1042	0.2273	-0.4126	0.0323	0.1363	0.0606	7e-04	-0.0557	0.0723	-0.0598	0.0203	0.2235	-0.4267	-0.5824	-0.0314	-0.1418	0.1526	0.2274	-0.0151	-0.0361	-0.0457	0.2464	-0.2336	0.0645	0.0567	0.0105	0.0744	0.1861	-0.3864	-0.0269
ACLY	-0.2842	-0.0027	-0.5882	-0.188	-0.3525	-0.0065	0.4662	-0.3267	0.0604	-0.8836	0.1672	0.0345	-0.664	0.1341	0.1112	-0.3818	-0.228	0.0819	-0.417547089047943	-0.0458	-0.3931	-0.2384	0.1761	-0.0691	0.4219	-0.0599	0.6216	0.1803	-0.5124	0.0992	0.115	0.3833	-0.5605	0.0955	-0.2448	0.4599	-0.5746	-0.2211	0.8306	-0.1759	0.1223	-0.5494	-0.096	0.015	-0.7243	-0.3358	-0.3318	0.0163	0.0194	-0.3036	0.052	-0.0252	-0.46	-0.0936	0.344	-0.2447	-0.3227	-0.2178	0.1291	0.2476	0.5616	0.0653	0.0381	-0.0502	-0.4661	-0.223	-0.1965	0.1009	0.3608	0.0157	-0.5022	-0.2786	-0.3512	-0.3846	-0.0137	0.0888	0.0978	0.0979	-0.2578	-0.4501	-0.0258	-0.2624	0.2661	-0.0022	-0.0058	-0.0292	0.3473	-0.0099	-0.2645	-0.0398	-0.0591	-0.3289	-0.0066	-0.0521	-0.5179	-0.5744	0.0824	0.0588	-0.3953	0.2822	-0.0899	-0.2587	-0.0258
ACO2	-0.2979	-0.009	0.0056	-0.1822	-0.3631	-0.0185	-0.17	0.0433	0.4343	-0.0925	-0.5327	-0.4743	-0.666	0.1179	-0.2443	-0.0185	-0.1175	-0.5469	-0.072	-0.0463	0.1202	-0.1503	-0.1571	-0.0688	-0.3916	-0.301	0.4673	0.3368	0.8765	-0.3155	-0.0299	0.0013	-0.1137	0.0204	0.017	-0.1832	0.1513	-0.2323	0.0383	-0.0125	0.0983	0.0986	0.1358	0.0041	0.5357	-0.0197	0.1027	0.0163	-0.4855	0.0163	-0.0147	-0.3936	-0.1109	0.0141	-0.5095	0.561	0.094	0.1262	0.1689	-0.4149	-0.5089	0.1176	-0.8658	-0.1042	-0.0529	-0.0153	-0.2226	0.5268	0.1313	0.0281	-0.5035	0.0301	0.0735	-0.3945	-0.3198	0.0098	-0.0621	-0.461	0.069	-0.0021	-0.2969	-0.2622	0.3899	-0.0082	-0.0092	0.2485	0.0721	-4e-04	0.0196	-0.0339	-0.0394	-0.3361	-0.0207	-0.231	-0.5419	-0.223	0.081	-0.7226	0.34	-0.1506	-0.1918	-0.2439	-0.4065
ACP1	0.3574	0.0129	-0.0232	-0.1565	-0.0155	-0.1156	-0.045	0.0904	0.1439	-0.0277	-0.1545	-0.0093	0.6547	0.097	-0.1141	-0.0181	-0.1018	0.0584	-0.0958	-0.163513566030946	-0.1168	0.0353	-0.1551	-0.0809	-0.1305	0.1591	-0.1845	-0.2744	0.0879	0.419	0.1445	0.0046	0.1843	0.5685	0.0161	-0.367	0.1104	-0.0919	-0.0862	-0.0098	-0.0477	0.0473	-0.0352	-0.0073	-0.7776	-0.0027	-0.347	-0.0261	0.0251	0.3138	0.019	-0.1159	-0.0869	0.0791	-0.1411	0.1132	0.0231	-0.4005	-0.1485	-0.0173	-0.0727	-0.0642	0.0018	-0.08	-0.0134	-0.0734	0.0907	0.125	0.0438	0.0247	0.1318	-0.3067	0.0294	0.0568	-0.3154	0.9638	0.0271	-0.0999	0.0682	-0.2069	-0.0486	0.7181	-0.1096	-3e-04	0.0078	-0.1131	-0.2055	-0.0238	0.2968	0.1147	-0.0132	-0.0437	-0.0452	-0.013	0.2605	0.0276	0.0645	0.0652	-0.3386	0.1939	0.9977	-0.1812	-0.0175
ACTC1	-0.277	0.0157	-0.5957	-0.2171	-0.358	-0.0564	-0.0449	-0.0233	-0.41	-0.301	0.1249	0.0115	0.1434	0.2322	-0.2937	-0.005	0.0564	0.0595	-0.0608	-0.0494	-0.1046	-0.4082	0.1761	-0.3821	-0.0958	-0.2867	-0.0949	0.02	0.0862	-0.9474	-0.1712	0.0191	-0.5679	0.0597	0.0147	-0.3401	0.1355	-0.1131	0.1011	-0.0666	-0.3721	0.1372	-0.3522	-0.0162	0.0471	-0.0089	-0.0712	0.0101	0.0238	-0.2957	0.0139	-0.2241	0.1312	-0.0784	-0.552	-0.2358	-0.2803	-0.3588	-0.1468	-0.0123	-0.0302	-0.0538	-0.2959	-0.0736	-0.0324	-0.2904	-0.2043	-0.1509	0.0723	0.0344	0.0599	-0.2841	-0.3342	0.117	-0.3192	-0.4503	-0.1542	0.1235	-0.2296	0.0837	-0.2356	-0.2784	-0.1913	0.017	-0.2566	0.1841	0.3761	-1e-04	-0.192	-0.3807	-0.3035	-0.085	-0.1056	-0.4289	0.253	-0.2181	0.0698	0.5706	-0.9238	-0.0849	-0.1841	-0.7424	-0.0254
ACTL6A	0.8947	-0.006	0.0343	0.21	0.3578	0.3419	0.4102	0.1112	-0.0711	-0.0695	0.1514	0.0083	0.5968	0.2361	0.1191	0.282	0.2458	0.0295	-0.0218	0.1203	0.5261	0.57305415884341	0.166	0.2975	0.1238	0.7628	0.2961	0.1139	0.7285	0.4043	0.4185	0.0204	0.5422	0.0429	0.0229	0.4543	0.1528	0.3193	0.0891	-0.0336	0.1255	0.102	0.7707	-0.0171	0.5186	-0.001	-0.1215	-5e-04	0.0155	0.0433	0.05	0.2521	0.254315972497686	0.0627	-0.1152	0.0774	0.0736	-0.2737	-0.1532	-0.0212	-0.0547	0.0691	0.0506	0.1978	-0.0412	-0.0446	0.1414	0.1515	0.0386	0.0437	0.1891	0.1542	0.0234	0.0906	-0.0367	0.674163009103977	0.0768	-0.1391	-0.0487	-0.0017	-0.0437	0.0729	0.8453	0.006	-0.1171	0.9282	0.1751	-0.0246	0.3308	-0.105	0.4041	0.1038	0.0666	-0.0383	0.2409	0.0574	0.0622	0.0584	0.6192	0.2185	0.2011	0.0973	-0.0221
ACVR2A	-0.0268	-0.0017	-0.5308	-0.1843	-0.0033	-0.1212	-0.0347	-0.0732	-0.066	0.1113	-0.0858	0.0104	0.1283	-0.2247	-0.0707	-0.0191	0.1378	0.027	-0.0484	0.1028	-0.1087	0.0454	-0.1611	0.1628	-0.4081	0.1356	-0.0898	-0.1174	0.0924	-0.3407	-0.0061	0.0054	0.2035	-0.0101	0.0184	-0.3596	0.1314	-0.0294	-0.0827	0.0954	0.0203	0.0018	-0.065	-0.0123	0.5161	0.0013	-0.1176	-0.0056	0.0067	0.0326	0.0416	-0.7591	-0.0734	0.0423	-0.119	-0.0489	0.0652	0.1023	-0.1425	-0.0169	-0.119	-0.0569	0.009	-0.0829	-0.0398	-0.0079	0.0986	-0.1308	0.0055	0.0382	0.1707	-0.0452	0.0131	0.0472	-0.3116	-0.4645	-0.0141	-0.1041	0.0735	-0.2141	-0.0497	-0.2886	-0.0021	0.0244	-0.1094	0.1223	-0.1158	-0.0291	-0.1545	0.0902	-0.0282	-0.045	-0.0438	-0.0191	-0.5554	0.055	-0.00249536784741144	-0.3084	-0.3135	-0.275	-0.2019	-0.1164	-0.0248
ADAM8	-0.3583	0.0283	0.3883	-0.2311	-0.3625	-0.0478	-0.0651	-0.3399	-0.437	-0.2602	-0.1542	0.0155	-0.7692	0.1104	0.0864	0.2593	0.0115	0.0849	-0.1023	-0.0405	-0.1473	-0.4534	-0.1537	-0.0739	0.0776	0.0904	-0.1745	-0.2818	-0.6258	0.0794	-0.005	0.0043	-1.4843	-1.0778	0.0215	0.0945	0.0888	0.1528	0.1066	-0.0584	-0.349	-0.0148	-0.4161	-0.0602	0.5137	-0.0018	0.3542	-0.0026	0.0737	0.0374	0.0056	-0.5128	-0.1083	0.0498	-0.1549	-0.239	0.0053	-0.0063	-0.1997	-0.0158	-0.5172	0.0112	-0.3851	0.0837	-0.0245	0.4863	-0.2232	-0.2634	0.068	0.0396	-0.2835	-0.4924	0.0448	0.1078	-0.0415	0.0238	0.1937	-0.1233	0.0087	-0.532	0.1367	0.3216	-0.129	0.0155	0.1902	0.2042	-0.1817	-0.0395	0.0979	-0.0771	-0.0183	0.1471	0.0923	-0.2057	-0.5955	-0.2203	0.0752	0.0447	-0.4077	0.3042	-0.2039	-0.4791	-0.0167
ADARB2	0.0928625858847153	0.024	0.0086	0.465307151270402	0.0113	-0.0636	0.1859	0.0675	1.0068	0.5297	-0.1107	0.01	0.6872	0.2864	0.0617	0.2905	0.0342	0.06	-0.0652	0.1007	0.274	0.6845	-0.1554	0.1921	-0.1098	0.1363	-0.1591	0.195	0.142	0.1199	0.1516	-0.0062	-0.594894169423229	0.4798	0.0201	0.1191	0.1307	0.6611	0.1359	0.3635	0.402	0.208	0.7207	-0.0202	-0.7926	-0.0069	0.129	0.0039	0.0276	0.0327	0.0099	-0.0149872021348232	-0.087	-0.1008	0.2309	-0.0507	0.0319	0.1592	-0.168699504380413	-0.0084	-0.5207	0.272035545309782	-0.311942919948316	0.211	3.77849390087196e-05	0.1568	0.4004	0.1372	0.0666	0.2399	0.294	0.8117	0.0384	0.108858018087551	-0.0144	0.4672	0.132	-0.1262	0.0687	0.1951	-0.0485	0.0584	-0.0850222322293344	0.0181	0.1191	0.7771	-0.1747	0.0146857194866333	0.358	-0.0858	-0.028	-0.0918	0.077	-0.2141	0.2454	-0.2359	0.0755	0.073	0.3604	0.1592	0.5179	0.237	-0.0237
ADCY6	-0.2944	-0.0036	0.0273	-0.1837	-0.3357	-0.0213	0.1068	-0.0606	-0.2131	-0.5484	0.0869	0.0086	0.1609	0.1291	0.3005	-0.0186	0.1272	0.041	0.150735410146989	-0.0387	-0.1116	-0.2536	0.159	0.1648	-0.111	0.0544	0.1882	0.0137	-0.5278	0.0738	-0.0143	0.007	-0.066	-0.5367	0.0193	0.2606	-0.585	-0.2898	0.0494	-0.1947	0.0943	0.3136	0.0988	-0.024	0.0529	0.0121	-0.2793	-0.0018	0.0203	0.2828	0.0084	0.2481	-0.0831	-0.069	0.222	-0.0529	0.0415	-0.2876	-0.1622	0.2676	0.2835	-0.0519	0.3341	0.1267	0.2647	-0.0471	-0.1794	0.1532	0.0139	0.0359	0.171	-0.2759	0.0343	0.0978	0.2187	0.085	-0.0473	0.281	0.08	-0.2226	0.3586	-0.2766	-0.0632	0.0044	0.0017	-0.3699	0.1098	-0.0236	0.0616	0.1652	-0.0345	0.1368	-0.0065	0.2882	0.7988	0.2833	0.0666	0.0568	-0.3956	-0.1361	-0.1936	-0.1727	-0.0321
ADCY9	-0.3059	0.0027	0.0138	-0.2345	0.5618	0.969	0.1741	0.3371	0.2782	0.2267	0.0692	0.0158	-0.6874	0.1582	0.1416	-7e-04	0.069	0.4933	-0.065	0.1033	0.1497	0.0446	0.8716	-0.0746	0.2673	-0.38	0.1923	0.2154	-0.3259	-0.2767	0.1425	0.4164	-0.0867	0.4343	0.0164	0.5226	0.143	0.1715	0.0824	0.1271	0.1076	0.3344	0.1364	0.02	0.0759	0.0144	0.0842	0.0074	0.3777	0.2855	0.8469	0.2436	0.2045	-0.0092	0.2482	-0.0748	0.3368	0.2071	0.1523	0.4888	0.3035	0.0796	0.3377	0.417	-0.017	-0.0521	-0.2125	0.664	0.1322	0.0301	0.1646	0.031	0.0644	0.1431	0.4296	0.1089	0.035	0.4556	-0.126286001254713	0.1914	0.3975	-0.2697	0.0574	0.0082	0.1041	0.1433	-0.1924	0.019	0.0189	0.1939	0.5331	0.3637	0.478	0.0296	0.331	0.1027	0.0817	0.5628	0.344	0.3207	-0.1945	0.1772	0.2722
PLIN2	0.6885	0.015	-0.2834	-0.2036	-0.3595	-0.0458	-0.0329	-0.1716	-0.0769	0.4601	-0.1107	0.0122	1.0353	-0.3797	-0.1732	-0.3819	-0.2473	0.0458	-0.0888	-0.037	-0.4436	-0.0026	-0.1706	0.188	-0.3784	0.3576	-0.1085	-0.1893	-0.5264	0.0903	0.0253	0.0077	-0.5415	0.2477	0.0248	-0.3658	0.1118	0.297	0.1096	-0.1474	0.095	-0.1555	-0.3981	-0.0026	0.0499	-0.0143	0.486577895231965	0.0038	0.0189	0.0222	-0.3673	-0.4236	-0.0713	0.3079	-0.4671	-0.0438	-0.308	0.4163	-0.1373	-0.0174	-0.0294	0.0716	-0.2964	-0.0854	-0.0456	0.1527	0.246	-0.5226	0.038	0.0427	-0.5065	-0.2895	0.0214	-0.4227	0.1277	0.0732	-0.0912	-0.0916	0.0455	0.5924	0.1991	0.3352	-0.498	0.0227	-0.4177	-0.3973	-0.1321	-0.0042	-0.197	-0.0533	-0.2209	0.1775	0.0638	-0.0111	-0.5657	-0.6088	0.0684	0.0682	0.3738	-0.3575	0.1849	0.269	-0.0201
ADH1A	-0.1331	-0.003	0.0475	-0.1915	0.0119	-0.043	-0.0353	-0.0893	-0.0695	0.6553	-0.1042	0.0143	0.1369	0.1272	-0.1481	-0.0149	0.3876	0.0268	0.002	-0.1995	-0.1205	-0.1366	0.1592	0.0775	0.1168	-0.1969	-0.0726	0.0544	0.1173	0.4248	-0.0258	0.0117	0.2211	-0.1737	0.023	-0.3735	0.1592	-0.0336	-0.3877	0.0162	0.077	0.0894	-0.3112	-0.0121	0.4815	0.0057	-0.1187	-0.0034	0.0065	0.0539	-0.2034	-0.3375	0.2024	-0.0679	0.0881	-0.2568	0.052	-0.2772	-0.1603	-0.0172	0.2943	-0.1839	-0.2945	-0.1413	-0.0416	0.2248	-0.1897	0.1468	-0.0014	0.0469	-0.4693	0.1843	0.0154	0.0312	-0.3678	0.4724	0.014	-0.0922	0.0882	-0.0011	-0.0529	-0.2812	-0.2056	0.0179	-0.1077	0.504	-0.0937	-0.0295	-0.1242	-0.1094	-0.3335	-0.3444	-0.2976	-0.1716	-0.5477	0.0731	0.0643	0.053	-0.3477	-0.3752	-0.1995	0.6774	-0.0229
ADH5	-0.1331	-0.003	0.0475	-0.1915	0.0119	-0.043	-0.0353	-0.0893	-0.0695	0.4166	-0.1042	0.0143	0.1369	0.1272	-0.1481	-0.0149	0.3876	0.0268	0.002	-0.1995	-0.1205	-0.1366	0.1592	0.0775	0.1168	-0.1969	-0.0726	0.0544	0.1173	0.0535	-0.0258	0.0117	0.2211	-0.1737	0.023	-0.3735	0.1592	-0.0336	-0.3877	0.0162	0.077	0.0894	-0.3112	-0.0121	0.4815	0.0057	-0.1187	-0.0034	0.0065	0.0539	-0.2034	-0.3375	0.2024	-0.0679	0.0881	-0.2568	0.052	-0.2772	-0.1603	-0.0172	0.2943	-0.1839	-0.2945	-0.1413	-0.0416	0.2248	-0.1897	0.1468	-0.0014	0.0469	-0.4693	0.1843	0.0154	0.423	-0.3678	0.4724	0.014	-0.0922	0.0882	-0.0011	-0.0529	-0.2812	-0.2056	0.0179	-0.1077	0.504	-0.0937	-0.0295	-0.1242	-0.1094	-0.3335	-0.3444	-0.2976	-0.1716	-0.5477	0.0731	0.0643	0.053	-0.3477	-0.3752	-0.1995	0.6774	-0.0229
ADK	-0.3067	0.0113	0.4334	-0.801	-0.3515	-0.0536	-0.3336	-0.1456	-0.4098	0.2578	-0.1359	0.0113	0.1843	-0.0237	0.0659	-3e-04	0.0342	0.0694	-0.0157	0.1147	-0.5499	0.2278	-0.1477	-0.0712	0.1044	0.1496	-0.141283009278465	-0.2319	-0.5329	0.0331	0.1397	0.0043	-0.0181	-0.2683	0.0215	0.1273	0.1389	0.1856	0.0686	-0.0423	0.1571	-0.0199	-0.326	-0.0217	0.0266	-0.0018	0.380081503935544	-0.0018	0.0325	0.0374	0.0041	2.09744592589402	-0.0693	-0.0787	-0.0809	0.0938	0.0183	-0.258	-0.1567	-0.0194	-0.5172	0.052	-0.328	0.1501	-0.0187	0.112611102290584	-0.2016	-0.1469	0.0644	0.0396	0.1382	-0.0999	0.3583	0.0998	-0.0088	-0.093	0.1863	-0.1187	0.2245	0.1976	0.1895	0.249931595264281	0.0855407796517954	0.0155	0.1114	-0.3771	-0.1675	-0.0035	0.0619	-0.0771	-0.0177	0.1482	0.0845	-0.0268	-0.5679	-0.2203	0.0741	0.0701	0.065	0.2325	-0.2032	-0.4278	-0.0218
