Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
CIRBP_prot	CIRBP	prot	C20orf24_mrna;C5orf24_mrna;EXOC5_mrna;HSPA14_mrna;KLHL7_mrna;MAPK14_mrna;PGK1_mrna;TMEM33_mrna;ZBTB4_mrna;CNOT3_prot;GTF2F1_prot;KHDRBS1_prot;KHSRP_prot;PAXIP1_prot;SF3A2_prot;TPR_prot;WDR77_prot	17
CISD2_mrna	CISD2	mrna	TFAM_prot	1
CITED4_mrna	CITED4	mrna	CCNT2_prot;E2F4_prot	2
CIZ1_prot	CIZ1	prot	EIF4G1_mrna;EXOC3_mrna;GALT_mrna;PCBP2_mrna;PRKCSH_mrna;SF3A1_mrna;UBTF_mrna	7
CKAP5_mrna	CKAP5	mrna	ANAPC11_prot;ATAD2_prot;CDC5L_prot;DHX30_prot;DTL_prot;EIF4A2_prot;HTATSF1_prot;ILF3_prot;MCM6_prot;PARP1_prot;PATZ1_prot;PTBP2_prot;RBM28_prot	13
CKLF_mrna	CKLF	mrna	EP300_prot	1
CKM_mrna	CKM	mrna	TP53_prot	1
CLASP1_prot	CLASP1	prot	CLU_mrna;FAM92A1_mrna;LPP_mrna;MARK3_mrna;RBM4B_mrna;ZFAND3_mrna;CLIP1_prot	7
CLASP2_mrna	CLASP2	mrna	CPSF1_prot;SSBP2_prot;SYNJ1_prot	3
CLCNKA_mrna	CLCNKA	mrna	MAZ_prot	1
CLCNKB_mrna	CLCNKB	mrna	IGHMBP2_prot;KRT7_prot;TTC13_prot	3
CLGN_mrna	CLGN	mrna	TRIM28_prot	1
CLIC1_prot	CLIC1	prot	ARPC1B_mrna;NFIA_mrna;PPP1CA_mrna;USP9X_mrna;ESR1_prot	5
CLIC2_prot	CLIC2	prot	C10orf128_mrna;FPR1_mrna;KCNH2_mrna;TNFRSF1B_mrna;TNFSF13B_mrna	5
CLIC5_mrna	CLIC5	mrna	EIF4B_prot	1
CLINT1_mrna	CLINT1	mrna	DDX3X_prot;G3BP1_prot;KBTBD2_prot;XRN2_prot;ZNF146_prot;ZNF207_prot	6
CLIP1_prot	CLIP1	prot	BUB1_mrna;BUB3_mrna;CCNB2_mrna;FBXO5_mrna;HMMR_mrna;MCM3_mrna;PCNA_mrna;PPP1CB_mrna;REEP5_mrna;SNRPB_mrna;ZNF207_mrna;BUB3_prot;CLASP1_prot	13
CLIP4_mrna	CLIP4	mrna	FBXL17_prot	1
CLK4_mrna	CLK4	mrna	ASH1L_prot;JUN_prot	2
CLPB_prot	CLPB	prot	C10orf76_mrna;MRPS16_mrna;PMPCA_mrna;COPS6_prot;HDAC11_prot;HGS_prot;SMARCE1_prot;TERF2_prot;TRIM11_prot;TTF2_prot;VWF_prot	11
CLPP_mrna	CLPP	mrna	ANAPC11_prot;ANKRD39_prot;COPS6_prot;MRPL23_prot;MRPS12_prot;PSMD4_prot;ZBTB7A_prot	7
CLPX_mrna	CLPX	mrna	ATF1_prot	1
CLSPN_mrna	CLSPN	mrna	CASP2_prot;EP300_prot	2
CLTA_mrna	CLTA	mrna	CEBPB_prot;DDX51_prot;POLL_prot	3
CLTCL1_mrna	CLTCL1	mrna	STAT5A_prot	1
CLTC_prot	CLTC	prot	AKT1_prot;AP2B1_prot;ARMCX3_prot;DAB2_prot;EP300_prot;ESR1_prot;HDAC5_prot;HGS_prot;IKBKB_prot;NFKB2_prot;NFKBIB_prot;NFKBIE_prot;NPM1_prot;PAXIP1_prot;REL_prot;RELA_prot;SHC1_prot;SYNJ1_prot;TANK_prot;TFE3_prot;TRADD_prot;XRCC6_prot	22
CLU_mrna	CLU	mrna	ARPC1A_prot;BHLHE40_prot;CLASP1_prot;CREB1_prot;FOSL2_prot;JUN_prot;JUNB_prot;JUND_prot;TFAP2A_prot	9
CLYBL_mrna	CLYBL	mrna	ANK1_prot;DDX51_prot;JUNB_prot	3
CMC1_mrna	CMC1	mrna	YY1_prot	1
CMTM1_mrna	CMTM1	mrna	SHBG_prot	1
CNBP_mrna	CNBP	mrna	YY1_prot	1
CNBP_prot	CNBP	prot	CUX1_prot;DDX21_prot;DDX27_prot;DDX31_prot;DHX30_prot;DHX9_prot;IGF2BP2_prot;NLE1_prot;NPM1_prot;PABPC3_prot;PAK1IP1_prot;PURA_prot;RBM28_prot;RPL26L1_prot;SYNCRIP_prot;WHSC1_prot;ZC3HAV1_prot	17
CNDP1_mrna	CNDP1	mrna	FOSL2_prot;IGHMBP2_prot	2
CNIH2_mrna	CNIH2	mrna	ELK1_prot	1
CNN3_mrna	CNN3	mrna	WWTR1_prot	1
CNOT3_prot	CNOT3	prot	ARHGDIA_mrna;EIF4G1_mrna;OTUD5_mrna;UBTF_mrna;CAND2_prot;CIRBP_prot;CNOT8_prot;CREBBP_prot;FHL2_prot	9
CNOT4_prot	CNOT4	prot	ASH1L_mrna;HSF1_mrna;KBTBD2_mrna;KCNH2_mrna;KIF5B_mrna;MAPKAP1_mrna;MCM3AP_mrna;POMGNT1_mrna;PSMD1_mrna;RANGAP1_mrna;RPL14_mrna;SETX_mrna;CNOT8_prot;EP300_prot	14
CNOT6_mrna	CNOT6	mrna	GTF2F1_prot	1
CNOT8_prot	CNOT8	prot	APAF1_mrna;CNOT3_prot;CNOT4_prot;MCM7_prot;TNRC6A_prot	5
CNPY2_mrna	CNPY2	mrna	ALG1_prot;BUB3_prot;NONO_prot;PQBP1_prot	4
CNPY3_mrna	CNPY3	mrna	BHLHE40_prot;CORO7_prot;NONO_prot;TGFB1_prot	4
CNR2_mrna	CNR2	mrna	ARHGAP25_prot;ARID1B_prot;DAPP1_prot;E2F4_prot;EZH1_prot;IGHMBP2_prot;ISG20L2_prot;SF3B2_prot;TERF2_prot;TTC13_prot	10
CNST_mrna	CNST	mrna	CCNT2_prot;E2F4_prot	2
CNTFR_mrna	CNTFR	mrna	CHD2_prot	1
CNTNAP2_mrna	CNTNAP2	mrna	TCF4_prot	1
CNTROB_mrna	CNTROB	mrna	ADARB1_prot;BRD4_prot;DDX51_prot;EEF1G_prot;ELF1_prot;H1FX_prot;KLC3_prot;POLL_prot;PTBP1_prot;PWWP2B_prot;SARDH_prot;TRIM24_prot;TRIM5_prot;TTC28_prot;ZBTB7B_prot;ZNF552_prot	16
COG2_mrna	COG2	mrna	MAZ_prot;TFAP2A_prot;TFAP2C_prot	3
COL12A1_mrna	COL12A1	mrna	LAMA4_prot;ZBTB7A_prot	2
COL14A1_prot	COL14A1	prot	FBLN2_mrna;LUM_mrna;PCDH18_mrna;POSTN_mrna	4
COL18A1_prot	COL18A1	prot	SPARC_mrna;DNM2_prot;TRIM11_prot	3
COL23A1_mrna	COL23A1	mrna	CCNT2_prot;JUND_prot	2
COL2A1_mrna	COL2A1	mrna	RELA_prot;SP3_prot	2
COL4A1_mrna	COL4A1	mrna	ANTXR1_prot;COL5A3_prot;LAMA4_prot;LMX1B_prot;WWTR1_prot	5
COL4A3_mrna	COL4A3	mrna	ANTXR1_prot;COL5A3_prot;LAMA4_prot;LMX1B_prot;WWTR1_prot	5
COL5A3_prot	COL5A3	prot	COL4A1_mrna;FBLN2_mrna	2
COL8A2_mrna	COL8A2	mrna	COPS3_prot	1
COMTD1_mrna	COMTD1	mrna	HDAC2_prot	1
COPE_prot	COPE	prot	ANKRD23_mrna;AP1M1_mrna;AP2S1_mrna;BANF1_mrna;CARHSP1_mrna;CDC37_mrna;CDK10_mrna;ELOVL1_mrna;MPG_mrna;MRPL4_mrna;OTUB1_mrna;PHF23_mrna;PPP1CA_mrna;PRMT1_mrna;RNF26_mrna;RPL18A_mrna;SNRPD2_mrna;SRA1_mrna;TRAPPC2L_mrna;TRAPPC3_mrna;TXNDC17_mrna;UBE2I_mrna;ECT2_prot;NPM1_prot;PAXIP1_prot;RCHY1_prot;TSG101_prot	27
COPS2_prot	COPS2	prot	EIF4E_mrna;ANAPC1_prot;AR_prot;CDC16_prot;COPS3_prot;COPS6_prot;COPS7B_prot;CPSF1_prot;CREBBP_prot;CUL4B_prot;DDB2_prot;DTL_prot;EP300_prot;ERCC3_prot;ING1_prot;IRF8_prot;JUN_prot;KLHDC3_prot;MED23_prot;NCOR1_prot;NPM1_prot;RFWD2_prot;RXRA_prot;TP53_prot;VDR_prot	25
COPS3_prot	COPS3	prot	ATP5G3_mrna;BNIP1_mrna;BOLA3_mrna;C14orf2_mrna;C1QBP_mrna;C9orf114_mrna;COL8A2_mrna;COQ3_mrna;CUTC_mrna;EIF2B3_mrna;FKBP3_mrna;IFRD2_mrna;MAPKAP1_mrna;MRPL11_mrna;MRPL37_mrna;MRPL39_mrna;MRPS17_mrna;MRPS30_mrna;POLE3_mrna;PSMA2_mrna;RFESD_mrna;RQCD1_mrna;TCEB1_mrna;TFB2M_mrna;TIMM50_mrna;TIMM8A_mrna;TPRKB_mrna;UBE2G1_mrna;VDAC2_mrna;VDAC3_mrna;YBX1_mrna;COPS2_prot;COPS6_prot;COPS7B_prot;CUL4B_prot;DDB2_prot;DTL_prot;IKBKB_prot;RBX1_prot;RFWD2_prot;TP53_prot	41
COPS5_mrna	COPS5	mrna	MTX2_prot	1
COPS6_mrna	COPS6	mrna	MRPL28_prot;RUVBL2_prot	2
COPS6_prot	COPS6	prot	ATP5J2_mrna;CLPP_mrna;MRPL11_mrna;MRPS34_mrna;PMPCA_mrna;RUVBL2_mrna;CCNA2_prot;CLPB_prot;COPS2_prot;COPS3_prot;COPS7B_prot;CPSF1_prot;CUL4B_prot;DDB2_prot;DDX3X_prot;DDX5_prot;DTL_prot;EP300_prot;FBXL12_prot;FBXL18_prot;FBXO21_prot;FBXO42_prot;FBXW9_prot;FUS_prot;IRF8_prot;KCTD3_prot;KLHDC3_prot;KRT1_prot;LAMA4_prot;LARP4_prot;MNAT1_prot;NPM1_prot;PRKRA_prot;PSMD11_prot;PWP1_prot;RAE1_prot;RBM14_prot;RBX1_prot;RFWD2_prot;RPS4X_prot;RRP12_prot;SAMHD1_prot;SHKBP1_prot;SMC3_prot;SYNCRIP_prot;TAF15_prot;TIAL1_prot;TP53_prot;TSG101_prot;ZEB2_prot;ZNF24_prot	51
COPS7A_mrna	COPS7A	mrna	TCF3_prot	1
COPS7B_mrna	COPS7B	mrna	BHLHE40_prot;CPSF1_prot;LIG1_prot;POLR2G_prot;PTBP1_prot;SF3B2_prot;TRAF4_prot	7
COPS7B_prot	COPS7B	prot	TRAF4_mrna;COPS2_prot;COPS3_prot;COPS6_prot;CUL4B_prot;DDB2_prot;HEXIM1_prot;JUNB_prot;RFWD2_prot	9
COPS8_mrna	COPS8	mrna	ANKRD39_prot;DHX30_prot;DTX3L_prot;FBXW2_prot;GRSF1_prot;LANCL1_prot;MRPL44_prot;MRPS12_prot;MTX2_prot;POLR2L_prot;RAD21_prot	11
COQ3_mrna	COQ3	mrna	COPS3_prot;DDX1_prot;MAZ_prot	3
COQ7_mrna	COQ7	mrna	TERF2_prot;TP53_prot;ZBTB7A_prot	3
CORO1C_mrna	CORO1C	mrna	YY1_prot	1
CORO1C_prot	CORO1C	prot	GPD1L_mrna;SHC1_prot	2
CORO7_mrna	CORO7	mrna	JUND_prot;ZNF143_prot	2
CORO7_prot	CORO7	prot	CNPY3_mrna;ASB6_prot;RBX1_prot	3
COX6A1_mrna	COX6A1	mrna	E2F4_prot;EEF1G_prot;FBXL18_prot;HDAC2_prot;NRF1_prot;RCOR3_prot;SHBG_prot;TACSTD2_prot;YY1_prot	9
COX7A1_mrna	COX7A1	mrna	EZH2_prot;KNTC1_prot;RAE1_prot;RBM12_prot;VWF_prot;ZBTB20_prot	6
COX7A2_mrna	COX7A2	mrna	EZH2_prot;KNTC1_prot;RAE1_prot;RBM12_prot;VWF_prot;ZBTB20_prot	6
COX7C_mrna	COX7C	mrna	TFAP2C_prot;YY1_prot	2
CPEB3_mrna	CPEB3	mrna	ARHGEF1_prot;DDX59_prot;SAMHD1_prot;UACA_prot;XPNPEP1_prot;ZBTB20_prot;ZC3H7B_prot	7
CPNE5_mrna	CPNE5	mrna	NFYA_prot	1
CPSF1_prot	CPSF1	prot	ANKRD10_mrna;ANKRD17_mrna;C11orf58_mrna;CLASP2_mrna;COPS7B_mrna;CSNK1A1_mrna;CUL3_mrna;ETNK1_mrna;JMJD1C_mrna;KCNH2_mrna;MGEA5_mrna;PCBP2_mrna;PPP3CA_mrna;RB1CC1_mrna;RNF19A_mrna;SENP6_mrna;SMARCC1_mrna;TAF15_mrna;TFCP2_mrna;WDR6_mrna;ZCCHC7_mrna;ZNF207_mrna;ZNF493_mrna;COPS2_prot;COPS6_prot;CPSF4_prot;CSTF1_prot;CSTF3_prot;GTF3C3_prot;NPM1_prot;PABPN1_prot;PCBP2_prot;TBP_prot;TP53_prot	34
CPSF4_prot	CPSF4	prot	CPSF1_prot;CSTF3_prot;EAF1_prot;ECT2_prot;NPM1_prot	5
CPT1B_mrna	CPT1B	mrna	AR_prot;RXRA_prot	2
CPTP_mrna	CPTP	mrna	FOXA1_prot	1
CRABP2_mrna	CRABP2	mrna	AR_prot;TFAP2A_prot;TFAP2C_prot	3
CRAMP1_mrna	CRAMP1	mrna	TBP_prot	1
CREB1_prot	CREB1	prot	AR_mrna;AREG_mrna;ARG1_mrna;ARHGEF39_mrna;ATF3_mrna;ATP1A1_mrna;BCKDHA_mrna;BDKRB2_mrna;BRCA1_mrna;BST1_mrna;CASP8_mrna;CDC37_mrna;CDC5L_mrna;CEBPB_mrna;CELSR1_mrna;CLU_mrna;CYP11A1_mrna;CYP17A1_mrna;DBH_mrna;DIO2_mrna;DLD_mrna;DNAH7_mrna;EGR1_mrna;ELN_mrna;ENKD1_mrna;ETF1_mrna;EXOC5_mrna;FAS_mrna;GNRH1_mrna;GOPC_mrna;GRPR_mrna;GSK3A_mrna;HGF_mrna;IBSP_mrna;ICAM1_mrna;IL1B_mrna;IL6_mrna;LDHA_mrna;LYL1_mrna;LYN_mrna;MCAM_mrna;MIA3_mrna;NFE2_mrna;NMNAT2_mrna;NOLC1_mrna;NOS1_mrna;NPTN_mrna;NR2F1_mrna;NR3C2_mrna;NR4A3_mrna;ODC1_mrna;PCSK1_mrna;PKN1_mrna;PLAT_mrna;PLAU_mrna;POLB_mrna;POLR2A_mrna;PPP3R1_mrna;PSEN1_mrna;PTGES_mrna;PTGS2_mrna;RAB28_mrna;RPS3A_mrna;RUNX1_mrna;SH3BP1_mrna;SLC20A1_mrna;SLC6A8_mrna;SMAD6_mrna;SPRY2_mrna;SRM_mrna;ST3GAL5_mrna;TAT_mrna;TGFB1_mrna;TH_mrna;TMEM131_mrna;TMEM30A_mrna;TMX1_mrna;TPH1_mrna;TPO_mrna;UBE2I_mrna;XPC_mrna;ZC3H7A_mrna;ZMYM2_mrna;ZNF185_mrna;ABL1_prot;CEBPB_prot;CHD3_prot;CHD8_prot;CREBBP_prot;DACH1_prot;DR1_prot;EP300_prot;FHL2_prot;GTF2A1_prot;HDAC1_prot;HDAC2_prot;HDAC8_prot;JUN_prot;KAT5_prot;PBX1_prot;RBBP4_prot;SIRT1_prot;SMARCA4_prot;TAF4_prot;TOX4_prot;TP53_prot;TRIM11_prot;TRIM5_prot;YY1_prot	109
CREBBP_prot	CREBBP	prot	ANKRD17_mrna;BRCA1_mrna;CUL3_mrna;HOXA9_mrna;INSM1_mrna;NUDCD3_mrna;PPP3CA_mrna;PTGS2_mrna;RNF19A_mrna;SENP6_mrna;SEPP1_mrna;TFCP2_mrna;TNRC6B_mrna;TRIM22_mrna;UBE2H_mrna;ZNF493_mrna;AKT1_prot;AR_prot;ARID1A_prot;ATF1_prot;CCNA2_prot;CDC16_prot;CDC20_prot;CDC27_prot;CEBPB_prot;CNOT3_prot;COPS2_prot;CREB1_prot;CTBP1_prot;CUX1_prot;DDX17_prot;DDX5_prot;EP300_prot;ESR1_prot;ETS1_prot;FOXO1_prot;FOXO3_prot;GTF2B_prot;HBP1_prot;HDAC1_prot;HDAC2_prot;HDAC3_prot;HMGA1_prot;IKBKB_prot;ING1_prot;IRF1_prot;IRF3_prot;JUN_prot;JUNB_prot;KAT5_prot;KHDRBS1_prot;MED1_prot;MGMT_prot;MIER1_prot;MSH2_prot;NCOA1_prot;NCOR1_prot;NCOR2_prot;NFATC2_prot;NFATC4_prot;NFYB_prot;PBX1_prot;PIAS3_prot;PTMA_prot;RBBP4_prot;RBBP7_prot;RBL2_prot;REL_prot;RELA_prot;RUNX1_prot;RUVBL1_prot;SIRT1_prot;SMAD2_prot;SMARCA2_prot;SMARCA4_prot;SMARCC1_prot;SMARCC2_prot;SP3_prot;SS18L1_prot;STAT5A_prot;TAF6L_prot;TBP_prot;TCF3_prot;TP53_prot;TRIM28_prot;VDR_prot;WDR5_prot;XRCC6_prot;YY1_prot;ZBTB2_prot	90
CREBL2_mrna	CREBL2	mrna	ELF1_prot	1
CRELD1_mrna	CRELD1	mrna	SP2_prot	1
CREM_mrna	CREM	mrna	JUN_prot	1
CRIP2_mrna	CRIP2	mrna	HDAC2_prot	1
CRLS1_mrna	CRLS1	mrna	MTX2_prot	1
CRNKL1_mrna	CRNKL1	mrna	RAD21_prot	1
CRTC3_mrna	CRTC3	mrna	ASH1L_prot;FOSL2_prot;SMC3_prot	3
CRYBB1_mrna	CRYBB1	mrna	EIF4B_prot	1
CRYBB3_mrna	CRYBB3	mrna	BRF1_prot;EIF4B_prot;EP400_prot;PDLIM7_prot;PHIP_prot;SHBG_prot;TACSTD2_prot;TIA1_prot;TRIM11_prot;UBTF_prot;WIZ_prot	11
CSDE1_mrna	CSDE1	mrna	TBP_prot	1
CSF1R_mrna	CSF1R	mrna	ETS1_prot;JUN_prot;RUNX1_prot	3
CSF2RB_mrna	CSF2RB	mrna	PLEK_prot	1
CSNK1A1_mrna	CSNK1A1	mrna	ARID1B_prot;CCNT2_prot;CHD2_prot;CPSF1_prot;DDX42_prot;DICER1_prot;LARP4_prot;NCOR1_prot;NFYA_prot;NFYB_prot;SFPQ_prot;TIA1_prot;TRIM33_prot;ZNF207_prot;ZNF638_prot	15
CSNK1E_mrna	CSNK1E	mrna	ARID1B_prot;CCNT2_prot;CHD2_prot;CPSF1_prot;DDX42_prot;DICER1_prot;LARP4_prot;NCOR1_prot;NFYA_prot;NFYB_prot;SFPQ_prot;TIA1_prot;TRIM33_prot;ZNF207_prot;ZNF638_prot	15
CSNK1G3_mrna	CSNK1G3	mrna	CUL4B_prot;TFAP2C_prot	2
CST2_mrna	CST2	mrna	DDX31_prot	1
CSTB_mrna	CSTB	mrna	JUN_prot	1
CSTF1_prot	CSTF1	prot	ACP1_mrna;ACTL6A_mrna;AHCY_mrna;AURKA_mrna;BUB3_mrna;CCNB2_mrna;CCT7_mrna;CDC123_mrna;CDCA5_mrna;CHAC2_mrna;DEF8_mrna;DGUOK_mrna;DTYMK_mrna;EDC3_mrna;EXOSC3_mrna;FBXO5_mrna;GEN1_mrna;HMGN3_mrna;HMMR_mrna;HS2ST1_mrna;LYRM4_mrna;MRPS16_mrna;NANP_mrna;NUDCD2_mrna;NUP155_mrna;PAICS_mrna;PHB_mrna;PIGU_mrna;PRIM1_mrna;RAN_mrna;RFC2_mrna;RFC4_mrna;RFC5_mrna;RIF1_mrna;RPUSD2_mrna;RSRC1_mrna;SNRPB_mrna;SNRPD1_mrna;TFAM_mrna;TMEM177_mrna;TMEM68_mrna;TTC27_mrna;YEATS4_mrna;CPSF1_prot;CSTF3_prot;GTF2E2_prot	46
CSTF2_mrna	CSTF2	mrna	ATAD2_prot;BUB3_prot;CCNB1_prot;CDC20_prot;FOXJ2_prot;GTF2E2_prot;HEATR3_prot;LIG1_prot;MAZ_prot;NCOA1_prot;RAE1_prot;REXO4_prot;TFDP1_prot;WDR4_prot;ZBTB20_prot;ZNF207_prot	16
CSTF3_mrna	CSTF3	mrna	SEH1L_prot;SP2_prot;TEX10_prot	3
CSTF3_prot	CSTF3	prot	EBNA1BP2_mrna;PAQR3_mrna;PLK4_mrna;ZNF451_mrna;CPSF1_prot;CPSF4_prot;CSTF1_prot;GTF2E2_prot;NPM1_prot	9
CTBP1_prot	CTBP1	prot	BRCA1_mrna;AKT1_prot;C2orf44_prot;CHD3_prot;CREBBP_prot;ECT2_prot;EHMT1_prot;EP300_prot;FOXP1_prot;GTF2B_prot;HDAC1_prot;HDAC2_prot;HDAC3_prot;HDAC4_prot;HDAC5_prot;HIC1_prot;IKZF1_prot;NCOR2_prot;RBPJ_prot;RCOR3_prot;RUNX1_prot;SMARCA4_prot;TBL1X_prot;TBP_prot;TCF4_prot;TERF2_prot;TFAP4_prot;TGIF1_prot;TP53_prot;WIZ_prot;ZBP1_prot;ZEB2_prot;ZNF217_prot	33
CTDNEP1_mrna	CTDNEP1	mrna	ELF1_prot	1
CTNNA1_mrna	CTNNA1	mrna	CANX_prot;PDLIM5_prot;RETSAT_prot;SHC1_prot;SLTM_prot;SPAG9_prot	6
CTNNBIP1_mrna	CTNNBIP1	mrna	PTBP2_prot;SMC3_prot;TRIM33_prot;ZNF638_prot	4
CTNNBIP1_prot	CTNNBIP1	prot	AR_prot;RUVBL2_prot	2
CTNND1_prot	CTNND1	prot	APRT_mrna;ARL16_mrna;CDK4_mrna;EHD2_mrna;EIF1B_mrna;EIF2B1_mrna;EIF3C_mrna;IMPDH2_mrna;LAS1L_mrna;MEA1_mrna;MRPS11_mrna;RNF113A_mrna;RPS5_mrna;SLC39A3_mrna;STYXL1_mrna;TIMM10_mrna;TXNL4A_mrna;FKBP4_prot;FKBP5_prot;WDR48_prot	20
CTPS1_mrna	CTPS1	mrna	BHLHE40_prot;ELF1_prot;ZNF143_prot	3
CTPS2_mrna	CTPS2	mrna	E2F4_prot	1
CTR9_prot	CTR9	prot	DNMT3A_prot;RNF20_prot;RNF40_prot;SKIV2L_prot;SSRP1_prot	5
CTSH_mrna	CTSH	mrna	BHLHE40_prot;ELF1_prot;ZNF143_prot	3
CTSK_mrna	CTSK	mrna	BHLHE40_prot;ELF1_prot;ZNF143_prot	3
CTSL_mrna	CTSL	mrna	JUN_prot;MTA3_prot;NFATC1_prot;SP3_prot	4
CTU1_mrna	CTU1	mrna	RAD21_prot;YY1_prot	2
CUEDC2_mrna	CUEDC2	mrna	RAD21_prot;ZNF143_prot	2
CUL2_mrna	CUL2	mrna	ZBTB7A_prot	1
CUL3_mrna	CUL3	mrna	ARID1B_prot;CPSF1_prot;CREBBP_prot;ZNF407_prot	4
CUL4B_mrna	CUL4B	mrna	CDC5L_prot;DHX9_prot;ECT2_prot;EPRS_prot;FBXO28_prot;FOSL2_prot;NONO_prot;NUP133_prot;PSPC1_prot;RNGTT_prot;SRP72_prot;TBP_prot;TPR_prot;XRN2_prot;ZNF146_prot	15
CUL4B_prot	CUL4B	prot	AP1S3_mrna;ASNS_mrna;CDC5L_mrna;CFL1_mrna;CSNK1G3_mrna;DCUN1D1_mrna;ECT2_mrna;ETNK1_mrna;EXOC5_mrna;FBXO38_mrna;FKBP15_mrna;GNAI3_mrna;GOPC_mrna;HERC4_mrna;INPP5F_mrna;INVS_mrna;LRRC58_mrna;MANEA_mrna;NCBP2_mrna;NETO2_mrna;NUP160_mrna;PIK3C2A_mrna;PPP2R1B_mrna;PRKDC_mrna;PSPC1_mrna;PTGES2_mrna;SPAST_mrna;SPTLC1_mrna;SRP72_mrna;THADA_mrna;TIPRL_mrna;TMEM30A_mrna;XRCC4_mrna;YWHAZ_mrna;ZCCHC7_mrna;ZNF277_mrna;AHR_prot;ANKRD39_prot;ARNT_prot;ASB6_prot;COPS2_prot;COPS3_prot;COPS6_prot;COPS7B_prot;DAZAP1_prot;DDB2_prot;DDX1_prot;DDX3X_prot;DDX5_prot;DDX56_prot;DHX15_prot;DHX30_prot;DHX9_prot;DTL_prot;EIF4B_prot;EZH2_prot;FUS_prot;GRWD1_prot;KHSRP_prot;KPNA1_prot;KPNA4_prot;KRT1_prot;LARP1_prot;PABPC4_prot;PCBD1_prot;PHIP_prot;RBBP4_prot;RBM14_prot;RBX1_prot;RFWD2_prot;RPL26L1_prot;RPS3_prot;RPS4X_prot;SART3_prot;SMU1_prot;SSB_prot;STUB1_prot;SYNCRIP_prot;TAF15_prot;TIAL1_prot;TLE3_prot;TRIM27_prot;TTC1_prot;WDR48_prot;WDR5_prot;WDTC1_prot;XRN2_prot;YBX1_prot;ZCCHC11_prot	89
CUTC_mrna	CUTC	mrna	CEBPB_prot;COPS3_prot;JUND_prot	3
CUX1_mrna	CUX1	mrna	E2F4_prot;SMC3_prot	2
CUX1_prot	CUX1	prot	CDKN1B_mrna;ECT2_mrna;CNBP_prot;CREBBP_prot;ECT2_prot;TP53BP1_prot	6
CWF19L1_mrna	CWF19L1	mrna	CASP2_prot;NBEAL1_prot;WDR18_prot	3
CX3CL1_mrna	CX3CL1	mrna	RBPMS_prot;TP53_prot	2
CXCL11_mrna	CXCL11	mrna	RELA_prot	1
CXCL1_mrna	CXCL1	mrna	HMGA1_prot;PARP1_prot;REL_prot;RELA_prot;SP3_prot	5
CXCL5_mrna	CXCL5	mrna	RELA_prot;TFAP2A_prot;ZNF148_prot	3
CXorf38_mrna	CXorf38	mrna	FOXA1_prot	1
CYB5R4_mrna	CYB5R4	mrna	BHLHE40_prot;GTF2H1_prot;TBP_prot	3
CYBRD1_mrna	CYBRD1	mrna	TBP_prot	1
CYFIP1_mrna	CYFIP1	mrna	USF2_prot	1
CYFIP2_mrna	CYFIP2	mrna	MAZ_prot;TP53_prot;ZMYND8_prot	3
CYP11A1_mrna	CYP11A1	mrna	CREB1_prot;JUN_prot;SP3_prot;TFAP2A_prot	4
CYP17A1_mrna	CYP17A1	mrna	CREB1_prot;SP3_prot	2
CYP3A5_mrna	CYP3A5	mrna	SP3_prot;VDR_prot;YY1_prot	3
CYP3A7_mrna	CYP3A7	mrna	CEBPA_prot;RELA_prot;SP3_prot;VDR_prot	4
CYP46A1_mrna	CYP46A1	mrna	SP3_prot	1
CYP8B1_mrna	CYP8B1	mrna	SP3_prot;VDR_prot;YY1_prot	3
CYSLTR1_mrna	CYSLTR1	mrna	IKZF1_prot	1
D2HGDH_mrna	D2HGDH	mrna	E2F4_prot;IGHMBP2_prot;KLC3_prot;ZC3H7B_prot	4
DAAM1_mrna	DAAM1	mrna	NR2C2_prot;SPATA13_prot	2
DAB1_mrna	DAB1	mrna	RAD21_prot;SAP30_prot	2
DAB2IP_mrna	DAB2IP	mrna	CEBPB_prot;JUN_prot;JUND_prot;NFIX_prot;TAF1_prot	5
DAB2_prot	DAB2	prot	LEPR_mrna;RGL1_mrna;AP2B1_prot;CDC16_prot;CLTC_prot;INPP5D_prot;SF3B2_prot;SMAD2_prot;SMURF2_prot;TFAP2A_prot	10
DACH1_prot	DACH1	prot	CREB1_prot;GPSM1_prot;HDAC1_prot;HDAC3_prot;JUN_prot;NCOR1_prot;SMAD4_prot	7
DACT3_mrna	DACT3	mrna	EZH2_prot	1
DAD1_mrna	DAD1	mrna	ETS1_prot;RAD21_prot	2
DAGLB_mrna	DAGLB	mrna	NFYA_prot	1
DAPP1_prot	DAPP1	prot	CD80_mrna;CHERP_mrna;CNR2_mrna;E2F4_mrna;PSEN1_mrna;RAC2_mrna;SLAMF6_mrna;SLC34A3_mrna;ST3GAL3_mrna;INPP5D_prot	10
