Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ADRA2B_mrna	ADRA2B	mrna	ETS1_prot;FGD2_prot;GTF2F1_prot;TFAP2A_prot	4
ADRA2C_mrna	ADRA2C	mrna	PHF8_prot	1
ADRM1_mrna	ADRM1	mrna	ATF1_prot;BAZ2B_prot;BOP1_prot;DHX16_prot;DHX9_prot;FOXK2_prot;JUND_prot;KARS_prot;MRPS12_prot;NFYC_prot;PHC3_prot;POLR2E_prot;PTBP1_prot;RNGTT_prot;TAF6L_prot;VARS_prot;XRN2_prot	17
ADSS_mrna	ADSS	mrna	UBTF_prot	1
AES_prot	AES	prot	RND3_mrna;AR_prot;HGS_prot;HMGB1_prot;RELA_prot;RUNX1_prot;TLE3_prot	7
AFF1_mrna	AFF1	mrna	MBNL1_prot;SOS2_prot	2
AFF3_mrna	AFF3	mrna	ADARB1_prot;DDX31_prot;PTBP1_prot;TCF3_prot	4
AFF4_mrna	AFF4	mrna	CCNT2_prot;DHX9_prot;EEA1_prot;MBNL2_prot;RC3H2_prot;RIN2_prot;RNGTT_prot;SPAG9_prot	8
AFG3L2_mrna	AFG3L2	mrna	PPP1R12A_prot	1
AGAP2_mrna	AGAP2	mrna	HDAC2_prot	1
AGBL3_mrna	AGBL3	mrna	JUN_prot	1
AGPAT2_mrna	AGPAT2	mrna	ZNF143_prot	1
AGPAT4_mrna	AGPAT4	mrna	SMARCC1_prot	1
AGPAT5_mrna	AGPAT5	mrna	MAZ_prot	1
AGR2_mrna	AGR2	mrna	ELF3_prot;FOXA1_prot;KRT19_prot;PA2G4_prot	4
AGRN_mrna	AGRN	mrna	BHLHE40_prot;RAD21_prot	2
AGRP_mrna	AGRP	mrna	STAT5A_prot	1
AGTR1_mrna	AGTR1	mrna	SP3_prot	1
AHCY_mrna	AHCY	mrna	BAZ2B_prot;BOP1_prot;CIAO1_prot;CSTF1_prot;DARS2_prot;DDX19B_prot;KARS_prot;MTX1_prot;NLE1_prot;NONO_prot;PA2G4_prot;RAE1_prot;REXO4_prot;SIVA1_prot;SMARCC1_prot;TOMM34_prot;TRIM27_prot;TRIM28_prot;TRMT1_prot;VARS_prot;WDR18_prot;WDR77_prot	22
AHDC1_mrna	AHDC1	mrna	ESR1_prot;EZH2_prot;TACSTD2_prot	3
AHNAK2_mrna	AHNAK2	mrna	FOXA1_prot	1
AHRR_mrna	AHRR	mrna	AHR_prot;ESR1_prot	2
